axis,scenario,dimension,algorithm,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,favorable_units,unfavorable_units,zero_units
OE1,E1,Flexibilidad energética,HAPPO,3,-11.054080570995504,-8.39090593092051,26.746241570272577,-39.03228238073362,-23.711594155827065,2.9350203338735508,26.646614489700617,14.260946598667612,2.4195808415266393,1,2,0
OE1,E1,Flexibilidad energética,MAAC,3,-1.2425799541217586,-1.0993644889474075,1.7603507988370768,-3.070163749435162,-2.0847641191912847,-0.32878805646505693,1.7559760627262277,0.4417883760172936,1.4166901638786478,1,2,0
OE1,E1,Flexibilidad energética,MASAC,3,-2.8552547361267817,-2.196916910616431,5.352305150546193,-8.506276136990776,-5.351596523803604,-0.029744035694784454,5.321852488108819,2.1374288392268626,1.8745455818091792,1,2,0
OE1,E1,Flexibilidad energética,MATD3,3,-0.09229901555254753,-0.11755487359967898,0.7330917789271646,-0.8124365077630369,-0.46499569068135793,0.26776973055269715,0.7327654212340551,0.6530943347050733,7.942574192568737,1,2,0
OE2,E2,Emisiones de CO₂,HAPPO,17,-55.92353506845364,-39.86944811030552,47.90729393306994,-206.18754871380338,-84.82162242069505,-23.21733280805297,61.60428961264208,-10.255549983163638,0.8566571100061654,0,17,0
OE2,E2,Emisiones de CO₂,MAAC,17,-4.699628755200178,-3.375806293277013,4.30809516310829,-15.892752313223799,-5.74735344386394,-1.5165874149438245,4.230766028920115,-0.35175046298634743,0.9166883997680344,0,17,0
OE2,E2,Emisiones de CO₂,MASAC,17,-5.163959197269598,-3.833462109913364,4.7560371782468644,-17.329144356400754,-5.136973279904082,-1.9977835148551093,3.139189765048973,-0.47890923586253303,0.9210059561976363,0,17,0
OE2,E2,Emisiones de CO₂,MATD3,17,-4.214287341115031,-0.22935810035472176,11.015306091680818,-44.68902829067322,-2.596134760087084,0.19650270535620668,2.7926374654432906,2.967230009846696,2.6138004364852705,5,12,0
OE3,E3,Costos energéticos,HAPPO,17,63.2075536632142,42.484800334156034,116.93928773143763,-52.66204958926789,-7.779516654712647,88.37935676751395,96.1588734222266,414.8145106895778,1.8500840635997349,12,5,0
OE3,E3,Costos energéticos,MAAC,17,1.648587718604182,-0.08811560651127005,7.079554628518683,-6.255571466791263,-0.6095306850792963,0.4372762914802342,1.0468069765595305,26.595501109550174,4.294314793581481,7,10,0
OE3,E3,Costos energéticos,MASAC,17,0.18270096922106682,-0.331033047804133,3.636809836240607,-9.117040587205127,-0.9821049474845703,1.0707125449617334,2.052817492446304,7.155298230517717,19.905804833690258,7,10,0
OE3,E3,Costos energéticos,MATD3,17,-12.335934658442358,-2.932359121132705,22.75939086342396,-71.54538882718842,-18.698489180939966,-0.13856563519048373,18.55992354574948,18.61862351580807,1.8449668787640738,3,14,0
