run_id,algorithm,scenario,axis,dimension,kpi,value,baseline,value_minus_baseline,lower_is_better,comparison_available,improved_vs_baseline,signed_relative_gain,source,note
madrl_v3_20260627_164047,HAPPO,E1,OE1,Flexibilidad energética,zero_net_energy,0.9813052920266815,1.0,-0.018694707973318514,True,True,True,0.018694707973318514,citylearn_v2.evaluate_v2,CityLearn v2 district net exchange ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions,1.5237308415454343,1.0,0.5237308415454343,True,True,False,-0.5237308415454343,citylearn_v2.evaluate_v2,CityLearn v2 district CO2 ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_baseline,9143444.740325121,,,True,True,,,citylearn_v2.evaluate_v2,Total district greenhouse gas emissions for the CityLearn v2 baseline in kgCO2.
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_control,10694870.985850561,9143444.740325121,1551426.2455254402,True,True,False,-0.16967634076500962,citylearn_v2.evaluate_v2,Total district greenhouse gas emissions under control in kgCO2.
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_daily_average_baseline,25053.39351156558,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_daily_average_control,29304.361646353864,25053.39351156558,4250.968134788283,True,True,False,-0.16967634076500965,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_daily_average_delta,4250.968134788282,0.0,4250.968134788282,True,True,False,-1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE2,Emisiones de CO₂,carbon_emissions_delta,777838.6068301143,0.0,777838.6068301143,True,True,False,-1.0,citylearn_v2.evaluate_v2,Control minus baseline total district greenhouse gas emissions in kgCO2.
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,cost_one_minus_load_factor_average,0.8573905340133239,1.0,-0.14260946598667612,True,True,True,0.14260946598667612,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,cost_peak_average,1.3903228238073362,1.0,0.3903228238073362,True,True,False,-0.3903228238073362,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,cost_ramping_average,1.0839090593092051,1.0,0.08390905930920511,True,True,False,-0.08390905930920511,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost,1.0623729494773748,1.0,0.06237294947737482,True,True,False,-0.06237294947737482,citylearn_v2.evaluate_v2,CityLearn v2 normalized district cost ratio to baseline.
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_baseline,5960892.891691909,,,True,True,,,citylearn_v2.evaluate_v2,Total district electricity cost for the CityLearn v2 baseline in EUR.
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_control,6332691.362865451,5960892.891691909,371798.4711735416,True,True,False,-0.062372949477374734,citylearn_v2.evaluate_v2,Total district electricity cost under control in EUR.
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_daily_average_baseline,16333.077908506202,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_daily_average_control,17351.820151703487,16333.077908506202,1018.7422431972846,True,True,False,-0.062372949477374845,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_daily_average_delta,1018.7422431972827,0.0,1018.7422431972827,True,True,False,-1.0,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,electricity_cost_delta,186408.60670836945,0.0,186408.60670836945,True,True,False,-1.0,citylearn_v2.evaluate_v2,Control minus baseline total district electricity cost in EUR.
madrl_v3_20260627_164047,HAPPO,E1,OE3,Costos energéticos,price_signal_deviation,0.44047288229275566,0.38518172998525724,0.055291152307498426,True,True,False,-0.14354562535874868,derived_from_citylearn_v2_timeseries,Not a native evaluate_v2 KPI in this codebase; derived from district net import and the electricity_pricing signal.
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,battery_capacity_fade_ratio,0.0012226044086052817,,,True,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,battery_charge_total,8933966.971728895,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,battery_discharge_total,7794233.187752266,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,battery_equivalent_full_cycles,318.4382882715518,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,battery_throughput_total,16728200.15948116,,,False,True,,,citylearn_v2.evaluate_v2,CityLearn v2 district battery throughput in kWh.
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,community_import_share,0.45111270869859826,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,community_local_traded_daily_average,13370.341036166545,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,community_local_traded_total,4879617.380657615,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_charge_total,190965.20083450526,,,False,True,,,citylearn_v2.evaluate_v2,
madrl_v3_20260627_164047,HAPPO,E2,OE1,Flexibilidad energética,ev_departure_count,39682.0,,,True,True,,,citylearn_v2.evaluate_v2,
