algorithm,scenario,cost_function,level,name,value
HAPPO,E1,building_equity_benefit_relative_percent,building,Building_1,-8.609322174681457
HAPPO,E1,building_ev_events_departure_count,building,Building_1,924.0
HAPPO,E1,building_ev_events_departure_met_count,building,Building_1,542.0
HAPPO,E1,building_ev_events_departure_within_tolerance_count,building,Building_1,87.0
HAPPO,E1,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,0.1468813123744752
HAPPO,E1,building_ev_performance_departure_success_ratio,building,Building_1,0.5865800865800865
HAPPO,E1,building_ev_performance_departure_within_tolerance_ratio,building,Building_1,0.0941558441558441
HAPPO,E1,building_ev_total_charge_kwh,building,Building_1,14841.69085293077
HAPPO,E1,building_ev_total_v2g_export_kwh,building,Building_1,2664.655516419298
HAPPO,E1,building_solar_self_consumption_daily_average_export_kwh,building,Building_1,4730.992503611014
HAPPO,E1,building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,9424.330475569272
HAPPO,E1,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_1,0.4980022702010308
HAPPO,E1,building_solar_self_consumption_total_export_kwh,building,Building_1,1726615.1391303698
HAPPO,E1,building_solar_self_consumption_total_generation_kwh,building,Building_1,3439487.9431463024
HAPPO,E1,building_battery_health_capacity_fade_ratio,building,Building_10,5.827061516441902e-05
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,building,Building_10,18.12624000659431
HAPPO,E1,building_battery_total_charge_kwh,building,Building_10,45262.46408450604
HAPPO,E1,building_battery_total_discharge_kwh,building,Building_10,40039.62138652678
HAPPO,E1,building_battery_total_throughput_kwh,building,Building_10,85302.08547103281
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_ratio,building,Building_10,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_ratio,building,Building_10,
HAPPO,E1,building_comfort_resilience_discomfort_overall_ratio,building,Building_10,
HAPPO,E1,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,
HAPPO,E1,building_cost_daily_average_baseline_eur,building,Building_10,798.9731680295356
HAPPO,E1,building_cost_daily_average_control_eur,building,Building_10,788.9721633443736
HAPPO,E1,building_cost_daily_average_delta_eur,building,Building_10,-10.001004685161922
HAPPO,E1,building_cost_ratio_to_baseline_total_ratio,building,Building_10,0.9874826776600936
HAPPO,E1,building_cost_total_baseline_eur,building,Building_10,291591.91578211257
HAPPO,E1,building_cost_total_control_eur,building,Building_10,287941.965780557
HAPPO,E1,building_cost_total_delta_eur,building,Building_10,-3649.950001555553
HAPPO,E1,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.0808283000935306
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1248.6658935546875
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1248.5606689453125
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1262.7613525390625
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,310.1255187988281
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,298.69384765625
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,315.9792785644531
HAPPO,E1,building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
HAPPO,E1,building_electrical_service_phase_violations_event_count,building,Building_10,0.0
HAPPO,E1,building_emissions_daily_average_baseline_kgco2,building,Building_10,1101.5256925610763
HAPPO,E1,building_emissions_daily_average_control_kgco2,building,Building_10,1158.123606223115
HAPPO,E1,building_emissions_daily_average_delta_kgco2,building,Building_10,56.59791366203868
HAPPO,E1,building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.0513813831527137
HAPPO,E1,building_emissions_total_baseline_kgco2,building,Building_10,402010.98088093614
HAPPO,E1,building_emissions_total_control_kgco2,building,Building_10,422666.8611211777
HAPPO,E1,building_emissions_total_delta_kgco2,building,Building_10,20655.88024024153
HAPPO,E1,building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8103.165726642628
HAPPO,E1,building_energy_grid_daily_average_export_control_kwh,building,Building_10,8118.981154539281
HAPPO,E1,building_energy_grid_daily_average_export_delta_kwh,building,Building_10,15.815427896652285
HAPPO,E1,building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1468.2926224866324
HAPPO,E1,building_energy_grid_daily_average_import_control_kwh,building,Building_10,1545.934148861837
HAPPO,E1,building_energy_grid_daily_average_import_delta_kwh,building,Building_10,77.6415263752045
HAPPO,E1,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6634.873104155996
HAPPO,E1,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6573.047005677444
HAPPO,E1,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,61.82609847855223
HAPPO,E1,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.001951759155641
HAPPO,E1,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.0528787825983317
HAPPO,E1,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9906816456761132
HAPPO,E1,building_energy_grid_total_export_baseline_kwh,building,Building_10,2957317.8583192825
HAPPO,E1,building_energy_grid_total_export_control_kwh,building,Building_10,2963089.8305253983
HAPPO,E1,building_energy_grid_total_export_delta_kwh,building,Building_10,5771.972206115723
HAPPO,E1,building_energy_grid_total_import_baseline_kwh,building,Building_10,535865.6283483505
HAPPO,E1,building_energy_grid_total_import_control_kwh,building,Building_10,564201.5504117012
HAPPO,E1,building_energy_grid_total_import_delta_kwh,building,Building_10,28335.92206335068
HAPPO,E1,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2421452.229970932
HAPPO,E1,building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2398888.280113697
HAPPO,E1,building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,22563.949857234955
HAPPO,E1,building_equity_benefit_relative_percent,building,Building_10,1.2517322339906434
HAPPO,E1,building_ev_events_departure_count,building,Building_10,1298.0
HAPPO,E1,building_ev_events_departure_met_count,building,Building_10,901.0
HAPPO,E1,building_ev_events_departure_within_tolerance_count,building,Building_10,46.0
HAPPO,E1,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,0.1737759529945093
HAPPO,E1,building_ev_performance_departure_success_ratio,building,Building_10,0.6941448382126348
HAPPO,E1,building_ev_performance_departure_within_tolerance_ratio,building,Building_10,0.0354391371340523
HAPPO,E1,building_ev_total_charge_kwh,building,Building_10,22074.408289087936
HAPPO,E1,building_ev_total_v2g_export_kwh,building,Building_10,4733.301131625471
HAPPO,E1,building_solar_self_consumption_daily_average_export_kwh,building,Building_10,8070.238117958882
HAPPO,E1,building_solar_self_consumption_daily_average_generation_kwh,building,Building_10,9620.309019882929
HAPPO,E1,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_10,0.1611248556278609
HAPPO,E1,building_solar_self_consumption_total_export_kwh,building,Building_10,2945300.65313341
HAPPO,E1,building_solar_self_consumption_total_generation_kwh,building,Building_10,3511011.946048106
HAPPO,E1,building_battery_health_capacity_fade_ratio,building,Building_11,0.000348894853606
HAPPO,E1,building_battery_health_equivalent_full_cycles_count,building,Building_11,115.3195519804738
HAPPO,E1,building_battery_total_charge_kwh,building,Building_11,237359.0395441967
HAPPO,E1,building_battery_total_discharge_kwh,building,Building_11,201085.89708556465
HAPPO,E1,building_battery_total_throughput_kwh,building,Building_11,438444.93662976136
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_cold_ratio,building,Building_11,
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_discomfort_hot_ratio,building,Building_11,
HAPPO,E1,building_comfort_resilience_discomfort_overall_ratio,building,Building_11,
HAPPO,E1,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_11,
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_11,0.0
HAPPO,E1,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_11,
HAPPO,E1,building_cost_daily_average_baseline_eur,building,Building_11,502.375685954294
HAPPO,E1,building_cost_daily_average_control_eur,building,Building_11,309.988909859229
HAPPO,E1,building_cost_daily_average_delta_eur,building,Building_11,-192.38677609506496
HAPPO,E1,building_cost_ratio_to_baseline_total_ratio,building,Building_11,0.6170460046655836
HAPPO,E1,building_cost_total_baseline_eur,building,Building_11,183346.1930530692
HAPPO,E1,building_cost_total_control_eur,building,Building_11,113133.03589404112
HAPPO,E1,building_cost_total_delta_eur,building,Building_11,-70213.15715902808
HAPPO,E1,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_11,0.1158118699627276
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_11,4098.03125
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_11,4097.03125
HAPPO,E1,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_11,4108.43115234375
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_11,191.83343505859372
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_11,188.83343505859372
HAPPO,E1,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_11,181.43344116210935
HAPPO,E1,building_electrical_service_phase_violations_energy_total_kwh,building,Building_11,0.0
HAPPO,E1,building_electrical_service_phase_violations_event_count,building,Building_11,0.0
HAPPO,E1,building_emissions_daily_average_baseline_kgco2,building,Building_11,1105.5938373077538
HAPPO,E1,building_emissions_daily_average_control_kgco2,building,Building_11,1110.4889825286623
HAPPO,E1,building_emissions_daily_average_delta_kgco2,building,Building_11,4.895145220908609
HAPPO,E1,building_emissions_ratio_to_baseline_total_ratio,building,Building_11,1.0044276162327648
HAPPO,E1,building_emissions_total_baseline_kgco2,building,Building_11,403495.68420744233
HAPPO,E1,building_emissions_total_control_kgco2,building,Building_11,405282.20824868977
HAPPO,E1,building_emissions_total_delta_kgco2,building,Building_11,1786.5240412474377
HAPPO,E1,building_energy_grid_daily_average_export_baseline_kwh,building,Building_11,27965.44349017869
HAPPO,E1,building_energy_grid_daily_average_export_control_kwh,building,Building_11,27864.07626558138
HAPPO,E1,building_energy_grid_daily_average_export_delta_kwh,building,Building_11,-101.36722459730758
HAPPO,E1,building_energy_grid_daily_average_import_baseline_kwh,building,Building_11,1433.078018423656
HAPPO,E1,building_energy_grid_daily_average_import_control_kwh,building,Building_11,1429.9392087974293
HAPPO,E1,building_energy_grid_daily_average_import_delta_kwh,building,Building_11,-3.138809626226842
HAPPO,E1,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_11,-26532.365471755034
HAPPO,E1,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_11,-26434.137056783955
HAPPO,E1,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_11,98.22841497108074
HAPPO,E1,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_11,0.9963752684761495
HAPPO,E1,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_11,0.9978097426756434
HAPPO,E1,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_11,0.996297789012606
HAPPO,E1,building_energy_grid_total_export_baseline_kwh,building,Building_11,10206221.64710313
HAPPO,E1,building_energy_grid_total_export_control_kwh,building,Building_11,10169226.833759472
HAPPO,E1,building_energy_grid_total_export_delta_kwh,building,Building_11,-36994.81334365904
HAPPO,E1,building_energy_grid_total_import_baseline_kwh,building,Building_11,523013.7651405335
HAPPO,E1,building_energy_grid_total_import_control_kwh,building,Building_11,521868.2304106951
HAPPO,E1,building_energy_grid_total_import_delta_kwh,building,Building_11,-1145.5347298383713
HAPPO,E1,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_11,-9683207.881962596
HAPPO,E1,building_energy_grid_total_net_exchange_control_kwh,building,Building_11,-9647358.603348777
HAPPO,E1,building_energy_grid_total_net_exchange_delta_kwh,building,Building_11,35849.27861382067
HAPPO,E1,building_equity_benefit_relative_percent,building,Building_11,38.295399533441646
HAPPO,E1,building_ev_events_departure_count,building,Building_11,983.0
HAPPO,E1,building_ev_events_departure_met_count,building,Building_11,408.0
HAPPO,E1,building_ev_events_departure_within_tolerance_count,building,Building_11,28.0
HAPPO,E1,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_11,0.3451573625191994
HAPPO,E1,building_ev_performance_departure_success_ratio,building,Building_11,0.4150559511698881
