algorithm,scenario,family,unit,baseline,control,stored_delta,recomputed_control_minus_baseline,stored_minus_recomputed,relative_discrepancy_pct,consistent_at_1e_6_relative,impact_rule
HAPPO,E1,carbon_emissions,kgCO2,9143444.740325121,10694870.985850561,777838.6068301143,1551426.2455254402,-773587.6386953259,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
HAPPO,E1,electricity_cost,EUR,5960892.891691909,6332691.362865451,186408.60670836945,371798.4711735416,-185389.86446517217,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
HAPPO,E2,carbon_emissions,kgCO2,9144881.242106719,11999741.10905805,1431341.146902246,2854859.8669513315,-1423518.7200490856,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
HAPPO,E2,electricity_cost,EUR,5953851.809797184,5759923.2544646785,-97229.96355094147,-193928.55533250514,96698.59178156368,49.86299805913918,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
HAPPO,E3,carbon_emissions,kgCO2,9145136.299396222,11352967.210959308,1106940.2269813095,2207830.9115630854,-1100890.684581776,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
HAPPO,E3,electricity_cost,EUR,7155283.926301469,7368356.081858005,106827.9907668146,213072.15555653628,-106244.16478972168,-49.862998059139166,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E1,carbon_emissions,kgCO2,10417463.817999348,10494384.743438182,38565.84588019649,76920.92543883435,-38355.079558637866,-49.86299805913918,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E1,electricity_cost,EUR,5911410.430769732,5918646.683298586,3628.0400708369775,7236.2525288537145,-3608.212458016737,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E2,carbon_emissions,kgCO2,10417831.77047322,10558754.019475915,70654.19071758597,140922.24900269508,-70268.05828510912,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E2,electricity_cost,EUR,6641408.353484642,6667886.462194674,13275.329877851962,26478.108710031956,-13202.778832179994,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E3,carbon_emissions,kgCO2,10417672.837767562,10564094.134996949,73411.2486337313,146421.29722938687,-73010.04859565556,-49.862998059139166,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MAAC,E3,electricity_cost,EUR,7093803.197904205,7112781.500188709,9515.151784724349,18978.302284504287,-9463.150499779938,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E1,carbon_emissions,kgCO2,9088716.879895853,9250726.214372514,81226.6231709392,162009.33447666094,-80782.71130572174,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E1,electricity_cost,EUR,5921703.1287605055,5950967.92744811,14672.49268599316,29264.798687604256,-14592.306001611096,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E2,carbon_emissions,kgCO2,9088297.682261093,9243171.298157984,77648.98780810599,154873.6158968918,-77224.62808878582,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E2,electricity_cost,EUR,5914557.320100955,5944515.783174557,15020.275212663882,29958.463073601946,-14938.187860938064,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E3,carbon_emissions,kgCO2,9088742.930663891,9270045.676568365,90899.7612329599,181302.7459044736,-90402.98467151368,-49.862998059139166,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MASAC,E3,electricity_cost,EUR,7106081.274015802,7145558.689493987,19792.792564499217,39477.41547818482,-19684.6229136856,-49.862998059139166,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E1,carbon_emissions,kgCO2,10986820.520467822,11060066.494980272,36723.33566290968,73245.9745124504,-36522.638849540715,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E1,electricity_cost,EUR,8183897.547443151,8249865.868836236,33074.53857720466,65968.32139308564,-32893.782815880986,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E2,carbon_emissions,kgCO2,10973717.965442343,11019732.720185794,23070.418478806503,46014.75474345125,-22944.33626464475,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E2,electricity_cost,EUR,7022738.161467254,7050531.348741419,13934.67084307495,27793.18727416452,-13858.51643108957,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E3,carbon_emissions,kgCO2,10962469.364197543,11044830.505711775,41293.40711950582,82361.14151423238,-41067.73439472656,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
MATD3,E3,electricity_cost,EUR,9646089.516004698,9734645.597044019,44399.364069434494,88556.08103932068,-44156.71696988618,-49.86299805913917,False,Usar control-baseline recalculado para el impacto total; conservar stored_delta solo para trazabilidad.
