algorithm,scenario,metric,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,sum
HAPPO,E1,action_dim,17,12.882352941176471,10.0,10.670533919052367,5.0,6.0,13.0,7.0,44.0,0.8283062859538367,219.0
HAPPO,E1,agent_index,17,8.0,8.0,5.049752469181039,0.0,4.0,12.0,8.0,16.0,0.6312190586476298,136.0
HAPPO,E1,battery_capacity_fade_ratio,17,0.0005991545461847692,0.0005861475317844,0.00037900683467214426,5.827061516441902e-05,0.0003417490274579,0.0007609138708985,0.0004191648434406,0.0013392690738856,0.6325694048147386,0.010185627285141077
HAPPO,E1,battery_charge_total_kwh,17,278496.3303514084,67519.21317012659,346815.95343878365,6173.606497108936,46428.97444646771,431931.2348561799,385502.2604097122,968694.0174137296,1.2453160621584103,4734437.615973943
HAPPO,E1,battery_discharge_total_kwh,17,242376.05628706317,58575.08957205529,302782.87039305596,5475.251055667863,40387.08332775005,373838.4239680003,333451.34064025024,841500.7324868236,1.2492276466221923,4120392.956880074
HAPPO,E1,battery_equivalent_full_cycles,17,155.4921308331943,165.87545917067845,84.40092881414648,18.12624000659431,102.96666718196764,202.6526575288852,99.68599034691755,287.5565334758477,0.5427987150339357,2643.366224164303
HAPPO,E1,battery_throughput_total_kwh,17,520872.3866384716,126094.30274218188,649593.8175495585,11648.8575527768,86816.05777421777,805769.6588241803,718953.6010499625,1810194.749900553,1.2471266172158022,8854830.572854018
HAPPO,E1,carbon_emissions_baseline_kgco2,17,537849.6906073602,244788.6756684068,901435.3277094438,15705.906845847963,36155.12936520847,403495.68420744233,367340.5548422339,2863237.650240166,1.6759985985889643,9143444.740325123
HAPPO,E1,carbon_emissions_control_kgco2,17,629110.0579912094,281071.2080496177,998078.5626415021,23744.10505548585,67668.69547880441,479475.5604534643,411806.86497465987,3197023.037652865,1.5864927765237673,10694870.985850561
HAPPO,E1,carbon_emissions_delta_kgco2,17,91260.36738384943,36282.53238121088,129329.47610297674,1786.5240412474377,14719.636729399004,74773.6466778499,60054.0099484509,398209.3337677672,1.4171483176153035,1551426.2455254402
HAPPO,E1,carbon_emissions_ratio_to_baseline,17,1.5237308415454343,1.1563036810045029,0.7582743738082856,1.0044276162327648,1.095971252592678,1.46795058988434,0.371979337291662,3.5724498312372592,0.4976432537384428,25.90342430627238
HAPPO,E1,electrical_service_violation_time_step_count,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HAPPO,E1,electrical_service_violation_total_kwh,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HAPPO,E1,electricity_cost_baseline_eur,17,350640.75833481824,153415.23570426033,620742.3372190016,-32959.08623825316,10243.90532831423,291591.91578211257,281348.01045379834,1970267.3212005908,1.7703085635762572,5960892.89169191
HAPPO,E1,electricity_cost_control_eur,17,372511.2566391441,110176.06966727036,688648.2911046783,-26858.635200960867,8664.569300928983,311684.5628932684,303019.99359233945,2214420.4408988105,1.8486643794815032,6332691.36286545
HAPPO,E1,electricity_cost_delta_eur,17,21870.49830432592,-3105.2580766811443,83905.80228411092,-87685.63482960037,-7439.1833670505985,8482.820506508113,15922.003873558711,244153.1196982197,3.836483335522108,371798.47117354063
