axis,scenario,algorithm,n,wilcoxon_statistic,p_raw,rank_biserial,median_effect_percent,p_holm,significant_holm,effect_direction
OE1,E1,HAPPO,3,2.0,0.75,-0.3333333333333333,-8.39090593092051,1.0,False,desfavorable
OE1,E1,MAAC,3,1.0,0.5,-0.6666666666666666,-1.0993644889474075,1.0,False,desfavorable
OE1,E1,MASAC,3,1.0,0.5,-0.6666666666666666,-2.196916910616431,1.0,False,desfavorable
OE1,E1,MATD3,3,2.0,0.75,-0.3333333333333333,-0.11755487359967898,1.0,False,desfavorable
OE2,E2,HAPPO,17,0.0,1.52587890625e-05,-1.0,-39.86944811030552,6.103515625e-05,True,desfavorable
OE2,E2,MAAC,17,0.0,1.52587890625e-05,-1.0,-3.375806293277013,6.103515625e-05,True,desfavorable
OE2,E2,MASAC,17,0.0,1.52587890625e-05,-1.0,-3.833462109913364,6.103515625e-05,True,desfavorable
OE2,E2,MATD3,17,37.0,0.0638275146484375,-0.5163398692810458,-0.22935810035472176,0.0638275146484375,False,desfavorable
OE3,E3,HAPPO,17,33.0,0.0395355224609375,0.5686274509803921,42.484800334156034,0.1186065673828125,False,favorable
OE3,E3,MAAC,17,73.0,0.8899688720703125,-0.0457516339869281,-0.08811560651127005,1.0,False,desfavorable
OE3,E3,MASAC,17,76.0,1.0,0.006535947712418301,-0.331033047804133,1.0,False,desfavorable
OE3,E3,MATD3,17,21.0,0.00665283203125,-0.7254901960784313,-2.932359121132705,0.026611328125,True,desfavorable
