algorithm,effect_flexibility_percent,effect_co2_percent,effect_cost_percent,mean_raw_effect_percent,mean_minmax_score,topsis_equal_weight,mean_objective_rank,rank_topsis
MAAC,-1.2425799541217586,-1.35270229072142,-0.2675335325077984,-0.954271925783659,0.9549195154230322,0.9366270940691049,1.6666666666666667,1
MATD3,-0.09229901555254383,-0.41931781815750746,-0.91805161969925,-0.47655615113643374,0.9199942128060083,0.8662274013303287,1.6666666666666667,2
MASAC,-2.8552547361268,-1.704099285823135,-0.5555441030844736,-1.7049660416781363,0.8666552684561225,0.8403615914855023,2.6666666666666665,3
HAPPO,-11.054080570995506,-31.218118544901447,-2.977829499865454,-15.083342871920804,0.0,0.0,4.0,4
