run_id,algorithm,scenario,kpi,value
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost,0.9674280513644307
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_baseline,5953851.809797184
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_control,5759923.2544646785
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_daily_average_baseline,16313.785070799453
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_daily_average_control,15782.413301421657
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_daily_average_delta,-531.371769377797
madrl_v3_20260627_164047,HAPPO,E2,electricity_cost_delta,-97229.96355094147
madrl_v3_20260627_164047,HAPPO,E2,ev_charge_total,190965.20083450526
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_count,39682.0
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_met_count,19523.0
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_soc_deficit_mean,0.25038741656563984
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_success_rate,0.4919862910135578
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_within_tolerance_count,2069.0
madrl_v3_20260627_164047,HAPPO,E2,ev_departure_within_tolerance_rate,0.052139509097323726
madrl_v3_20260627_164047,HAPPO,E2,ev_v2g_export_total,51626.38560903435
madrl_v3_20260627_164047,HAPPO,E2,grid_export_baseline,40650861.100133896
madrl_v3_20260627_164047,HAPPO,E2,grid_export_control,39007600.305511184
madrl_v3_20260627_164047,HAPPO,E2,grid_export_delta,-823881.6964933941
madrl_v3_20260627_164047,HAPPO,E2,grid_export_ratio,0.959576236513787
madrl_v3_20260627_164047,HAPPO,E2,grid_import,1.556078296510025
madrl_v3_20260627_164047,HAPPO,E2,grid_import_baseline,11181035.626140594
madrl_v3_20260627_164047,HAPPO,E2,grid_import_control,10816847.511866113
madrl_v3_20260627_164047,HAPPO,E2,grid_import_delta,-182593.00192218114
madrl_v3_20260627_164047,HAPPO,E2,net_exchange_baseline,-29469825.4739933
madrl_v3_20260627_164047,HAPPO,E2,net_exchange_control,-28190752.793645073
madrl_v3_20260627_164047,HAPPO,E2,net_exchange_delta,641288.694571212
madrl_v3_20260627_164047,HAPPO,E2,one_minus_load_factor_average,0.8469709098763134
madrl_v3_20260627_164047,HAPPO,E2,peak_average,1.4000273280828726
madrl_v3_20260627_164047,HAPPO,E2,pv_export_daily_average,107153.05721947478
madrl_v3_20260627_164047,HAPPO,E2,pv_export_total,39106401.174390815
madrl_v3_20260627_164047,HAPPO,E2,pv_generation_daily_average,135736.12476592427
madrl_v3_20260627_164047,HAPPO,E2,pv_generation_total,49538029.867697105
madrl_v3_20260627_164047,HAPPO,E2,pv_self_consumption_ratio,0.2105781905571617
madrl_v3_20260627_164047,HAPPO,E2,ramping_average,1.1827900919539245
madrl_v3_20260627_164047,HAPPO,E2,zero_net_energy,0.9783597732274801
madrl_v3_20260627_164047,HAPPO,E3,battery_capacity_fade_ratio,0.0010271267729816233
madrl_v3_20260627_164047,HAPPO,E3,battery_charge_total,7582573.977868812
madrl_v3_20260627_164047,HAPPO,E3,battery_discharge_total,6610485.955757943
