episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.707488075544692,-105359.12421011552,8760
1,8760,False,8759,17519,2,-0.7152488656520639,-106514.86107290536,8760
2,17520,False,8759,26279,3,-0.7096135643740359,-105675.65200658143,8760
3,26280,False,8759,35039,4,-0.679379742315728,-101173.23122565821,8760
4,35040,False,8759,43799,5,-0.6930607778989799,-103210.61104471609,8760
