absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
,,,0,,,,,-78304.82180446755,1
,,,1,,,,,-80803.62177699081,1
,,,2,,,,,-82059.11524120046,1
,,,3,,,,,-78344.97932251444,1
,,,4,,,,,-80796.83268593434,1
,,,5,,,,,-81985.39364771267,1
,,,6,,,,,-78339.58157492966,1
,,,7,,,,,-80658.42842249767,1
,,,8,,,,,-78236.11601952898,1
,,,9,,,,,-80750.98070652268,1
,,,10,,,,,-82033.40751154699,1
,,,11,,,,,-78242.23732761573,1
,,,12,,,,,-80725.64167029984,1
,,,13,,,,,-82038.76767227863,1
,,,14,,,,,-78274.21336911595,1
,,,15,,,,,-80725.07704519414,1
,,,16,,,,,-81943.257557272,1
,,,17,,,,,-78312.99666946966,1
,,,18,,,,,-80683.54668757241,1
,,,19,,,,,-81963.25352346129,1
,,,20,,,,,-78281.82242526137,1
,,,21,,,,,-80745.39467028347,1
,,,22,,,,,-81990.17906300169,1
,,,23,,,,,-78370.24150360638,1
,,,24,,,,,-80666.7847024754,1
,,,25,,,,,-81779.68576324166,1
,,,26,,,,,-78204.93267208645,1
,,,27,,,,,-80671.05283759689,1
,,,28,,,,,-81998.67470067187,1
,,,29,,,,,-78256.86615563503,1
,,,30,,,,,-80708.60063257358,1
,,,31,,,,,-81948.88025218059,1
,,,32,,,,,-78247.65819833924,1
,,,33,,,,,-80681.08445124482,1
,,,34,,,,,-81947.31218123413,1
,,,35,,,,,-78265.51881965973,1
,,,36,,,,,-80727.21065283756,1
,,,37,,,,,-82005.7418887241,1
,,,38,,,,,-78259.1735631908,1
,,,39,,,,,-78156.0889834954,1
,,,40,,,,,-80641.0859723824,1
,,,41,,,,,-82054.10993229572,1
,,,42,,,,,-78244.7002299595,1
,,,43,,,,,-80674.55634620189,1
,,,44,,,,,-81915.87142594959,1
,,,45,,,,,-78262.85519194147,1
,,,46,,,,,-80701.04133443302,1
,,,47,,,,,-81958.26523614279,1
,,,48,,,,,-78285.08987211423,1
,,,49,,,,,-80610.16462056132,1
