action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
5,0.0,0.0,0.0,0.0,Building_11,10,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6192956566810608,0.0,0.0,0.0,0.0,57,3.6220940448538284,1.0,0.28298265774521913,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
5,0.0,0.0,0.0,0.0,Building_12,11,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.623441219329834,0.0,0.0,0.0,0.0,57,3.5803358974144506,1.0,0.2799169168921939,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
13,0.0,0.0,0.0,0.0,Building_13,12,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.40529415011405945,0.0,0.0,0.0,0.0,113,3.520994819085196,1.0,0.13493079223991494,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
6,0.0,0.0,0.0,0.0,Building_14,13,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.41302698850631714,0.0,0.0,0.0,0.0,64,3.4977161081509602,1.0,0.23673443333245814,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
10,1.0,1.0,0.1,0.0,Building_15,14,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.42310938239097595,0.0,0.0,0.0,0.0,92,3.536594967190065,1.0,0.16699596956048324,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
13,0.0,0.0,0.0,0.0,Building_16,15,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6163696050643921,0.0,0.0,0.0,0.0,113,3.4272273573094743,1.0,0.13143212855917163,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
13,1.0,0.0,-0.07692307692307693,-1.0,Building_17,16,MASAC,0.7900000214576721,False,0.0,0.0,0.0,0.4765397608280182,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3870109021663666,0.0,0.0,0.0,0.0,113,3.551451015583187,1.0,0.14142461628776737,0.0,0.0,0.0,-0.5127309560775757,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,14.532141244330852,1.0,0.1377084977889661,0.0,1
6,0.0,0.0,0.0,0.0,Building_1,0,MASAC,0.7900000214576721,True,0.0,0.0,0.0,0.3443427085876465,0,8758,0.0,0.0,-0.0,8758,0.0,433.45458984375,-0.8224796652793884,207.19976806640625,342.42913818359375,433.45458984375,433.45458984375,64,3.2734747403077686,1.0,0.21949408762156963,0.0,0.0,0.0,-0.757487416267395,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,13.893485124527949,1.0,0.12919105945118886,0.0,8759
8,0.0,0.0,0.0,0.0,Building_2,1,MASAC,0.7900000214576721,True,0.0,0.0,0.0,0.3443427085876465,0,8758,0.0,0.0,-0.0,8758,0.0,15.16435432434082,-0.730503499507904,7.248857498168945,11.979840278625488,15.16435432434082,15.16435432434082,78,3.444018132999762,1.0,0.18995708800279176,0.0,0.0,0.0,-0.757487416267395,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,13.893485124527949,1.0,0.12919105945118886,0.0,8759
10,0.0,0.0,0.0,0.0,Building_3,2,MASAC,0.7900000214576721,True,0.0,0.0,0.0,0.3443427085876465,0,8758,0.0,0.0,-0.0,8758,0.0,94.53981018066406,-0.8170793056488037,45.19187545776367,74.68645477294922,94.53981018066406,94.53981018066406,92,3.203020219262436,1.0,0.14563036904386853,0.0,0.0,0.0,-0.757487416267395,CityLearnV3MADRLRewardFunction,masac_unified_comparable_v4,E3,-0.0,1907,13.893485124527949,1.0,0.12919105945118886,0.0,8759
