cost_function,level,name,value
building_battery_total_discharge_kwh,building,Building_10,27763.583693605222
building_battery_total_throughput_kwh,building,Building_10,60693.925706851456
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,693.4326987288244
building_cost_daily_average_control_eur,building,Building_10,700.6754930475851
building_cost_daily_average_delta_eur,building,Building_10,7.242794318760597
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0104448410524018
building_cost_total_baseline_eur,building,Building_10,253074.0420069072
building_cost_total_control_eur,building,Building_10,255717.3601501582
building_cost_total_delta_eur,building,Building_10,2643.3181432510028
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.041000617737556484
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1073.6650390625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,322.7171630859375
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1099.4140362561736
building_emissions_daily_average_control_kgco2,building,Building_10,1141.4294424294908
building_emissions_daily_average_delta_kgco2,building,Building_10,42.01540617331716
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.0382161813363706
building_emissions_total_baseline_kgco2,building,Building_10,401240.31431532605
building_emissions_total_control_kgco2,building,Building_10,416574.1869266629
building_emissions_total_delta_kgco2,building,Building_10,15333.872611336876
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8182.806115703205
building_energy_grid_daily_average_export_control_kwh,building,Building_10,8221.823806547087
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,39.01769084388201
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1459.9549639312927
building_energy_grid_daily_average_import_control_kwh,building,Building_10,1513.8151775840374
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,53.86021365274481
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6722.851151771913
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6708.00862896305
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,14.842522808862803
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.0047682531263946
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.0368916952805947
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9977922279589738
building_energy_grid_total_export_baseline_kwh,building,Building_10,2986383.281976849
building_energy_grid_total_export_control_kwh,building,Building_10,3000623.1133977473
building_energy_grid_total_export_delta_kwh,building,Building_10,14239.831420898438
building_energy_grid_total_import_baseline_kwh,building,Building_10,532822.7303780913
building_energy_grid_total_import_control_kwh,building,Building_10,552479.4641857743
building_energy_grid_total_import_delta_kwh,building,Building_10,19656.73380768299
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2453560.5515987575
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2448143.649211973
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,5416.9023867845535
building_equity_benefit_relative_percent,building,Building_10,-1.0444841052401803
building_ev_events_departure_count,building,Building_10,1298.0
building_ev_events_departure_met_count,building,Building_10,29.0
building_ev_events_departure_within_tolerance_count,building,Building_10,12.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,0.5026948174477063
building_ev_performance_departure_success_ratio,building,Building_10,0.02234206471494607
building_ev_performance_departure_within_tolerance_ratio,building,Building_10,0.009244992295839754
building_ev_total_charge_kwh,building,Building_10,729.6664723753929
