absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
1442.494648694992,1139.5708111524582,768.121980547905,0,1442.494648694992,-102.41286098753827,-54.534392683184635,-69.03087447086325,-78665.56961532516,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,1,1433.7156693935394,-104.21920628273588,-55.496264477849046,-70.24843397666389,-79565.86397470025,8760
1207.5677749738095,953.9785703644156,643.0244636423886,2,1207.5677749738095,-118.6712799717608,-63.19192821724002,-79.98978019437868,-76308.53615359722,8760
1442.494648694992,1139.5708111524582,768.121980547905,3,1442.494648694992,-102.45076847050497,-54.55457824915558,-69.05642581932622,-78694.68718621913,8760
934.803206205368,988.3797489404678,497.7785634994507,4,934.803206205368,-159.8188422254658,-85.10282503851438,-80.48970427451508,-79554.39370313771,8760
1171.828942976892,925.744892977178,623.9936952479184,5,1171.828942976892,-122.30183760524369,-65.12518404694477,-82.43693933593022,-76315.57558290684,8760
1442.4946563243866,1139.5708173513412,768.1219846010208,6,1442.4946563243866,-102.33384493787469,-54.492316987728834,-68.97761408828597,-78604.87606553343,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,7,1433.7156693935394,-104.19464369206473,-55.48318500740624,-70.23187768545229,-79547.11173297903,8760
1171.828942976892,925.744892977178,623.9936952479184,8,1171.828942976892,-122.38132064351734,-65.16750841097345,-82.49051447864842,-76365.17249766874,8760
1412.95791888237,1116.2367943525314,752.393802523613,9,1412.95791888237,-104.58452893892178,-55.69079613902295,-70.4946762296429,-78688.7514134962,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,10,1433.7156693935394,-104.24548364062711,-55.51025705422076,-70.26614609813116,-79585.92535069956,8760
1171.828942976892,925.744892977178,623.9936952479184,11,1171.828942976892,-122.39869661168376,-65.17676103666568,-82.50222666271439,-76376.01499225342,8760
1442.494648694992,1139.5708111524582,768.121980547905,12,1442.494648694992,-102.37431749703592,-54.51386844603153,-69.00489442471593,-78635.96351306327,8760
1297.5513627529144,1051.1623058319092,690.9403380155563,13,1297.5513627529144,-115.12022962356967,-61.301011005669366,-75.66977043149137,-79541.2103685377,8760
1171.828942976892,925.744892977178,623.9936952479184,14,1171.828942976892,-122.3021796506571,-65.12536618460464,-82.43716988992308,-76315.78901708829,8760
1442.494648694992,1139.5708111524582,768.121980547905,15,1442.494648694992,-102.42230778053782,-54.539423058413554,-69.03724203422802,-78672.82590467381,8760
1501.0754108428955,1185.8496088981628,799.3159884214401,16,1501.0754108428955,-99.57607631805658,-53.023818317430575,-67.11875542063895,-79592.74986529615,8760
1171.828942976892,925.744892977178,623.9936952479184,17,1171.828942976892,-122.39283555719426,-65.17364005124296,-82.49827604837485,-76372.35773120447,8760
1442.494648694992,1139.5708111524582,768.121980547905,18,1442.494648694992,-102.40783751348833,-54.53171770561023,-69.02748842341566,-78661.7109744887,8760
1436.8619573116302,1135.120979309082,765.1226109266281,19,1436.8619573116302,-104.0286004980038,-55.39476775695099,-70.11995714546913,-79594.63442407579,8760
2074.353601180017,1638.739361666143,1104.5840883143246,20,2074.353601180017,-69.09460211220873,-36.79256903844129,-46.572871724981354,-76320.7980815551,8760
1442.494648694992,1139.5708111524582,768.121980547905,21,1442.494648694992,-102.4601324913685,-54.55956454859045,-69.06273759054851,-78701.87989647072,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,22,1433.7156693935394,-103.93216250336958,-55.34341494018112,-70.05495355494082,-79346.72119748619,8737
1442.494648694992,1139.5708111524582,768.121980547905,23,1442.494648694992,-102.42756864191287,-54.54222444368209,-69.04078809140958,-78676.8668879326,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,24,1433.7156693935394,-104.20634669278638,-55.4894168033141,-70.23976603447015,-79556.04635642059,8760
1293.3519775494933,1021.7480939850212,688.7041702158749,25,1293.3519775494933,-110.7624833581911,-58.98052928854281,-74.65889551575808,-76282.58419225266,8760
966.3174483776093,1064.884356379509,514.55973726511,26,966.3174483776093,-152.84585754817795,-81.38973836609992,-73.85621155093932,-78648.32430205088,8760
963.4159409999849,988.3797512054444,513.0147202014923,27,963.4159409999849,-155.06141950043497,-82.56951888972648,-80.48403525268787,-79548.79073906186,8760
1171.828942976892,925.744892977178,623.9936952479184,28,1171.828942976892,-122.28792196114257,-65.11777402841224,-82.42755956591984,-76306.89230872242,8760
1487.6067407131195,1175.2093645334244,792.1439689397812,29,1487.6067407131195,-99.27379392534746,-52.862853454157616,-66.91500213066766,-78639.13713173468,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,30,1433.7156693935394,-104.09792578187393,-55.43168314978191,-70.16668546253354,-79473.27271270016,8752
1442.494648694992,1139.5708111524582,768.121980547905,31,1442.494648694992,-102.42756864191287,-54.54222444368209,-69.04078809140958,-78676.8668879326,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,32,1433.7156693935394,-104.20634669278638,-55.4894168033141,-70.23976603447015,-79556.04635642059,8760
1293.3519775494933,1021.7480939850212,688.7041702158749,33,1293.3519775494933,-110.7624833581911,-58.98052928854281,-74.65889551575808,-76282.58419225266,8760
966.3174483776093,1064.884356379509,514.55973726511,34,966.3174483776093,-152.84585754817795,-81.38973836609992,-73.85621155093932,-78648.32430205088,8760
963.4159409999849,988.3797512054444,513.0147202014923,35,963.4159409999849,-155.06141950043497,-82.56951888972648,-80.48403525268787,-79548.79073906186,8760
1171.828942976892,925.744892977178,623.9936952479184,36,1171.828942976892,-122.28792196114257,-65.11777402841224,-82.42755956591984,-76306.89230872242,8760
1487.6067407131195,1175.2093645334244,792.1439689397812,37,1487.6067407131195,-99.18214503577698,-52.81405082833832,-66.85322665701653,-78566.5380166014,8753
1442.494648694992,1139.5708111524582,768.121980547905,38,1442.494648694992,-102.42756864191287,-54.54222444368209,-69.04078809140958,-78676.8668879326,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,39,1433.7156693935394,-104.20634669278638,-55.4894168033141,-70.23976603447015,-79556.04635642059,8760
1293.3519775494933,1021.7480939850212,688.7041702158749,40,1293.3519775494933,-110.7624833581911,-58.98052928854281,-74.65889551575808,-76282.58419225266,8760
966.3174483776093,1064.884356379509,514.55973726511,41,966.3174483776093,-152.84585754817795,-81.38973836609992,-73.85621155093932,-78648.32430205088,8760
963.4159409999849,988.3797512054444,513.0147202014923,42,963.4159409999849,-155.06141950043497,-82.56951888972648,-80.48403525268787,-79548.79073906186,8760
1171.828942976892,925.744892977178,623.9936952479184,43,1171.828942976892,-122.28792196114257,-65.11777402841224,-82.42755956591984,-76306.89230872242,8760
1487.6067407131195,1175.2093645334244,792.1439689397812,44,1487.6067407131195,-99.27379392534746,-52.862853454157616,-66.91500213066766,-78639.13713173468,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,45,1433.7156693935394,-104.18863043293503,-55.4799829736263,-70.22782447825541,-79542.5209269748,8760
1171.828942976892,925.744892977178,623.9936952479184,46,1171.828942976892,-122.34315668997591,-65.14718627561547,-82.46479025745505,-76341.35843127315,8760
1416.1764342784882,1118.7794216871262,754.1076477766037,47,1416.1764342784882,-104.30655218187152,-55.542774762830646,-70.30730740018565,-78658.36871355871,8760
1433.7156693935394,1132.6354122161863,763.4472264051437,48,1433.7156693935394,-104.19021033350957,-55.48082426366544,-70.2288894023242,-79543.72709768642,8760
1171.828942976892,925.744892977178,623.9936952479184,49,1171.828942976892,-122.1453302039757,-65.04184455252779,-82.3314463082163,-76217.91595125597,8748
