action_l2_mean,agent,agent_steps,reward_max,reward_mean,reward_min,reward_total
0.09965792474344355,Building_1,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.13933865450399088,Building_10,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.07639680729760548,Building_11,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.08050171037628279,Building_12,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.17400228050171038,Building_13,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.09783352337514253,Building_14,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.14686431014823262,Building_15,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.1703534777651083,Building_16,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.16351197263397949,Building_17,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.11311288483466363,Building_2,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.14367160775370583,Building_3,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.10763968072976055,Building_4,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.08278221208665906,Building_5,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.4383124287343215,Building_6,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.5454960091220068,Building_7,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.2597491448118586,Building_8,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
0.15940706955530218,Building_9,4385,0.09353677183389664,-0.5445028495685007,-0.912616491317749,-2387.644995357876
