episode,reward_mean,reward_sum,reward_min,reward_max
0,-0.6210917477015423,-5440.7637098655105,-0.9121193885803224,-0.0099624805152416
1,-0.6273420491722544,-5495.516350748949,-0.9226025342941284,-0.0105994148179888
2,-0.5940955721188472,-5204.277211761102,-0.8955875039100647,-0.0224178563803434
3,-0.6224002399069329,-5452.2261015847325,-0.9048901200294496,-0.0169650502502918
4,-0.627294075924016,-5491.95963471476,-0.9208441972732544,-0.0098553812131285
