algorithm,scenario,carbon_emissions,carbon_emissions_control,carbon_emissions_baseline,carbon_emissions_delta,carbon_emissions_daily_average_control,carbon_emissions_daily_average_baseline,carbon_emissions_daily_average_delta,peak_average,electricity_cost
HAPPO,E2,1.5592353506845364,11999741.10905805,,1431341.146902246,,,,1.4000273280828726,0.9674280513644307
MASAC,E2,1.051639591972696,9243171.298157984,,77648.98780810599,,,,1.0956074399714257,1.0050652080032747
MATD3,E2,1.0421428734111502,11019732.720185794,,23070.418478806503,,,,1.0054542490487863,1.0039575998186379
MAAC,E2,1.0469962875520018,10558754.019475915,,70654.19071758597,,,,1.0402106617728162,1.0039868213638963
