algorithm,scenario,episodes,kpi,value
MATD3,E2,50,electricity_cost_control,7050531.348741419
MATD3,E2,50,electricity_cost_delta,13934.67084307495
MATD3,E2,50,flex_composite,1.0006689541887155
MATD3,E3,50,peak_average,1.0071128697365774
MATD3,E3,50,ramping_average,1.0011383857310043
MATD3,E3,50,one_minus_load_factor_average,0.9935919536582044
MATD3,E3,50,pv_self_consumption_ratio,0.18289441719083424
MATD3,E3,50,battery_throughput_total,9011.283712025453
MATD3,E3,50,ev_charge_total,162807.5272996761
MATD3,E3,50,ev_v2g_export_total,29731.144519319758
MATD3,E3,50,carbon_emissions,1.0741932384067436
MATD3,E3,50,carbon_emissions_control,11044830.505711775
MATD3,E3,50,carbon_emissions_delta,41293.40711950582
MATD3,E3,50,electricity_cost,1.0091805161969924
MATD3,E3,50,electricity_cost_control,9734645.597044019
MATD3,E3,50,electricity_cost_delta,44399.364069434494
MATD3,E3,50,price_signal_deviation,0.3576461190979214
MATD3,E3,50,flex_composite,1.0006144030419286
MAAC,E1,50,peak_average,1.0307016374943516
MAAC,E1,50,ramping_average,1.010993644889474
MAAC,E1,50,one_minus_load_factor_average,0.9955821162398271
MAAC,E1,50,pv_self_consumption_ratio,0.1790606318207859
MAAC,E1,50,battery_throughput_total,341025.2909646616
MAAC,E1,50,ev_charge_total,11085.426500886679
MAAC,E1,50,ev_v2g_export_total,3710.111443613656
MAAC,E1,50,carbon_emissions,1.0279904744395534
MAAC,E1,50,carbon_emissions_control,10494384.743438182
MAAC,E1,50,carbon_emissions_delta,38565.84588019649
MAAC,E1,50,electricity_cost,1.001224116074091
MAAC,E1,50,electricity_cost_control,5918646.683298586
MAAC,E1,50,electricity_cost_delta,3628.0400708369775
MAAC,E1,50,price_signal_deviation,0.37992894346227535
MAAC,E1,50,flex_composite,1.0124257995412176
MAAC,E2,50,peak_average,1.0402106617728162
MAAC,E2,50,ramping_average,1.0186301738338828
MAAC,E2,50,one_minus_load_factor_average,0.9926963312773214
MAAC,E2,50,pv_self_consumption_ratio,0.17894812963963783
MAAC,E2,50,battery_throughput_total,604113.0413591035
MAAC,E2,50,ev_charge_total,10967.570031635463
MAAC,E2,50,ev_v2g_export_total,3716.8197939107195
MAAC,E2,50,carbon_emissions,1.0469962875520018
MAAC,E2,50,carbon_emissions_control,10558754.019475915
MAAC,E2,50,carbon_emissions_delta,70654.19071758597
MAAC,E2,50,electricity_cost,1.0039868213638963
MAAC,E2,50,electricity_cost_control,6667886.462194674
MAAC,E2,50,electricity_cost_delta,13275.329877851962
MAAC,E2,50,flex_composite,1.0171790556280067
MAAC,E3,50,peak_average,1.0309261417946909
MAAC,E3,50,ramping_average,1.0189549701035028
MAAC,E3,50,one_minus_load_factor_average,0.9914670028561496
