algorithm,scenario,episodes,kpi,value,gain,improved
HAPPO,E2,50,ev_departure_within_tolerance_rate,0.052139509097323726,,
HAPPO,E2,50,ev_v2g_export_total,51626.38560903435,,
HAPPO,E2,50,grid_export_baseline,40650861.100133896,,
HAPPO,E2,50,grid_export_control,39007600.305511184,,
HAPPO,E2,50,grid_export_delta,-823881.6964933941,823881.6964933941,True
HAPPO,E2,50,grid_export_ratio,0.959576236513787,0.040423763486213016,True
HAPPO,E2,50,grid_import,1.556078296510025,-0.556078296510025,False
HAPPO,E2,50,grid_import_baseline,11181035.626140594,,
HAPPO,E2,50,grid_import_control,10816847.511866113,,
HAPPO,E2,50,grid_import_delta,-182593.00192218114,182593.00192218114,True
HAPPO,E2,50,net_exchange_baseline,-29469825.4739933,,
HAPPO,E2,50,net_exchange_control,-28190752.793645073,,
HAPPO,E2,50,net_exchange_delta,641288.694571212,-641288.694571212,False
HAPPO,E2,50,one_minus_load_factor_average,0.8469709098763134,0.1530290901236866,True
HAPPO,E2,50,peak_average,1.4000273280828726,-0.40002732808287256,False
HAPPO,E2,50,pv_export_daily_average,107153.05721947478,,
HAPPO,E2,50,pv_export_total,39106401.174390815,,
HAPPO,E2,50,pv_generation_daily_average,135736.12476592427,,
HAPPO,E2,50,pv_generation_total,49538029.867697105,,
HAPPO,E2,50,pv_self_consumption_ratio,0.2105781905571617,,
HAPPO,E2,50,ramping_average,1.1827900919539245,-0.18279009195392448,False
HAPPO,E2,50,zero_net_energy,0.9783597732274801,0.021640226772519866,True
HAPPO,E2,50,flex_composite,1.1432627766377035,-0.14326277663770348,False
HAPPO,E3,50,battery_capacity_fade_ratio,0.0010271267729816233,0.9989728732270183,True
HAPPO,E3,50,battery_charge_total,7582573.977868812,,
HAPPO,E3,50,battery_discharge_total,6610485.955757943,,
HAPPO,E3,50,battery_equivalent_full_cycles,270.17931800858054,,
HAPPO,E3,50,battery_throughput_total,14193059.933626752,,
HAPPO,E3,50,carbon_emissions,1.5929649660423615,-0.5929649660423615,False
HAPPO,E3,50,carbon_emissions_baseline,9145136.299396222,,
HAPPO,E3,50,carbon_emissions_control,11352967.210959308,,
HAPPO,E3,50,carbon_emissions_daily_average_baseline,25058.028449082012,,
HAPPO,E3,50,carbon_emissions_daily_average_control,31107.570848615527,,
HAPPO,E3,50,carbon_emissions_daily_average_delta,6049.542399533514,-6049.542399533514,False
HAPPO,E3,50,carbon_emissions_delta,1106940.2269813095,-1106940.2269813095,False
HAPPO,E3,50,community_import_share,0.36970564723931837,,
HAPPO,E3,50,community_local_traded_daily_average,11009.847685926497,,
HAPPO,E3,50,community_local_traded_total,4018135.661709591,,
HAPPO,E3,50,cost_one_minus_load_factor_average,0.8462769592660307,0.15372304073396925,True
HAPPO,E3,50,cost_peak_average,1.421289039691373,-0.4212890396913731,False
HAPPO,E3,50,cost_ramping_average,1.1531549642453112,-0.15315496424531116,False
HAPPO,E3,50,electricity_cost,1.0297782949986545,-0.029778294998654475,False
HAPPO,E3,50,electricity_cost_baseline,7155283.926301469,,
HAPPO,E3,50,electricity_cost_control,7368356.081858005,,
HAPPO,E3,50,electricity_cost_daily_average_baseline,19605.755706271866,,
HAPPO,E3,50,electricity_cost_daily_average_control,20189.581683364784,,
HAPPO,E3,50,electricity_cost_daily_average_delta,583.8259770929183,-583.8259770929183,False
HAPPO,E3,50,electricity_cost_delta,106827.9907668146,-106827.9907668146,False
HAPPO,E3,50,ev_charge_total,194863.48174975626,,
HAPPO,E3,50,ev_departure_count,39682.0,,
HAPPO,E3,50,ev_departure_met_count,19974.0,,
HAPPO,E3,50,ev_departure_soc_deficit_mean,0.2435035878785236,0.7564964121214763,True
HAPPO,E3,50,ev_departure_success_rate,0.5033516455823799,,
HAPPO,E3,50,ev_departure_within_tolerance_count,2145.0,,
HAPPO,E3,50,ev_departure_within_tolerance_rate,0.054054735144397965,,
HAPPO,E3,50,ev_v2g_export_total,50550.84319304442,,
HAPPO,E3,50,grid_export_baseline,40650885.513671875,,
HAPPO,E3,50,grid_export_control,39221664.02686748,,
HAPPO,E3,50,grid_export_delta,-716568.80457832,716568.80457832,True
HAPPO,E3,50,grid_export_ratio,0.9648415657188153,0.0351584342811847,True
HAPPO,E3,50,grid_import,1.5908897406087221,-0.5908897406087221,False
HAPPO,E3,50,grid_import_baseline,11181293.325374603,,
HAPPO,E3,50,grid_import_control,10868472.504312508,,
HAPPO,E3,50,grid_import_delta,-156838.9811273196,156838.9811273196,True
HAPPO,E3,50,net_exchange_baseline,-29469592.18829727,,
HAPPO,E3,50,net_exchange_control,-28353191.522554968,,
HAPPO,E3,50,net_exchange_delta,559729.8234510022,-559729.8234510022,False
HAPPO,E3,50,one_minus_load_factor_average,0.8462769592660307,0.15372304073396925,True
HAPPO,E3,50,peak_average,1.421289039691373,-0.4212890396913731,False
HAPPO,E3,50,price_signal_deviation,0.45301425000360335,0.5469857499963966,True
HAPPO,E3,50,price_signal_deviation_baseline,0.38521250496020565,,
HAPPO,E3,50,price_signal_deviation_delta,0.0678017450433977,-0.0678017450433977,False
