algorithm,scenario,carbon_emissions,carbon_emissions_control,carbon_emissions_baseline,carbon_emissions_delta,carbon_emissions_daily_average_control,carbon_emissions_daily_average_baseline,carbon_emissions_daily_average_delta,peak_average,electricity_cost
HAPPO,E2,1.5592353506845364,11999741.10905805,9144881.242106719,1431341.146902246,32879.75643536856,25057.32958220816,7822.426853160402,1.4000273280828726,0.9674280513644307
MASAC,E2,1.051639591972696,9243171.298157984,9088297.682261093,77648.98780810599,25326.64815113502,24902.288431814846,424.35971932017395,1.0956074399714257,1.0050652080032747
MATD3,E2,1.0421428734111502,11019732.720185794,10973717.965442343,23070.418478806503,30194.4954086607,30068.413194498942,126.08221416175707,1.0054542490487863,1.0039575998186379
MAAC,E2,1.0469962875520018,10558754.019475915,10417831.77047322,70654.19071758597,28931.395874805567,28545.263442328724,386.13243247684466,1.0402106617728162,1.0039868213638963
