algorithm,scenario,episodes,kpi,value,gain,gain_kind,improved
MATD3,E2,50,pv_self_consumption_ratio,0.18275312574214034,-0.8172468742578597,higher_better,False
MATD3,E2,50,carbon_emissions,1.0421428734111502,-0.042142873411150195,ratio_lower_better,False
MATD3,E2,50,carbon_emissions_delta,23070.418478806503,-23070.418478806503,delta_lower_better,False
MATD3,E2,50,electricity_cost,1.0039575998186379,-0.003957599818637858,ratio_lower_better,False
MATD3,E2,50,electricity_cost_delta,13934.67084307495,-13934.67084307495,delta_lower_better,False
MATD3,E2,50,flex_composite,1.0006689541887155,-0.0006689541887154871,ratio_lower_better,False
MATD3,E3,50,peak_average,1.0071128697365774,-0.007112869736577432,ratio_lower_better,False
MATD3,E3,50,ramping_average,1.0011383857310043,-0.0011383857310043322,ratio_lower_better,False
MATD3,E3,50,one_minus_load_factor_average,0.9935919536582044,0.006408046341795592,ratio_lower_better,True
MATD3,E3,50,pv_self_consumption_ratio,0.18289441719083424,-0.8171055828091658,higher_better,False
MATD3,E3,50,carbon_emissions,1.0741932384067436,-0.07419323840674363,ratio_lower_better,False
MATD3,E3,50,carbon_emissions_delta,41293.40711950582,-41293.40711950582,delta_lower_better,False
MATD3,E3,50,electricity_cost,1.0091805161969924,-0.00918051619699245,ratio_lower_better,False
MATD3,E3,50,electricity_cost_delta,44399.364069434494,-44399.364069434494,delta_lower_better,False
MATD3,E3,50,flex_composite,1.0006144030419286,-0.0006144030419286128,ratio_lower_better,False
MAAC,E1,50,peak_average,1.0307016374943516,-0.03070163749435162,ratio_lower_better,False
MAAC,E1,50,ramping_average,1.010993644889474,-0.010993644889474075,ratio_lower_better,False
MAAC,E1,50,one_minus_load_factor_average,0.9955821162398271,0.004417883760172936,ratio_lower_better,True
MAAC,E1,50,pv_self_consumption_ratio,0.1790606318207859,-0.8209393681792141,higher_better,False
MAAC,E1,50,carbon_emissions,1.0279904744395534,-0.02799047443955338,ratio_lower_better,False
MAAC,E1,50,carbon_emissions_delta,38565.84588019649,-38565.84588019649,delta_lower_better,False
MAAC,E1,50,electricity_cost,1.001224116074091,-0.0012241160740908974,ratio_lower_better,False
MAAC,E1,50,electricity_cost_delta,3628.0400708369775,-3628.0400708369775,delta_lower_better,False
MAAC,E1,50,flex_composite,1.0124257995412176,-0.012425799541217586,ratio_lower_better,False
MAAC,E2,50,peak_average,1.0402106617728162,-0.04021066177281618,ratio_lower_better,False
MAAC,E2,50,ramping_average,1.0186301738338828,-0.018630173833882768,ratio_lower_better,False
MAAC,E2,50,one_minus_load_factor_average,0.9926963312773214,0.0073036687226786245,ratio_lower_better,True
MAAC,E2,50,pv_self_consumption_ratio,0.17894812963963783,-0.8210518703603622,higher_better,False
MAAC,E2,50,carbon_emissions,1.0469962875520018,-0.0469962875520018,ratio_lower_better,False
