algorithm,scenario,grid_import,zero_net_energy,peak_average,ramping_average,one_minus_load_factor_average,flex_composite,pv_self_consumption_ratio,pv_generation_total,battery_throughput_total,battery_capacity_fade_ratio,ev_departure_success_rate,ev_v2g_export_total,community_local_traded_total,carbon_emissions,electricity_cost
HAPPO,E1,1.5195933982824632,0.9813052920266815,1.3903228238073362,1.0839090593092051,0.8573905340133239,1.110540805709955,0.1796712076565404,49538029.867697105,8854830.572854016,0.0006346628308444818,0.5265611612317928,52779.5125936268,2591109.42864067,1.5237308415454343,1.0623729494773748
MASAC,E1,1.0526600476938446,0.9992642225192476,1.0850627613699078,1.0219691691061643,0.9786257116077314,1.028552547361268,0.16414201846505772,49538029.867697105,624333.4491729945,5.10651804180305e-05,0.03938813567864523,3833.1771123362705,919758.4699343944,1.053619622048921,1.0049419564019464
MATD3,E1,1.0395562335067712,0.9899596948084112,1.0081243650776304,1.0011755487359968,0.9934690566529493,1.0009229901555254,0.1829580151263629,49536465.346037395,8490.250799538378,6.491037768997175e-07,0.4393679754044655,29656.91909918259,1158122.876859773,1.0385496103000702,1.0080607462410982
MAAC,E1,1.027697229384953,0.9986756010334867,1.0307016374943516,1.010993644889474,0.9955821162398271,1.0124257995412176,0.1790606318207859,49669237.752368875,341025.2909646616,2.69326532687986e-05,0.04226097474925659,3710.111443613656,1237603.7434482607,1.0279904744395534,1.001224116074091
