algorithm,scenario,electricity_cost,electricity_cost_control,electricity_cost_baseline,electricity_cost_delta,electricity_cost_daily_average_control,electricity_cost_daily_average_baseline,electricity_cost_daily_average_delta,cost_peak_average,cost_ramping_average,cost_one_minus_load_factor_average,price_signal_deviation,peak_average,carbon_emissions
HAPPO,E3,1.0297782949986545,7368356.081858005,7155283.926301469,106827.9907668146,20189.581683364784,19605.755706271866,583.8259770929183,1.421289039691373,1.1531549642453112,0.8462769592660307,0.45301425000360335,1.421289039691373,1.5929649660423615
MASAC,E3,1.0055554410308447,7145558.689493987,7106081.274015802,19792.792564499217,19579.10817991274,19470.938529099127,108.16965081361293,1.0863807148533065,1.024945867130649,0.9777831177218483,0.3899742202101317,1.0863807148533065,1.0601897274206082
MATD3,E3,1.0091805161969924,9734645.597044019,9646089.516004698,44399.364069434494,26673.306807747056,26430.659708198742,242.6470995483156,1.0071128697365774,1.0011383857310043,0.9935919536582044,0.3576461190979214,1.0071128697365774,1.0741932384067436
MAAC,E3,1.002675335325078,7112781.500188709,7093803.197904205,9515.151784724349,19489.297408897022,19437.296123952612,52.00128494441179,1.0309261417946909,1.0189549701035028,0.9914670028561496,0.379623524784308,1.0309261417946909,1.043854275478452
