algorithm,group,improved,mean_gain,median_gain,n,not_improved,pct_improved
HAPPO,OE1_E1_flex,1,-0.11054080570995506,-0.09722493250958009,4,3,25.0
MASAC,OE1_E1_flex,1,-0.02855254736126786,-0.025260858233716155,4,3,25.0
MATD3,OE1_E1_flex,1,-0.000922990155525466,-0.001049269445761114,4,3,25.0
MAAC,OE1_E1_flex,1,-0.012425799541217586,-0.01170972221534583,4,3,25.0
HAPPO,OE2_E2_co2,0,-715670.8530687983,-715670.8530687983,2,2,0.0
MASAC,OE2_E2_co2,0,-38824.51972384898,-38824.51972384898,2,2,0.0
MATD3,OE2_E2_co2,0,-11535.230310839957,-11535.230310839957,2,2,0.0
MAAC,OE2_E2_co2,0,-35327.11885693676,-35327.11885693676,2,2,0.0
HAPPO,OE3_E3_cost,0,-53414.0102725548,-53414.0102725548,2,2,0.0
MASAC,OE3_E3_cost,0,-9896.399059970125,-9896.399059970125,2,2,0.0
MATD3,OE3_E3_cost,0,-22199.686624975344,-22199.686624975344,2,2,0.0
MAAC,OE3_E3_cost,0,-4757.577230029837,-4757.577230029837,2,2,0.0
HAPPO,ALL_hypothesis_kpis,5,-146338.74693016583,-0.16797252809961782,24,19,20.833333333333332
MASAC,ALL_hypothesis_kpis,3,-12469.228076573612,-0.04171078799442107,24,21,12.5
MATD3,ALL_hypothesis_kpis,3,-8020.663319204585,-0.007586807988837818,24,21,12.5
MAAC,ALL_hypothesis_kpis,3,-8710.421135103234,-0.02347272227152808,24,21,12.5
