algorithm,scenario,grid_import,zero_net_energy,peak_average,ramping_average,one_minus_load_factor_average,flex_composite,pv_self_consumption_ratio,battery_throughput_total,ev_departure_success_rate,ev_v2g_export_total,carbon_emissions,electricity_cost
HAPPO,E1,,,1.3903228238073362,1.0839090593092051,0.8573905340133239,1.110540805709955,0.1796712076565404,8854830.572854016,,52779.5125936268,1.5237308415454343,1.0623729494773748
MASAC,E1,,,1.0850627613699078,1.0219691691061643,0.9786257116077314,1.028552547361268,0.16414201846505772,624333.4491729945,,3833.1771123362705,1.053619622048921,1.0049419564019464
MATD3,E1,,,1.0081243650776304,1.0011755487359968,0.9934690566529493,1.0009229901555254,0.1829580151263629,8490.250799538378,,29656.91909918259,1.0385496103000702,1.0080607462410982
MAAC,E1,,,1.0307016374943516,1.010993644889474,0.9955821162398271,1.0124257995412176,0.1790606318207859,341025.2909646616,,3710.111443613656,1.0279904744395534,1.001224116074091
