algorithm,scenario,n_kpis,source,battery_capacity_fade_ratio,battery_charge_total,battery_discharge_total,battery_equivalent_full_cycles,battery_throughput_total,carbon_emissions,carbon_emissions_baseline,carbon_emissions_control,carbon_emissions_daily_average_baseline,carbon_emissions_daily_average_control,carbon_emissions_daily_average_delta,carbon_emissions_delta,community_import_share,community_local_traded_daily_average,community_local_traded_total,cost_one_minus_load_factor_average,cost_peak_average,cost_ramping_average,electricity_cost,electricity_cost_baseline,electricity_cost_control,electricity_cost_daily_average_baseline,electricity_cost_daily_average_control,electricity_cost_daily_average_delta,electricity_cost_delta,ev_charge_total,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total,grid_export_baseline,grid_export_control,grid_export_delta,grid_export_ratio,grid_import,grid_import_baseline,grid_import_control,grid_import_delta,net_exchange_baseline,net_exchange_control,net_exchange_delta,one_minus_load_factor_average,peak_average,price_signal_deviation,pv_export_daily_average,pv_export_total,pv_generation_daily_average,pv_generation_total,pv_self_consumption_ratio,ramping_average,zero_net_energy,carbon_emissions__baseline,carbon_emissions_control__baseline,carbon_emissions_daily_average_control__baseline,carbon_emissions_daily_average_delta__baseline,carbon_emissions_delta__baseline,cost_one_minus_load_factor_average__baseline,cost_peak_average__baseline,cost_ramping_average__baseline,electricity_cost__baseline,electricity_cost_control__baseline,electricity_cost_daily_average_control__baseline,electricity_cost_daily_average_delta__baseline,electricity_cost_delta__baseline,grid_export_control__baseline,grid_export_delta__baseline,grid_export_ratio__baseline,grid_import__baseline,grid_import_control__baseline,grid_import_delta__baseline,net_exchange_control__baseline,net_exchange_delta__baseline,one_minus_load_factor_average__baseline,peak_average__baseline,price_signal_deviation__baseline,ramping_average__baseline,zero_net_energy__baseline,carbon_emissions__delta,carbon_emissions_control__delta,carbon_emissions_daily_average_control__delta,carbon_emissions_daily_average_delta__delta,carbon_emissions_delta__delta,cost_one_minus_load_factor_average__delta,cost_peak_average__delta,cost_ramping_average__delta,electricity_cost__delta,electricity_cost_control__delta,electricity_cost_daily_average_control__delta,electricity_cost_daily_average_delta__delta,electricity_cost_delta__delta,grid_export_control__delta,grid_export_delta__delta,grid_export_ratio__delta,grid_import__delta,grid_import_control__delta,grid_import_delta__delta,net_exchange_control__delta,net_exchange_delta__delta,one_minus_load_factor_average__delta,peak_average__delta,price_signal_deviation__delta,ramping_average__delta,zero_net_energy__delta
MAAC,E1,54,objective_kpis.csv,2.69326532687986e-05,181649.98978283536,159375.30118182607,6.491762943818274,341025.2909646616,1.0279904744395534,10417463.817999348,10494384.743438182,28544.255238267426,28755.02155982605,210.76632155862825,38565.84588019649,0.0991041130990253,3391.082297380781,1237603.7434482607,0.9955821162398272,1.0307016374943516,1.010993644889474,1.001224116074091,5911410.430769732,5918646.683298586,16197.494044808036,16217.321657628276,19.8276128202408,3628.0400708369775,11085.42650088668,39682.0,1677.0,0.5001015868844906,0.0422609747492565,542.0,0.0136585857567662,3710.111443613656,39642401.10018158,39628757.33693227,-6840.573845111944,0.9996558290398498,1.027697229384953,12471908.741031649,12487915.029436173,8025.073128036143,-27170492.359149933,-27140842.307496104,14865.646973146218,0.9955821162398272,1.0307016374943516,0.3799289434622753,111726.2682727422,40775432.65837287,136095.6394630498,49669237.75236888,0.1790606318207859,1.010993644889474,0.9986756010334868,1.0,10417463.817999348,28544.255238267426,0.0,0.0,1.0,1.0,1.0,1.0,5911410.430769732,16197.494044808036,0.0,0.0,39642401.10018158,0.0,1.0,1.0,12471908.741031649,0.0,-27170492.359149933,0.0,1.0,1.0,0.3793213483543036,1.0,1.0,0.0279904744395533,76920.92543883435,210.766321558629,210.76632155862825,38565.84588019649,-0.0044178837601729,0.0307016374943516,0.010993644889474,0.0012241160740908,7236.252528853714,19.827612820239665,19.8276128202408,3628.0400708369775,-13643.76324930787,-6840.573845111944,-0.0003441709601501,0.0276972293849528,16006.288404524326,8025.073128036143,29650.051653828472,14865.646973146218,-0.0044178837601729,0.0307016374943516,0.0006075951079717,0.010993644889474,-0.0013243989665132
MAAC,E2,54,objective_kpis.csv,4.703947281918824e-05,324341.5473796671,279771.4939794364,11.499905607231849,604113.0413591035,1.0469962875520018,10417831.77047322,10558754.019475916,28545.263442328724,28931.395874805567,386.1324324768447,70654.19071758597,0.1026968600276509,3523.595829408709,1285965.661241287,0.9926963312773214,1.0402106617728162,1.0186301738338828,1.0039868213638965,6641408.353484642,6667886.462194674,18197.716689534354,18270.26773520632,72.55104567196791,13275.329877851962,10967.570031635463,39682.0,1620.0,0.5008193109843627,0.0408245552139509,522.0,0.013154578902273,3716.81979391072,39642530.32753754,39640434.04137335,-1051.0150348243806,0.999947120273432,1.046308935568358,12472232.392642977,12521956.960466396,24930.40753471335,-27170297.93489456,-27118477.08090696,25981.422569535865,0.9926963312773214,1.0402106617728162,,111741.57932902654,40781020.555955976,136095.6394630498,49669237.75236888,0.1789481296396378,1.0186301738338828,0.9988305956826784,1.0,10417831.77047322,28545.263442328724,0.0,0.0,1.0,1.0,1.0,1.0,6641408.353484642,18197.716689534354,0.0,0.0,39642530.32753754,0.0,1.0,1.0,12472232.392642977,0.0,-27170297.93489456,0.0,1.0,1.0,,1.0,1.0,0.0469962875520018,140922.24900269508,386.13243247684295,386.1324324768447,70654.19071758597,-0.0073036687226786,0.0402106617728161,0.0186301738338827,0.0039868213638962,26478.10871003196,72.55104567196759,72.55104567196791,13275.329877851962,-2096.286164186895,-1051.0150348243806,-5.287972656808915e-05,0.0463089355683579,49724.56782342121,24930.40753471335,51820.85398760438,25981.422569535865,-0.0073036687226786,0.0402106617728161,,0.0186301738338827,-0.0011694043173217
MAAC,E3,54,objective_kpis.csv,4.901524072530628e-05,329128.66625897866,286116.1736024983,11.711810703218552,615244.839861477,1.043854275478452,10417672.837767562,10564094.134996949,28544.827960545896,28946.027998621623,401.2000380757261,73411.2486337313,0.1039488707557312,3564.166726559425,1300772.34824725,0.9914670028561496,1.0309261417946909,1.0189549701035028,1.002675335325078,7093803.197904205,7112781.500188709,19437.29612395261,19489.297408897022,52.00128494441179,9515.151784724349,10967.148514784873,39682.0,1610.0,0.5008684875193997,0.0405725517867043,529.0,0.0133309813013456,3677.922525198199,39642599.684288025,39633783.8457522,-4419.997137812434,0.9997776170431294,1.0431945249019292,12472092.516483309,12513578.442847416,20799.799706357386,-27170507.16780472,-27120205.40290478,25219.796844169818,0.9914670028561496,1.0309261417946909,0.379623524784308,111708.71116338148,40769025.04500243,136095.6394630498,49669237.75236888,0.1791896374923121,1.0189549701035028,0.998817912086312,1.0,10417672.837767562,28544.827960545896,0.0,0.0,1.0,1.0,1.0,1.0,7093803.197904205,19437.29612395261,0.0,0.0,39642599.684288025,0.0,1.0,1.0,12472092.516483309,0.0,-27170507.16780472,0.0,1.0,1.0,0.3793153256301461,1.0,1.0,0.0438542754784521,146421.29722938687,401.2000380757272,401.2000380757261,73411.2486337313,-0.0085329971438503,0.0309261417946908,0.0189549701035027,0.0026753353250779,18978.302284504287,52.00128494441015,52.00128494441179,9515.151784724349,-8815.838535830379,-4419.997137812434,-0.0002223829568706,0.0431945249019292,41485.92636410892,20799.799706357386,50301.7648999393,25219.796844169818,-0.0085329971438503,0.0309261417946908,0.0003081991541618,0.0189549701035027,-0.001182087913688
MASAC,E1,54,objective_kpis.csv,5.10651804180305e-05,332451.2102501957,291882.2389227986,11.884821616785851,624333.4491729945,1.053619622048921,9088716.879895853,9250726.214372514,24903.43704960617,25347.348914823648,443.9118652174749,81226.6231709392,0.0823660860230537,2520.173910083967,919758.4699343944,0.9786257116077314,1.0850627613699078,1.0219691691061643,1.0049419564019464,5921703.1287605055,5950967.92744811,16225.69643683664,16305.883121218703,80.18668438206441,14672.49268599316,10720.165089577436,39682.0,1563.0,0.5027141603949834,0.0393881356786452,469.0,0.011818960737866,3833.1771123362714,40655093.25299454,40666473.210258365,5705.569394234239,1.000279914676201,1.0526600476938446,11107877.379131315,11166713.320297375,29498.57696435126,-29547215.87386322,-29499759.88996099,23793.00757011609,0.9786257116077314,1.0850627613699078,0.3893524202098816,113456.12326822054,41406757.654430985,135736.1247659243,49538029.86769711,0.1641420184650577,1.0219691691061643,0.9992642225192476,1.0,9088716.879895853,24903.43704960617,0.0,0.0,1.0,1.0,1.0,1.0,5921703.1287605055,16225.69643683664,0.0,0.0,40655093.25299454,0.0,1.0,1.0,11107877.379131315,0.0,-29547215.87386322,0.0,1.0,1.0,0.3845739346847668,1.0,1.0,0.0536196220489209,162009.33447666094,443.91186521747295,443.9118652174749,81226.6231709392,-0.0213742883922686,0.0850627613699077,0.0219691691061643,0.0049419564019463,29264.798687604256,80.18668438206441,80.18668438206441,14672.49268599316,11379.957263827324,5705.569394234239,0.0002799146762009,0.0526600476938445,58835.941166060045,29498.57696435126,47455.98390223086,23793.00757011609,-0.0213742883922686,0.0850627613699077,0.0047784855251148,0.0219691691061643,-0.0007357774807523
MASAC,E2,54,objective_kpis.csv,4.9553800053448544e-05,345132.82154580933,292814.6935327461,12.143979195129742,637947.5150785556,1.051639591972696,9088297.682261093,9243171.298157984,24902.288431814846,25326.64815113502,424.359719320174,77648.98780810599,0.0818013480076031,2502.174943581016,913189.5971177547,0.9788572813323028,1.0956074399714255,1.0208812307447095,1.0050652080032747,5914557.320100955,5944515.783174557,16206.11664372907,16288.203995454887,82.08735172581879,15020.275212663882,11514.183938987551,39682.0,1612.0,0.5010665009797093,0.0406229524721536,507.0,0.0127765737614031,3494.122005420897,40654819.36426163,40650741.652760245,-2044.4422945907447,0.9998996991853574,1.0508408423700657,11107242.547481537,11163503.03949608,28207.32397326982,-29547576.81678009,-29487238.61326416,30251.766267861494,0.9788572813323028,1.0956074399714255,,113436.8744305524,41399732.63071702,135736.1247659243,49538029.86769711,0.1642838291856845,1.0208812307447095,0.99886872701303,1.0,9088297.682261093,24902.288431814846,0.0,0.0,1.0,1.0,1.0,1.0,5914557.320100955,16206.11664372907,0.0,0.0,40654819.36426163,0.0,1.0,1.0,11107242.547481537,0.0,-29547576.81678009,0.0,1.0,1.0,,1.0,1.0,0.0516395919726959,154873.6158968918,424.3597193201749,424.359719320174,77648.98780810599,-0.0211427186676973,0.0956074399714257,0.0208812307447094,0.0050652080032747,29958.463073601943,82.08735172581873,82.08735172581879,15020.275212663882,-4077.7115013822913,-2044.4422945907447,-0.0001003008146426,0.0508408423700657,56260.492014544085,28207.32397326982,60338.20351592824,30251.766267861494,-0.0211427186676973,0.0956074399714257,,0.0208812307447094,-0.0011312729869701
MASAC,E3,54,objective_kpis.csv,5.80514716116429e-05,383545.6101811567,333467.48643100867,13.649072881522985,717013.0966121654,1.0601897274206082,9088742.930663891,9270045.676568365,24903.508429721816,25400.284991168028,496.7765614462115,90899.7612329599,0.0841069673487208,2574.6685330692567,939646.736714734,0.9777831177218484,1.0863807148533065,1.024945867130649,1.0055554410308447,7106081.274015802,7145558.689493987,19470.938529099127,19579.10817991274,108.16965081361292,19792.792564499217,11565.11733596772,39682.0,1643.0,0.5003155133857917,0.0414041630966181,516.0,0.0130033768459251,3547.4206320410594,40654393.347538,40660493.79111493,3058.5795145712286,1.000150056195029,1.059114980913243,11107847.682125092,11172043.961813642,32186.08999340884,-29546545.665412903,-29488449.82930129,29127.510478838543,0.9777831177218484,1.0863807148533065,0.3899742202101317,113432.64319114308,41398188.40463425,135736.1247659243,49538029.86769711,0.1643150017229632,1.024945867130649,0.9992077522258008,1.0,9088742.930663891,24903.508429721816,0.0,0.0,1.0,1.0,1.0,1.0,7106081.274015802,19470.938529099127,0.0,0.0,40654393.347538,0.0,1.0,1.0,11107847.682125092,0.0,-29546545.665412903,0.0,1.0,1.0,0.3845799501022525,1.0,1.0,0.0601897274206082,181302.7459044736,496.7765614462114,496.7765614462115,90899.7612329599,-0.0222168822781516,0.0863807148533064,0.024945867130649,0.0055554410308447,39477.41547818482,108.16965081361197,108.16965081361292,19792.792564499217,6100.443576939404,3058.5795145712286,0.0001500561950289,0.0591149809132429,64196.27968855016,32186.08999340884,58095.83611161262,29127.510478838543,-0.0222168822781516,0.0863807148533064,0.0053942701078791,0.024945867130649,-0.000792247774199
MATD3,E1,54,objective_kpis.csv,6.491037768997175e-07,2339.0884487526127,6151.162350785767,0.16162055127424,8490.250799538378,1.0385496103000702,10986820.520467822,11060066.494980272,30104.31470387347,30305.01151724244,200.69681336897017,36723.33566290968,0.0871140856236642,3173.3016377023123,1158122.876859773,0.9934690566529492,1.0081243650776304,1.0011755487359968,1.0080607462410982,8183897.547443151,8249865.868836236,22424.19695611778,22604.95271744145,180.75576132367345,33074.53857720466,154012.73039302416,39682.0,17435.0,0.3150071212508084,0.4393679754044655,624.0,0.0157250138601885,29656.91909918259,39352684.03644943,39321485.62116025,-15641.950079056976,0.9992072099768268,1.0395562335067712,13204978.475624084,13294323.972622547,44795.15356419106,-26147705.560825348,-26027161.6485377,60437.10364324804,0.9934690566529492,1.0081243650776304,0.3844033689016431,110898.61026130983,40473371.96995053,135731.8379158463,49536465.3460374,0.1829580151263629,1.0011755487359968,0.9899596948084112,1.0,10986820.520467822,30104.31470387347,0.0,0.0,1.0,1.0,1.0,1.0,8183897.547443151,22424.19695611778,0.0,0.0,39352684.03644943,0.0,1.0,1.0,13204978.475624084,0.0,-26147705.560825348,0.0,1.0,1.0,0.3833222877398896,1.0,1.0,0.0385496103000702,73245.9745124504,200.6968133689697,200.69681336897017,36723.33566290968,-0.0065309433470507,0.0081243650776303,0.0011755487359967,0.0080607462410982,65968.32139308564,180.7557613236713,180.75576132367345,33074.53857720466,-31198.41528918594,-15641.950079056976,-0.0007927900231732,0.0395562335067711,89345.49699846283,44795.15356419106,120543.91228764877,60437.10364324804,-0.0065309433470507,0.0081243650776303,0.0010810811617534,0.0011755487359967,-0.0100403051915888
MATD3,E2,54,objective_kpis.csv,7.260281661379266e-07,4405.469097682344,5079.013320605412,0.1805467604181785,9484.482418287756,1.0421428734111502,10973717.965442345,11019732.720185794,30068.413194498946,30194.4954086607,126.08221416175708,23070.418478806503,0.0875007470128824,3174.492712941129,1158557.569693806,0.9957821650426082,1.0054542490487863,1.0007704484747515,1.003957599818638,7022738.161467254,7050531.348741419,19242.575165568454,19318.72957755384,76.15441198538058,13934.67084307495,113188.61708337814,39682.0,14450.0,0.3603148872196515,0.3641449523713522,537.0,0.0135325840431429,37559.584774988005,39352683.93083191,39329922.57472762,-11411.861551775111,0.9994216060041978,1.043199799675752,13188350.688228607,13240544.900985071,26168.61346272645,-26164333.242603306,-26089377.673742544,37580.47501450157,0.9957821650426082,1.0054542490487863,,110926.4202739998,40483521.465831846,135731.8379158463,49536465.3460374,0.1827531257421403,1.0007704484747515,0.995741650838586,1.0,10973717.965442345,30068.413194498946,0.0,0.0,1.0,1.0,1.0,1.0,7022738.161467254,19242.575165568454,0.0,0.0,39352683.93083191,0.0,1.0,1.0,13188350.688228607,0.0,-26164333.242603306,0.0,1.0,1.0,,1.0,1.0,0.0421428734111501,46014.75474345125,126.08221416175728,126.08221416175708,23070.418478806503,-0.0042178349573918,0.0054542490487863,0.0007704484747517,0.0039575998186378,27793.18727416452,76.15441198537883,76.15441198538058,13934.67084307495,-22761.356104291972,-11411.861551775111,-0.0005783939958021,0.043199799675752,52194.21275646612,26168.61346272645,74955.5688607581,37580.47501450157,-0.0042178349573918,0.0054542490487863,,0.0007704484747517,-0.0042583491614138
MATD3,E3,54,objective_kpis.csv,6.97173786666607e-07,3423.316059965005,5587.96765206045,0.1715389422071395,9011.283712025452,1.0741932384067436,10962469.364197545,11044830.505711775,30037.5915904488,30263.264315228065,225.67272477926448,41293.40711950582,0.0869858368039575,3164.7602825554086,1155005.638120951,0.9935919536582044,1.0071128697365774,1.0011383857310043,1.0091805161969924,9646089.516004698,9734645.59704402,26430.659708198746,26673.306807747056,242.6470995483156,44399.364069434494,162807.5272996761,39682.0,19144.0,0.2920805822038773,0.4824353611209112,700.0,0.0176402399072627,29731.14451931976,39352683.96653366,39325835.1259214,-13461.203738868671,0.999317738006508,1.075911468511894,13174025.587869644,13278088.486106314,52174.01730863507,-26178658.378664017,-26047746.639815085,65635.22104750374,0.9935919536582044,1.0071128697365774,0.3576461190979214,110907.2425259868,40476522.38687993,135731.8379158463,49536465.3460374,0.1828944171908342,1.0011383857310043,0.9911313266696662,1.0,10962469.364197545,30037.5915904488,0.0,0.0,1.0,1.0,1.0,1.0,9646089.516004698,26430.659708198746,0.0,0.0,39352683.96653366,0.0,1.0,1.0,13174025.587869644,0.0,-26178658.378664017,0.0,1.0,1.0,0.3563017643367849,1.0,1.0,0.0741932384067436,82361.14151423238,225.672724779266,225.67272477926448,41293.40711950582,-0.0064080463417955,0.0071128697365774,0.0011383857310043,0.0091805161969924,88556.08103932068,242.64709954831412,242.6470995483156,44399.364069434494,-26848.840612262487,-13461.203738868671,-0.0006822619934918,0.075911468511894,104062.8982366696,52174.01730863507,130911.73884893207,65635.22104750374,-0.0064080463417955,0.0071128697365774,0.0013443547611364,0.0011383857310043,-0.0088686733303338
