algorithm,scenario,oe,objetivo,kpi,value,baseline,signed_relative_gain,lower_is_better
MATD3,E2,OE2,OE.2 Emisiones de CO2,carbon_emissions_control,11019732.720185794,10973717.965442345,-0.004193178181574904,True
MATD3,E2,OE2,OE.2 Emisiones de CO2,carbon_emissions_daily_average_control,30194.4954086607,30068.413194498946,-0.004193178181574961,True
MATD3,E2,OE2,OE.2 Emisiones de CO2,carbon_emissions_daily_average_delta,126.08221416175708,0.0,-1.0,True
MATD3,E2,OE2,OE.2 Emisiones de CO2,carbon_emissions_delta,23070.418478806503,0.0,-1.0,True
MATD3,E2,OE2,OE.2 Emisiones de CO2,__AXIS_SCORE__,-0.41010584595486,,-0.41010584595486,False
MAAC,E3,OE3,OE.3 Costos energeticos,cost_one_minus_load_factor_average,0.9914670028561496,1.0,0.008532997143850363,True
MAAC,E3,OE3,OE.3 Costos energeticos,cost_peak_average,1.0309261417946909,1.0,-0.030926141794690887,True
MAAC,E3,OE3,OE.3 Costos energeticos,cost_ramping_average,1.0189549701035028,1.0,-0.018954970103502777,True
MAAC,E3,OE3,OE.3 Costos energeticos,electricity_cost,1.002675335325078,1.0,-0.00267533532507791,True
MAAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_control,7112781.500188709,7093803.197904205,-0.0026753353250779837,True
MAAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_control,19489.297408897022,19437.29612395261,-0.0026753353250780865,True
MAAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_daily_average_delta,52.00128494441179,0.0,-1.0,True
MAAC,E3,OE3,OE.3 Costos energeticos,electricity_cost_delta,9515.151784724349,0.0,-1.0,True
MAAC,E3,OE3,OE.3 Costos energeticos,price_signal_deviation,0.379623524784308,0.3793153256301461,-0.0008125143734962771,True
MAAC,E3,OE3,OE.3 Costos energeticos,__AXIS_SCORE__,-0.22779851501145268,,-0.22779851501145268,False
MASAC,E3,OE3,OE.3 Costos energeticos,cost_one_minus_load_factor_average,0.9777831177218484,1.0,0.02221688227815155,True
MASAC,E3,OE3,OE.3 Costos energeticos,cost_peak_average,1.0863807148533065,1.0,-0.08638071485330645,True
