objetivo,oe,scenario,algorithm,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source
OE.3 Costos energeticos,OE3,E3,MAAC,cost_one_minus_load_factor_average,0.9914670028561496,1.0,-0.0085329971438503,True,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,cost_peak_average,1.0309261417946909,1.0,0.0309261417946908,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,cost_ramping_average,1.0189549701035028,1.0,0.0189549701035027,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost,1.002675335325078,1.0,0.0026753353250779,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_baseline,7093803.197904205,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_control,7112781.500188709,7093803.197904205,18978.302284504287,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_daily_average_baseline,19437.29612395261,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_daily_average_control,19489.297408897022,19437.29612395261,52.00128494441015,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_daily_average_delta,52.00128494441179,0.0,52.00128494441179,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,electricity_cost_delta,9515.151784724349,0.0,9515.151784724349,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MAAC,price_signal_deviation,0.379623524784308,0.3793153256301461,0.0003081991541618,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,cost_one_minus_load_factor_average,0.9777831177218484,1.0,-0.0222168822781516,True,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,cost_peak_average,1.0863807148533065,1.0,0.0863807148533064,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,cost_ramping_average,1.024945867130649,1.0,0.024945867130649,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost,1.0055554410308447,1.0,0.0055554410308447,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_baseline,7106081.274015802,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_control,7145558.689493987,7106081.274015802,39477.41547818482,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_daily_average_baseline,19470.938529099127,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_daily_average_control,19579.10817991274,19470.938529099127,108.16965081361197,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_daily_average_delta,108.16965081361292,0.0,108.16965081361292,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,electricity_cost_delta,19792.792564499217,0.0,19792.792564499217,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MASAC,price_signal_deviation,0.3899742202101317,0.3845799501022525,0.0053942701078791,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,cost_one_minus_load_factor_average,0.9935919536582044,1.0,-0.0064080463417955,True,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,cost_peak_average,1.0071128697365774,1.0,0.0071128697365774,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,cost_ramping_average,1.0011383857310043,1.0,0.0011383857310043,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost,1.0091805161969924,1.0,0.0091805161969924,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_baseline,9646089.516004698,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_control,9734645.59704402,9646089.516004698,88556.08103932068,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_daily_average_baseline,26430.659708198746,,,,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_daily_average_control,26673.306807747056,26430.659708198746,242.64709954831412,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_daily_average_delta,242.6470995483156,0.0,242.6470995483156,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,electricity_cost_delta,44399.364069434494,0.0,44399.364069434494,False,True,True,objective_kpis.csv
OE.3 Costos energeticos,OE3,E3,MATD3,price_signal_deviation,0.3576461190979214,0.3563017643367849,0.0013443547611364,False,True,True,objective_kpis.csv
