agent,algorithm,battery_throughput_total_kwh,building_id,carbon_emissions_delta_kgco2,electricity_cost_delta_eur,ev_charge_total_kwh,ev_departure_count,ev_departure_success_rate,ev_total,flex_composite_proxy,grid_export_max,grid_import_max,grid_role_control,nombre,objective,pv_self_consumption_ratio,run_id,scenario,tipo_uso
Building_1,MASAC,148154.7372655461,1,38011.441977117676,12608.441071504261,457.6761318743229,924.0,0.02922077922077922,4,149.13390417083932,0.0,446.8856201171875,net_importer,ELECTRO ORIENTE S.A.,OE1_flexibilidad,0.4839076046695805,madrl_v3_20260627_164047,E1,Office
Building_2,MASAC,5013.655820707325,2,1368.9330320151603,-315.5849476327385,16.95028519630432,542.0,0.007380073800738007,6,5.385010325114078,0.0,15.16435432434082,net_exporter,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,OE1_flexibilidad,0.009323348998583248,madrl_v3_20260627_164047,E1,Office
Building_3,MASAC,54207.54009071289,3,13061.924938681419,1527.3787585422688,660.0751714110374,2505.0,0.023552894211576848,8,160.21697188693494,381.63739013671875,98.17061614990234,net_exporter,AEROPUERTO INTERNACIONAL,OE1_flexibilidad,0.15709062581621952,madrl_v3_20260627_164047,E1,Assembly
Building_4,MASAC,19580.168176272062,4,4831.021028340037,789.4806635804125,152.44102025032043,1426.0,0.014726507713884993,6,12.279746731175228,0.0,36.67196273803711,net_importer,HIPERMERCADOS TOTTUS ORIENTE SAC,OE1_flexibilidad,0.8327225445114239,madrl_v3_20260627_164047,E1,Retail
Building_5,MASAC,7073.973438132634,5,1474.3818138134666,-519.9722254097578,254.56127274036407,746.0,0.04423592493297587,3,18.196857595852045,0.0,54.225337982177734,net_importer,HOTEL PLAZA S.A.,OE1_flexibilidad,0.6347651946216002,madrl_v3_20260627_164047,E1,MultiFamily_Hotel
Building_6,MASAC,79025.95569919237,6,16104.228118202183,4501.239303347655,1406.0533001422882,7949.0,0.020631525978110455,32,121.05979354130424,0.0,362.8901062011719,net_importer,MALL AVENTURA S.A.,OE1_flexibilidad,0.7107255772591512,madrl_v3_20260627_164047,E1,Commercial_Mall
Building_7,MASAC,22417.229134745005,7,8563.841417380252,2188.72682629068,2126.3184623867273,7786.0,0.06075006421782687,42,6.542862527616368,0.0,18.66022491455078,net_exporter,UNAP-FACULTAD DE BIOLOGIA-AULAS,OE1_flexibilidad,0.03163733170167804,madrl_v3_20260627_164047,E1,Education
Building_8,MASAC,11679.187441157119,8,3398.927174072196,-591.3960286215188,1446.981806665659,3726.0,0.05636070853462158,17,43.729676152715285,0.0,130.197021484375,net_exporter,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,OE1_flexibilidad,0.007993026229147283,madrl_v3_20260627_164047,E1,Assembly_Military
Building_9,MASAC,3029.5625061163346,9,825.9888640280333,-272.90791547088793,238.81814788281918,1847.0,0.021115322144017325,10,2.039856139193834,0.0,5.135069847106934,net_exporter,GOBIERNO REGIONAL DE LORETO - COER,OE1_flexibilidad,0.015501429525431881,madrl_v3_20260627_164047,E1,Office_Critical
Building_10,MASAC,60599.63553045719,10,17547.88177893829,3968.21437272575,570.2541084438562,1298.0,0.020030816640986132,6,17.497138630410184,0.0,51.649574279785156,net_exporter,GOBIERNO REGIONAL DE LORETO,OE1_flexibilidad,0.15815838855460565,madrl_v3_20260627_164047,E1,Office
Building_11,MASAC,30104.144651309234,11,7844.66332345485,-1367.6378789224545,454.0980418175459,983.0,0.05391658189216684,3,24.17331090233205,0.0,71.54803466796875,net_exporter,HOSPITAL REGIONAL DE LORETO,OE1_flexibilidad,0.028101960972586455,madrl_v3_20260627_164047,E1,Healthcare_Hospital
Building_12,MASAC,112152.33184568584,12,28359.889983113157,6015.530325736152,439.07183046638966,960.0,0.046875,3,450.7710804876461,293.51416015625,1057.9564208984375,net_exporter,SEGURO SOCIAL DE SALUD - ESSALUD,OE1_flexibilidad,0.1573395917491951,madrl_v3_20260627_164047,E1,Healthcare
Building_13,MASAC,6720.020939229929,13,2318.465235624022,344.9226132707463,478.30990782380104,2018.0,0.049554013875123884,11,23.702478872050815,0.0,70.14910888671875,net_exporter,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,OE1_flexibilidad,0.04167227056630731,madrl_v3_20260627_164047,E1,Education
Building_14,MASAC,4401.40721801638,14,1510.4782663562673,-609.4339546957053,522.1940021514893,1192.0,0.009228187919463088,4,1.2042000442866956,0.0,2.6149649620056152,net_exporter,AUTORIDAD PORTUARIA NACIONAL,OE1_flexibilidad,0.0023648291455283803,madrl_v3_20260627_164047,E1,Industrial_Port
Building_15,MASAC,9369.46676142498,15,2524.8666467172807,-216.84639179430815,426.90298917889595,1535.0,0.053420195439739415,8,7.190666268643372,0.0,20.5941162109375,net_exporter,DREL- COLEGIO NACIONAL DE IQUITOS,OE1_flexibilidad,0.022117405007385408,madrl_v3_20260627_164047,E1,Education
Building_16,MASAC,35835.71537306661,16,10051.02904055029,1145.3637767563632,544.5441738069057,2133.0,0.05063291139240506,11,45.698575446178296,33.03924560546875,103.13050842285156,net_exporter,SIMA - IQUITOS S.R.LTDA,OE1_flexibilidad,0.07402768978542112,madrl_v3_20260627_164047,E1,Industrial
Building_17,MASAC,14968.717281222307,17,4211.37183825628,69.28031840008043,524.9144373387098,2112.0,0.05113636363636364,11,8.366168640133756,0.0,24.344667434692383,net_exporter,ASOCIACION CIVIL SELVA AMAZONICA,OE1_flexibilidad,0.24616151429111244,madrl_v3_20260627_164047,E1,Laboratory
Building_1,MASAC,137610.04855238416,1,29797.659929604735,10520.494578099577,537.5699851512909,924.0,0.03463203463203463,4,149.13366520913456,0.0,446.8856201171875,net_importer,ELECTRO ORIENTE S.A.,OE2_co2,0.4846244897837987,madrl_v3_20260627_164047,E2,Office
Building_2,MASAC,3713.623436288006,2,969.821758703878,-332.5869300335553,19.553312346339226,542.0,0.007380073800738007,6,5.385027694638624,0.0,15.16435432434082,net_exporter,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,OE2_co2,0.00927124042494885,madrl_v3_20260627_164047,E2,Office
Building_3,MASAC,51423.36381030083,3,12952.477374810667,2920.7403495362378,685.5163616538048,2505.0,0.025149700598802394,8,160.21744144723104,381.63739013671875,98.17061614990234,net_exporter,AEROPUERTO INTERNACIONAL,OE2_co2,0.1556819449280103,madrl_v3_20260627_164047,E2,Assembly
Building_4,MASAC,21913.77607081391,4,5342.221981591836,1102.312152176979,157.37138909101486,1426.0,0.015427769985974754,6,12.279846414683803,0.0,36.67196273803711,net_importer,HIPERMERCADOS TOTTUS ORIENTE SAC,OE2_co2,0.8324234939857024,madrl_v3_20260627_164047,E2,Retail
Building_5,MASAC,6614.050495566267,5,1343.7829549493617,-498.6445993241796,255.11854657530785,746.0,0.03485254691689008,3,18.196522408105334,0.0,54.225337982177734,net_importer,HOTEL PLAZA S.A.,OE2_co2,0.6357707578617321,madrl_v3_20260627_164047,E2,MultiFamily_Hotel
Building_6,MASAC,90275.5388211289,6,16354.101186358836,4109.841458600014,1439.8629176616669,7949.0,0.021637941879481697,32,121.05957966765612,0.0,362.8901062011719,net_importer,MALL AVENTURA S.A.,OE2_co2,0.7113671982034898,madrl_v3_20260627_164047,E2,Commercial_Mall
Building_7,MASAC,23825.1113729426,7,8644.863608882355,1841.158383060323,2287.302552215755,7786.0,0.06075006421782687,42,6.5426936212622735,0.0,18.66022491455078,net_exporter,UNAP-FACULTAD DE BIOLOGIA-AULAS,OE2_co2,0.032144050763962165,madrl_v3_20260627_164047,E2,Education
