algorithm,carbon_emissions_delta_kg,electricity_cost_delta_eur,ev_departure_count,ev_departure_success_rate,flex_composite,grid_import_delta,objective,one_minus_load_factor_average,peak_average,pv_generation_total,ramping_average,run_id,scenario
MASAC,81226.6231709392,14672.49268599316,39682.0,0.03938813567864523,1.028552547361268,29498.57696435126,OE1_flexibilidad,0.9786257116077314,1.0850627613699078,49538029.867697105,1.0219691691061643,madrl_v3_20260627_164047,E1
MASAC,77648.98780810599,15020.275212663882,39682.0,0.04062295247215362,1.0317819840161462,28207.32397326982,OE2_co2,0.9788572813323027,1.0956074399714257,49538029.867697105,1.0208812307447095,madrl_v3_20260627_164047,E2
MASAC,90899.7612329599,19792.792564499217,39682.0,0.04140416309661812,1.0297032332352678,32186.08999340884,OE3_costo,0.9777831177218483,1.0863807148533065,49538029.867697105,1.024945867130649,madrl_v3_20260627_164047,E3
MATD3,36723.33566290968,33074.53857720466,39682.0,0.4393679754044655,1.0009229901555254,44795.15356419106,OE1_flexibilidad,0.9934690566529493,1.0081243650776304,49536465.346037395,1.0011755487359968,madrl_v3_20260627_164047,E1
MATD3,23070.418478806503,13934.67084307495,39682.0,0.36414495237135225,1.0006689541887155,26168.61346272645,OE2_co2,0.9957821650426082,1.0054542490487863,49536465.346037395,1.0007704484747517,madrl_v3_20260627_164047,E2
MATD3,41293.40711950582,44399.364069434494,39682.0,0.48243536112091123,1.0006144030419286,52174.01730863507,OE3_costo,0.9935919536582044,1.0071128697365774,49536465.346037395,1.0011383857310043,madrl_v3_20260627_164047,E3
MAAC,38565.84588019649,3628.0400708369775,39682.0,0.04226097474925659,1.0124257995412176,8025.073128036143,OE1_flexibilidad,0.9955821162398271,1.0307016374943516,49669237.752368875,1.010993644889474,madrl_v3_20260627_164047,E1
MAAC,70654.19071758597,13275.329877851962,39682.0,0.04082455521395091,1.0171790556280067,24930.40753471335,OE2_co2,0.9926963312773214,1.0402106617728162,49669237.752368875,1.0186301738338828,madrl_v3_20260627_164047,E2
MAAC,73411.2486337313,9515.151784724349,39682.0,0.0405725517867043,1.0137827049181145,20799.799706357382,OE3_costo,0.9914670028561496,1.0309261417946909,49669237.752368875,1.0189549701035028,madrl_v3_20260627_164047,E3
