episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.5684158445302419,-84648.48756744362
1,8759,17519,-0.57691164288679,-85913.68185870076
2,8759,26279,-0.5684158445302419,-84648.48756744362
3,8759,35039,-0.5768798621596843,-85908.94907282019
4,8759,43799,-0.5296572948608507,-78876.56435067789
5,8751,52551,-0.5462371260239373,-81271.34455834546
6,8759,61319,-0.5684158445302419,-84648.48756744362
7,8757,70077,-0.5768946132006594,-85891.53138099337
8,8759,78839,-0.5684158445302419,-84648.48756744362
9,8757,87597,-0.5768946132006594,-85891.53138099337
10,8759,96359,-0.5560367784337301,-82804.99704435108
11,8759,105119,-0.5290481534341094,-78785.85100940758
12,8759,113879,-0.5465653053425684,-81394.50527161527
13,8759,122639,-0.5570915828035414,-82962.07851110339
14,8759,131399,-0.5294059028282437,-78839.12704918205
15,8759,140159,-0.5461359378768078,-81330.56386861422
16,8759,148919,-0.5573036510462676,-82993.65971381016
17,8759,157679,-0.5306691975196048,-79027.25689461955
18,8759,166439,-0.5478043395531886,-81579.02224626085
19,8759,175199,-0.5573450207988863,-82999.82049737014
20,8759,183959,-0.5314246043958997,-79139.75208663738
21,8759,192719,-0.5477750204600343,-81574.6560469083
22,8759,201479,-0.5571922573500272,-82977.07096456605
23,8759,210239,-0.5310539928085858,-79084.56060905459
24,8759,218999,-0.5488046468150503,-81727.98800369729
25,8759,227759,-0.5592074796612345,-83277.17787115104
26,8759,236519,-0.532613615070585,-79316.81955631153
27,8759,245279,-0.5496729222899496,-81857.2915874193
28,8759,254039,-0.5590967239198357,-83260.68412614193
29,8759,262799,-0.5322197004957441,-79258.15779782619
30,8759,271559,-0.5490741829018809,-81768.1273177481
31,8759,280319,-0.5585123883529018,-83173.66487351415
32,8759,289079,-0.531245422769196,-79113.06835878865
33,8759,297839,-0.5490237537694356,-81760.61741134436
34,8759,306599,-0.5590613648918028,-83255.41845968728
35,8759,315359,-0.5322138703365309,-79257.28957051618
36,8759,324119,-0.5493746202055392,-81812.8684410089
37,8759,332879,-0.5589779915173627,-83243.00249676566
38,8759,341639,-0.5317935634108971,-79194.6974631508
39,8759,350399,-0.5490083374794791,-81758.32161744402
40,8759,359159,-0.5589212199068986,-83234.54806853534
41,8759,367919,-0.5318280955072872,-79199.83998294521
42,8759,376679,-0.549230301955724,-81791.3765672464
43,8759,385439,-0.5593175702688571,-83293.5725644382
44,8759,394199,-0.5331477726212497,-79396.3662987565
45,8759,402959,-0.5503917691234074,-81964.34225785782
46,8759,411719,-0.5601154123894135,-83412.38721303146
47,8759,420479,-0.5331268724667073,-79393.25384774205
48,8759,429239,-0.550808564915432,-82026.41148720612
49,8759,437999,-0.5606717322690229,-83495.23436950288
