cost_function,level,name,value
building_battery_total_discharge_kwh,building,Building_10,344528.0190205107
building_battery_total_throughput_kwh,building,Building_10,747476.5404143612
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,791.4708457736107
building_cost_daily_average_control_eur,building,Building_10,854.7338434798475
building_cost_daily_average_delta_eur,building,Building_10,63.262997706236725
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0799309261283039
building_cost_total_baseline_eur,building,Building_10,288853.88075546065
building_cost_total_control_eur,building,Building_10,311942.2389599993
building_cost_total_delta_eur,building,Building_10,23088.358204538643
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.17128303547609197
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1165.6640625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1165.325439453125
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1171.7857666015625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,311.9912414550781
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,310.6816711425781
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,311.54425048828125
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1235.1691901956126
building_emissions_daily_average_control_kgco2,building,Building_10,1646.5936368340135
building_emissions_daily_average_delta_kgco2,building,Building_10,411.4244466384008
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.3330915715062839
building_emissions_total_baseline_kgco2,building,Building_10,450785.2890384738
building_emissions_total_control_kgco2,building,Building_10,600938.0693762135
building_emissions_total_delta_kgco2,building,Building_10,150152.78033773968
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8096.45829500446
building_energy_grid_daily_average_export_control_kwh,building,Building_10,8440.892074701163
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,344.4337796967029
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1640.9608314957081
building_energy_grid_daily_average_import_control_kwh,building,Building_10,2165.5650772635204
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,524.6042457678122
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6455.497463508752
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6275.326997437643
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,180.17046607110936
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.042541289925401
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.3196933380120013
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9720903823307862
building_energy_grid_total_export_baseline_kwh,building,Building_10,2954869.925247669
building_energy_grid_total_export_control_kwh,building,Building_10,3080573.9034294784
building_energy_grid_total_export_delta_kwh,building,Building_10,125703.97818180919
building_energy_grid_total_import_baseline_kwh,building,Building_10,598882.3301279545
building_energy_grid_total_import_control_kwh,building,Building_10,790341.0213229656
building_energy_grid_total_import_delta_kwh,building,Building_10,191458.69119501114
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2355987.5951197147
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2290232.882106513
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,65754.71301320195
