absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
421.71220088005066,755.4238885641098,224.55987405776978,0,421.71220088005066,-360.5537002042749,-191.99324406543388,-107.17941904489244,-80965.89350893485,8760
1665.7429728507996,1438.885546207428,887.0007413029671,1,1665.7429728507996,-92.13229203798852,-49.06003667287093,-56.79493518510638,-81721.41133563727,8760
1257.5047421455383,1404.749938249588,669.615690112114,2,1257.5047421455383,-123.05443266108786,-65.5259388581872,-58.657542245834776,-82399.178847709,8760
959.1148061603308,1092.9285972565413,510.7243697941303,3,959.1148061603308,-153.23549473691537,-81.59721962056786,-71.606783531928,-78261.10147960288,8760
2936.95356464386,2340.806731700897,1563.914712190628,4,2936.95356464386,-50.86303328015885,-27.084339027718944,-33.982064805359634,-79545.44605348197,8760
