episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.7290455099358968,-108569.45733965375,8760
1,8760,False,8759,17519,4,-0.7408485589329936,-110327.1673963014,8760
2,17520,False,8759,26279,1,-0.7290455099358968,-108569.45733965375,8760
3,26280,False,8759,35039,6,-0.7407922956320674,-110318.78866552748,8760
4,35040,False,8759,43799,7,-0.5922761108176945,-88201.75842297106,8760
5,43800,True,8751,52551,8759,-0.6203870136879436,-92303.661444547,8752
6,52560,False,8759,61319,1,-0.7290455099358968,-108569.45733965375,8760
7,61320,True,8757,70077,8759,-0.7408411170337472,-110300.8705506865,8758
8,70080,False,8759,78839,1,-0.7290455099358968,-108569.45733965375,8760
9,78840,True,8757,87597,8759,-0.7408411170337472,-110300.8705506865,8758
10,87600,False,8759,96359,3,-0.6275426411947297,-93453.65012671915,8760
11,96360,False,8759,105119,4,-0.5928723266513164,-88290.54688491405,8760
12,105120,False,8759,113879,5,-0.6198809948244577,-92312.67774925823,8760
13,113880,False,8759,122639,6,-0.6268358120596415,-93348.38913192181,8760
14,122640,False,8759,131399,7,-0.5917727467841729,-88126.79745109903,8760
15,131400,False,8759,140159,8,-0.6203342994187452,-92380.18386943953,8760
16,140160,False,8759,148919,9,-0.6283982286783234,-93581.06421477592,8760
17,148920,False,8759,157679,10,-0.5938568489662464,-88437.1619480534,8760
18,157680,False,8759,166439,11,-0.6213662761289298,-92533.86584112022,8760
19,166440,False,8759,175199,12,-0.6275623168218012,-93456.58022110263,8760
20,175200,False,8759,183959,13,-0.5923983721498567,-88219.96558055666,8760
21,183960,False,8759,192719,14,-0.6201243990915624,-92348.92551271548,8760
22,192720,False,8759,201479,15,-0.6272274115573233,-93406.70612911659,8760
23,201480,False,8759,210239,16,-0.5931696773648101,-88334.82835316751,8760
24,210240,False,8759,218999,17,-0.6204905186511218,-92403.44803752506,8760
25,219000,False,8759,227759,18,-0.6273433676959105,-93423.97431727499,8760
26,227760,False,8759,236519,19,-0.5928058131346036,-88280.64169200516,8760
27,236520,False,8759,245279,20,-0.6199991237039061,-92330.26950198569,8760
28,245280,False,8759,254039,21,-0.6271063775182276,-93388.68174001445,8760
29,254040,False,8759,262799,22,-0.593209215177488,-88340.71632423151,8760
30,262800,False,8759,271559,23,-0.6206955466116958,-92433.98080141374,8760
31,271560,False,8759,280319,24,-0.6273007341341804,-93417.62532726215,8760
32,280320,False,8759,289079,25,-0.5938652665084503,-88438.41548843842,8760
33,289080,False,8759,297839,26,-0.6217203631282271,-92586.59647705557,8760
34,297840,False,8759,306599,27,-0.6277545907183286,-93485.2136497735,8760
35,306600,False,8759,315359,28,-0.593056386533042,-88317.95708250062,8760
36,315360,False,8759,324119,29,-0.620323505435223,-92378.5764294134,8760
37,324120,False,8759,332879,30,-0.6270121202100872,-93374.64494168619,8760
38,332880,False,8759,341639,31,-0.5929187672102019,-88297.46281294327,8760
39,341640,False,8759,350399,32,-0.6207299658118058,-92439.10650869412,8760
40,350400,False,8759,359159,33,-0.6273482118240455,-93424.69570483686,8760
41,359160,False,8759,367919,34,-0.5930866282044822,-88322.46067221148,8760
42,367920,False,8759,376679,35,-0.6205688221034855,-92415.10898765107,8760
43,376680,False,8759,385439,36,-0.6271540325616335,-93395.77852907847,8760
44,385440,False,8759,394199,37,-0.5929114224400491,-88296.36902977212,8760
45,394200,False,8759,402959,38,-0.6205522129256076,-92412.63554888149,8760
46,402960,False,8759,411719,39,-0.6274638329804146,-93441.91400744335,8760
47,411720,False,8759,420479,40,-0.5932659126113043,-88349.15970607544,8760
48,420480,False,8759,429239,41,-0.6209203261908646,-92467.45497634355,8760
49,429240,False,8759,437999,42,-0.6270644681842904,-93382.44060200453,8760
