algorithm,cost_function,level,name,scenario,value
HAPPO,building_equity_benefit_relative_percent,building,Building_1,E1,-8.609322174681457
HAPPO,building_ev_events_departure_count,building,Building_1,E1,924.0
HAPPO,building_ev_events_departure_met_count,building,Building_1,E1,542.0
HAPPO,building_ev_events_departure_within_tolerance_count,building,Building_1,E1,87.0
HAPPO,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_1,E1,0.1468813123744752
HAPPO,building_ev_performance_departure_success_ratio,building,Building_1,E1,0.5865800865800865
HAPPO,building_ev_performance_departure_within_tolerance_ratio,building,Building_1,E1,0.09415584415584416
HAPPO,building_ev_total_charge_kwh,building,Building_1,E1,14841.69085293077
HAPPO,building_ev_total_v2g_export_kwh,building,Building_1,E1,2664.655516419298
HAPPO,building_solar_self_consumption_daily_average_export_kwh,building,Building_1,E1,4730.992503611014
HAPPO,building_solar_self_consumption_daily_average_generation_kwh,building,Building_1,E1,9424.330475569273
HAPPO,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_1,E1,0.49800227020103083
HAPPO,building_solar_self_consumption_total_export_kwh,building,Building_1,E1,1726615.1391303698
HAPPO,building_solar_self_consumption_total_generation_kwh,building,Building_1,E1,3439487.9431463024
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_10,E1,5.827061516441902e-05
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_10,E1,18.12624000659431
HAPPO,building_battery_total_charge_kwh,building,Building_10,E1,45262.464084506035
HAPPO,building_battery_total_discharge_kwh,building,Building_10,E1,40039.62138652678
HAPPO,building_battery_total_throughput_kwh,building,Building_10,E1,85302.08547103281
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_discomfort_overall_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,E1,nan
HAPPO,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,E1,0.0
HAPPO,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,E1,nan
HAPPO,building_cost_daily_average_baseline_eur,building,Building_10,E1,798.9731680295356
HAPPO,building_cost_daily_average_control_eur,building,Building_10,E1,788.9721633443736
HAPPO,building_cost_daily_average_delta_eur,building,Building_10,E1,-10.001004685161922
HAPPO,building_cost_ratio_to_baseline_total_ratio,building,Building_10,E1,0.9874826776600936
HAPPO,building_cost_total_baseline_eur,building,Building_10,E1,291591.91578211257
HAPPO,building_cost_total_control_eur,building,Building_10,E1,287941.965780557
HAPPO,building_cost_total_delta_eur,building,Building_10,E1,-3649.950001555553
HAPPO,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,E1,0.08082830009353063
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,E1,1248.6658935546875
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,E1,1248.5606689453125
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,E1,1262.7613525390625
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,E1,310.1255187988281
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,E1,298.69384765625
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,E1,315.9792785644531
HAPPO,building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,E1,0.0
HAPPO,building_electrical_service_phase_violations_event_count,building,Building_10,E1,0.0
HAPPO,building_emissions_daily_average_baseline_kgco2,building,Building_10,E1,1101.5256925610763
HAPPO,building_emissions_daily_average_control_kgco2,building,Building_10,E1,1158.123606223115
HAPPO,building_emissions_daily_average_delta_kgco2,building,Building_10,E1,56.59791366203868
HAPPO,building_emissions_ratio_to_baseline_total_ratio,building,Building_10,E1,1.0513813831527135
HAPPO,building_emissions_total_baseline_kgco2,building,Building_10,E1,402010.98088093614
HAPPO,building_emissions_total_control_kgco2,building,Building_10,E1,422666.8611211777
HAPPO,building_emissions_total_delta_kgco2,building,Building_10,E1,20655.88024024153
HAPPO,building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,E1,8103.165726642628
HAPPO,building_energy_grid_daily_average_export_control_kwh,building,Building_10,E1,8118.981154539281
HAPPO,building_energy_grid_daily_average_export_delta_kwh,building,Building_10,E1,15.815427896652283
HAPPO,building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,E1,1468.2926224866324
HAPPO,building_energy_grid_daily_average_import_control_kwh,building,Building_10,E1,1545.934148861837
HAPPO,building_energy_grid_daily_average_import_delta_kwh,building,Building_10,E1,77.6415263752045
HAPPO,building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,E1,-6634.873104155996
HAPPO,building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,E1,-6573.047005677444
HAPPO,building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,E1,61.826098478552225
HAPPO,building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,E1,1.001951759155641
HAPPO,building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,E1,1.0528787825983315
HAPPO,building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,E1,0.9906816456761132
HAPPO,building_energy_grid_total_export_baseline_kwh,building,Building_10,E1,2957317.8583192825
HAPPO,building_energy_grid_total_export_control_kwh,building,Building_10,E1,2963089.8305253983
HAPPO,building_energy_grid_total_export_delta_kwh,building,Building_10,E1,5771.972206115723
HAPPO,building_energy_grid_total_import_baseline_kwh,building,Building_10,E1,535865.6283483505
HAPPO,building_energy_grid_total_import_control_kwh,building,Building_10,E1,564201.5504117012
HAPPO,building_energy_grid_total_import_delta_kwh,building,Building_10,E1,28335.922063350677
HAPPO,building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,E1,-2421452.229970932
HAPPO,building_energy_grid_total_net_exchange_control_kwh,building,Building_10,E1,-2398888.280113697
HAPPO,building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,E1,22563.949857234955
HAPPO,building_equity_benefit_relative_percent,building,Building_10,E1,1.2517322339906434
HAPPO,building_ev_events_departure_count,building,Building_10,E1,1298.0
HAPPO,building_ev_events_departure_met_count,building,Building_10,E1,901.0
HAPPO,building_ev_events_departure_within_tolerance_count,building,Building_10,E1,46.0
HAPPO,building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,E1,0.17377595299450938
HAPPO,building_ev_performance_departure_success_ratio,building,Building_10,E1,0.6941448382126348
HAPPO,building_ev_performance_departure_within_tolerance_ratio,building,Building_10,E1,0.03543913713405239
HAPPO,building_ev_total_charge_kwh,building,Building_10,E1,22074.408289087936
HAPPO,building_ev_total_v2g_export_kwh,building,Building_10,E1,4733.301131625471
HAPPO,building_solar_self_consumption_daily_average_export_kwh,building,Building_10,E1,8070.238117958882
HAPPO,building_solar_self_consumption_daily_average_generation_kwh,building,Building_10,E1,9620.309019882927
HAPPO,building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_10,E1,0.1611248556278609
HAPPO,building_solar_self_consumption_total_export_kwh,building,Building_10,E1,2945300.65313341
HAPPO,building_solar_self_consumption_total_generation_kwh,building,Building_10,E1,3511011.946048106
HAPPO,building_battery_health_capacity_fade_ratio,building,Building_11,E1,0.00034889485360608836
HAPPO,building_battery_health_equivalent_full_cycles_count,building,Building_11,E1,115.31955198047379
HAPPO,building_battery_total_charge_kwh,building,Building_11,E1,237359.0395441967
HAPPO,building_battery_total_discharge_kwh,building,Building_11,E1,201085.89708556462
HAPPO,building_battery_total_throughput_kwh,building,Building_11,E1,438444.93662976136
HAPPO,building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_cold_ratio,building,Building_11,E1,nan
HAPPO,building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_discomfort_hot_ratio,building,Building_11,E1,nan
HAPPO,building_comfort_resilience_discomfort_overall_ratio,building,Building_11,E1,nan
HAPPO,building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_11,E1,nan
HAPPO,building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_11,E1,0.0
HAPPO,building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_11,E1,nan
HAPPO,building_cost_daily_average_baseline_eur,building,Building_11,E1,502.375685954294
HAPPO,building_cost_daily_average_control_eur,building,Building_11,E1,309.988909859229
HAPPO,building_cost_daily_average_delta_eur,building,Building_11,E1,-192.38677609506496
HAPPO,building_cost_ratio_to_baseline_total_ratio,building,Building_11,E1,0.6170460046655836
HAPPO,building_cost_total_baseline_eur,building,Building_11,E1,183346.1930530692
HAPPO,building_cost_total_control_eur,building,Building_11,E1,113133.03589404112
HAPPO,building_cost_total_delta_eur,building,Building_11,E1,-70213.15715902808
HAPPO,building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_11,E1,0.11581186996272763
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_11,E1,4098.03125
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_11,E1,4097.03125
HAPPO,building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_11,E1,4108.43115234375
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_11,E1,191.83343505859375
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_11,E1,188.83343505859375
HAPPO,building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_11,E1,181.43344116210938
HAPPO,building_electrical_service_phase_violations_energy_total_kwh,building,Building_11,E1,0.0
HAPPO,building_electrical_service_phase_violations_event_count,building,Building_11,E1,0.0
HAPPO,building_emissions_daily_average_baseline_kgco2,building,Building_11,E1,1105.5938373077538
