episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.5379045652431999,-80104.74785601732
1,8759,17519,-0.546346867690215,-81361.97553642682
2,8759,26279,-0.5379045652431999,-80104.74785601732
3,8759,35039,-0.5463129732708171,-81356.92797949008
4,8759,43799,-0.5200509799956652,-77445.99194095447
5,8751,52551,-0.5364557770549047,-79816.03633333693
6,8759,61319,-0.5379045652431999,-80104.74785601732
7,8757,70077,-0.5463226664745562,-81339.79652073077
8,8759,78839,-0.5379045652431999,-80104.74785601732
9,8757,87597,-0.5463226664745562,-81339.79652073077
10,8759,96359,-0.5437832290180135,-80980.19846536257
11,8759,105119,-0.5179435756514317,-77132.1572860112
12,8759,113879,-0.5355468808063508,-79753.64148968176
13,8759,122639,-0.5444056873465541,-81072.89495964885
14,8759,131399,-0.5198361041934004,-77413.9926364812
15,8759,140159,-0.5355810446343805,-79758.72916695195
16,8759,148919,-0.5425436641559441,-80795.60246610318
17,8759,157679,-0.5195452125324825,-77370.67305033731
18,8759,166439,-0.5353446433967475,-79723.52429464363
19,8759,175199,-0.5412439665334856,-80602.05149616668
20,8759,183959,-0.5163800478966408,-76899.31673276775
21,8759,192719,-0.5324095383276435,-79286.42844775267
22,8759,201479,-0.539854063028672,-80395.06706622984
23,8759,210239,-0.5162682233948295,-76882.66382795801
24,8759,218999,-0.5338357535318733,-79498.82041596656
25,8759,227759,-0.5423865388068095,-80772.20335911008
26,8759,236519,-0.5187932362978955,-77258.6887494826
27,8759,245279,-0.5354799564595091,-79743.67511595009
28,8759,254039,-0.5443911206276645,-81070.7256838718
29,8759,262799,-0.5209639882541299,-77581.95713080504
30,8759,271559,-0.5374121495436477,-80031.41731004001
31,8759,280319,-0.5447622909459948,-81126.00036767755
32,8759,289079,-0.5210693798623016,-77597.65204909396
33,8759,297839,-0.5370481840301343,-79977.2155657676
34,8759,306599,-0.5440354758624605,-81017.76306543761
35,8759,315359,-0.5196509887585685,-77386.42524592602
36,8759,324119,-0.5357672874406514,-79786.46444566181
37,8759,332879,-0.5426995523740894,-80818.8173395494
38,8759,341639,-0.5191190755272117,-77307.21272751236
39,8759,350399,-0.5343928392074653,-79581.78161477573
40,8759,359159,-0.5410807127807018,-80577.73974730211
41,8759,367919,-0.5172306432109047,-77025.98738696793
42,8759,376679,-0.5332846171364575,-79416.74518396125
43,8759,385439,-0.5401663542078549,-80441.57346863375
44,8759,394199,-0.5170151327521121,-76993.89356944454
45,8759,402959,-0.5333774205833492,-79430.56547327238
46,8759,411719,-0.5409636860546514,-80560.31212725869
47,8759,420479,-0.5180577945888039,-77149.16677016467
48,8759,429239,-0.5341633753189277,-79547.6098524947
49,8759,437999,-0.5400036063529057,-80417.33705807471
