family,method,axis,normalized_score,available_kpis,improved_kpis,total_kpis,axis_weight,weighted_score,axis_rank
citylearn_v3_madrl,HAPPO,OE1,0.680585084112608,36,5,36,0.34,0.23139892859828673,1.0
citylearn_v3_madrl,HAPPO,OE2,0.06883428839040509,7,0,7,0.33,0.02271531516883368,4.0
citylearn_v3_madrl,HAPPO,OE3,0.4266982789989747,11,1,11,0.33,0.14081043206966168,4.0
citylearn_v3_madrl,MAAC,OE1,0.3981264390570379,36,2,36,0.34,0.1353629892793929,3.0
citylearn_v3_madrl,MAAC,OE2,0.6255729098945731,7,0,7,0.33,0.20643906026520914,2.0
citylearn_v3_madrl,MAAC,OE3,0.7878990719950392,11,1,11,0.33,0.26000669375836294,1.0
citylearn_v3_madrl,MASAC,OE1,0.33807263960445705,36,5,36,0.34,0.1149446974655154,4.0
citylearn_v3_madrl,MASAC,OE2,0.5057216476051476,7,0,7,0.33,0.1668881437096987,3.0
citylearn_v3_madrl,MASAC,OE3,0.48461017368887016,11,2,11,0.33,0.15992135731732715,3.0
citylearn_v3_madrl,MATD3,OE1,0.44762555657503966,36,5,36,0.34,0.1521926892355135,2.0
citylearn_v3_madrl,MATD3,OE2,0.9811172945932373,7,0,7,0.33,0.32376870721576834,1.0
citylearn_v3_madrl,MATD3,OE3,0.7796712157356874,11,1,11,0.33,0.2572915011927769,2.0
