action_l2_mean,agent,agent_steps,reward_max,reward_mean,reward_min,reward_total
1.6743155728202077,Building_1,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.254401427574208,Building_10,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.7212202461474322,Building_11,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.5950564589430483,Building_12,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.06208558429356,Building_13,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.6904985582795582,Building_14,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.9742121230538996,Building_15,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.485916501573139,Building_16,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.227416160039851,Building_17,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.8325630057903057,Building_2,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.1896987082114534,Building_3,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.2960626507094144,Building_4,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
1.691224455407632,Building_5,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
3.9979402062178715,Building_6,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
3.9253532942007263,Building_7,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.867721627197539,Building_8,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
2.2721730911480487,Building_9,98,-0.2064652889966964,-0.5975529239798079,-0.8923993110656738,-58.56018655002117
