episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.54328587221065,-80906.13208961,8760
1,8760,False,8759,17519,2,-0.5518098292620185,-82175.51977369978,8760
2,17520,False,8759,26279,3,-0.5266826511246796,-78433.58040548729,8760
3,26280,False,8759,35039,4,-0.5437156108790443,-80970.12877210727,8760
4,35040,False,8759,43799,5,-0.5516603422252431,-82153.25816418321,8760
5,43800,False,8759,52559,6,-0.5269059164552964,-78466.82907852274,8760
6,52560,False,8759,61319,7,-0.5428022325761069,-80834.10847523384,8760
7,61320,False,8759,70079,8,-0.5515759494845673,-82140.69039724176,8760
8,70080,False,8759,78839,9,-0.5271277014266983,-78499.85729646392,8760
9,78840,False,8759,87599,10,-0.5433765672185381,-80919.6383901847,8760
10,87600,False,8759,96359,11,-0.5518946498872621,-82188.15126121108,8760
11,96360,False,8759,105119,12,-0.527185775624718,-78508.505706033,8760
12,105120,False,8759,113879,13,-0.5428711335833696,-80844.36921323539,8760
13,113880,False,8759,122639,14,-0.5515063561842355,-82130.32656295635,8760
14,122640,False,8759,131399,15,-0.526716133105878,-78438.56654212734,8760
15,131400,False,8759,140159,16,-0.5434030689842839,-80923.58503313956,8760
16,140160,False,8759,148919,17,-0.5518058895075868,-82174.93306546981,8760
17,148920,False,8759,157679,18,-0.5271417917155541,-78501.95562228031,8760
18,157680,False,8759,166439,19,-0.543199383343419,-80893.25216750195,8760
19,166440,False,8759,175199,20,-0.5519228590949066,-82192.3521764135,8760
20,175200,False,8759,183959,21,-0.5268976734633181,-78465.60153215734,8760
21,183960,False,8759,192719,22,-0.5434026496022172,-80923.52257876217,8760
22,192720,True,8736,201456,8759,-0.551733265259201,-81948.39015568385,8737
23,201480,False,8759,210239,1,-0.5431901089086011,-80891.87101866888,8760
24,210240,False,8759,218999,2,-0.5512860059573528,-82097.51200716899,8760
25,219000,False,8759,227759,3,-0.5263660388880146,-78386.43051120313,8760
26,227760,False,8759,236519,4,-0.5425584560941135,-80797.80528153537,8760
27,236520,False,8759,245279,5,-0.5511507904264829,-82077.37571031181,8760
28,245280,False,8759,254039,6,-0.5263098821800003,-78378.06765424565,8760
29,254040,False,8759,262799,7,-0.5424389493246577,-80780.00833342804,8760
30,262800,True,8751,271551,8759,-0.5507925898136747,-81949.12468283779,8752
31,271560,False,8759,280319,1,-0.5431901089086011,-80891.87101866888,8760
32,280320,False,8759,289079,2,-0.5512860059573528,-82097.51200716899,8760
33,289080,False,8759,297839,3,-0.5263660388880146,-78386.43051120313,8760
34,297840,False,8759,306599,4,-0.5425584560941135,-80797.80528153537,8760
35,306600,False,8759,315359,5,-0.5511507904264829,-82077.37571031181,8760
36,315360,False,8759,324119,6,-0.5263098821800003,-78378.06765424565,8760
37,324120,True,8752,332872,8759,-0.5423942671547753,-80708.80934689773,8753
38,332880,False,8759,341639,1,-0.5431901089086011,-80891.87101866888,8760
39,341640,False,8759,350399,2,-0.5512860059573528,-82097.51200716899,8760
40,350400,False,8759,359159,3,-0.5263660388880146,-78386.43051120313,8760
41,359160,False,8759,367919,4,-0.5425584560941135,-80797.80528153537,8760
42,367920,False,8759,376679,5,-0.5511507904264829,-82077.37571031181,8760
43,376680,False,8759,385439,6,-0.5263098821800003,-78378.06765424565,8760
44,385440,False,8759,394199,7,-0.5424389493246577,-80780.00833342804,8760
45,394200,False,8759,402959,8,-0.5507613602389888,-82019.38176679022,8760
46,402960,False,8759,411719,9,-0.5265661854577639,-78416.23633837019,8760
47,411720,False,8759,420479,10,-0.5426501765817953,-80811.46429656095,8760
48,420480,False,8759,429239,11,-0.5510169561042634,-82057.44510304689,8760
49,429240,True,8747,437987,8759,-0.5263825588275348,-78281.50861859568,8748
