cost_function,level,name,value
building_battery_total_discharge_kwh,building,Building_10,556410.3602348698
building_battery_total_throughput_kwh,building,Building_10,1189948.9299676544
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,726.1035580067237
building_cost_daily_average_control_eur,building,Building_10,922.0070724889197
building_cost_daily_average_delta_eur,building,Building_10,195.90351448219604
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.2698010666963044
building_cost_total_baseline_eur,building,Building_10,264997.5443575372
building_cost_total_control_eur,building,Building_10,336494.16449710197
building_cost_total_delta_eur,building,Building_10,71496.6201395648
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.11455236086673513
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1248.6658935546875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1252.90087890625
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1267.6387939453125
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,349.7685241699219
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,349.0654296875
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,355.4622802734375
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1100.7553830988002
building_emissions_daily_average_control_kgco2,building,Building_10,2034.4339579263396
building_emissions_daily_average_delta_kgco2,building,Building_10,933.6785748275395
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.8482162242069504
building_emissions_total_baseline_kgco2,building,Building_10,401729.8500234329
building_emissions_total_control_kgco2,building,Building_10,742483.6265615337
building_emissions_total_delta_kgco2,building,Building_10,340753.77653810073
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8103.019733867086
building_energy_grid_daily_average_export_control_kwh,building,Building_10,9124.202628489431
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,1021.1828946223446
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1467.3436927734438
building_energy_grid_daily_average_import_control_kwh,building,Building_10,2731.91227785318
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,1264.5685850797363
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6635.676041093642
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6392.290350636251
