rank,algorithm,scenario,oe,metric,higher_is_better,building_id,agent,nombre,tipo_uso,value,import_ratio_to_baseline,co2_reduction_kgco2,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
4,MASAC,E3,OE.3,cost_reduction_eur,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,548.8908552461944,1.0061376687306471,-1766.0247493816423,548.8908552461944,8032.092021759769,263.34219912439585,0.04289544235924933,net_importer
5,MASAC,E3,OE.3,cost_reduction_eur,True,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,475.1948369122165,1.0799048729265073,-1550.4540475770555,475.1948369122165,6093.713492266834,19.553312346339226,0.007380073800738007,net_exporter
6,MASAC,E3,OE.3,cost_reduction_eur,True,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,406.6764292217995,1.0504715959090467,-1073.4499079255802,406.6764292217995,4203.53332654193,255.94585466384888,0.02165674066053059,net_exporter
7,MASAC,E3,OE.3,cost_reduction_eur,True,15,Building_15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,286.5330013486673,1.039357045279835,-2563.499905439472,286.5330013486673,9057.70363283508,404.59967879951,0.04820846905537459,net_exporter
8,MASAC,E3,OE.3,cost_reduction_eur,True,13,Building_13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,-323.7646423686456,1.1279806358927456,-2453.9150040369204,-323.7646423686456,7106.780278333796,465.1815653666854,0.048562933597621406,net_exporter
9,MASAC,E3,OE.3,cost_reduction_eur,True,17,Building_17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,-780.4171880511421,1.0419170716780815,-5790.491945133312,-780.4171880511421,19693.391360967536,619.0684324130416,0.06202651515151515,net_exporter
10,MASAC,E3,OE.3,cost_reduction_eur,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,-1202.4989101405954,1.0126296442486225,-5657.326953114767,-1202.4989101405954,22454.02453048173,164.3461953997612,0.014025245441795231,net_importer
11,MASAC,E3,OE.3,cost_reduction_eur,True,16,Building_16,SIMA - IQUITOS S.R.LTDA,Industrial,-2089.146697272139,1.0485351867910782,-11789.351006293524,-2089.146697272139,41993.147184845075,541.9551022872329,0.0543834974214721,net_exporter
12,MASAC,E3,OE.3,cost_reduction_eur,True,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,-2335.4190597792076,1.185391234605959,-9440.118407846414,-2335.4190597792076,26332.819662184644,2250.6497852131724,0.06062162856408939,net_exporter
13,MASAC,E3,OE.3,cost_reduction_eur,True,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,-2658.67516468995,1.0404453627786168,-13733.034024620836,-2658.67516468995,55303.300091643585,664.0665654689074,0.02475049900199601,net_exporter
14,MASAC,E3,OE.3,cost_reduction_eur,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-3686.173872834712,1.0450198755210744,-18575.083964535734,-3686.173872834712,70952.58161051385,608.2588432431221,0.028505392912172575,net_exporter
15,MASAC,E3,OE.3,cost_reduction_eur,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-4215.30054851016,1.0054413140708653,-15776.995322135743,-4215.30054851016,86754.41291598766,1565.3273174762726,0.023524971694552775,net_importer
16,MASAC,E3,OE.3,cost_reduction_eur,True,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,-6876.913280371577,1.0321715973465329,-30895.56613867986,-6876.913280371577,129739.67899751663,489.7182060331106,0.05520833333333333,net_exporter
17,MASAC,E3,OE.3,cost_reduction_eur,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-21075.457346742507,1.0167640765076977,-47559.86011810042,-21075.457346742507,182058.09256648374,526.066355317831,0.03787878787878788,net_importer
1,MATD3,E1,OE.1,flex_gain_vs_baseline,True,14,Building_14,AUTORIDAD PORTUARIA NACIONAL,Industrial_Port,0.12673403551340046,0.8732659644865995,2070.5784961438258,3532.4155618258374,64.33050727844238,0.0,0.0,net_exporter
2,MATD3,E1,OE.1,flex_gain_vs_baseline,True,12,Building_12,SEGURO SOCIAL DE SALUD - ESSALUD,Healthcare,0.002110284304142507,0.9978897156958575,2152.5859613089124,2322.773223772878,1223.2149353027344,0.0,0.0,net_exporter
3,MATD3,E1,OE.1,flex_gain_vs_baseline,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,0.0018082696303277634,0.9981917303696722,553.1820692244219,366.30828433218994,66.69000244140625,1120.1211027093232,0.34316353887399464,net_importer
4,MATD3,E1,OE.1,flex_gain_vs_baseline,True,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,0.001784064779738359,0.9982159352202616,801.056876752351,1824.6310089519247,532.7440643310547,1455.1087969951332,0.32553407934893186,net_exporter
5,MATD3,E1,OE.1,flex_gain_vs_baseline,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,0.0009052090682382108,0.9990947909317618,360.5190547941602,458.7606200844748,129.38999938964844,1720.4128919318318,0.3246844319775596,net_importer
6,MATD3,E1,OE.1,flex_gain_vs_baseline,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-0.0014577180913577514,1.0014577180913578,-4169.593465026002,-4480.25976029411,1895.5012817382812,8879.937245206907,0.7402597402597403,net_importer
7,MATD3,E1,OE.1,flex_gain_vs_baseline,True,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,-0.002561306488986226,1.0025613064889862,-110.35405565200199,132.44582715462002,129.90314421200696,2178.2845485229045,0.34317343173431736,net_exporter
8,MATD3,E1,OE.1,flex_gain_vs_baseline,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-0.002734891304168263,1.0027348913041683,-10651.98459522659,-8392.78836319549,1353.4387013494215,26183.063033197075,0.3823122405334004,net_importer
9,MATD3,E1,OE.1,flex_gain_vs_baseline,True,15,Building_15,DREL- COLEGIO NACIONAL DE IQUITOS,Education,-0.014971661188013519,1.0149716611880135,-1060.0689967864164,-717.1645468654569,140.2913589477539,2785.137937311083,0.50814332247557,net_exporter
10,MATD3,E1,OE.1,flex_gain_vs_baseline,True,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,-0.01626582570504631,1.0162658257050463,-9096.473491992569,-8616.46970715234,664.1392211914062,16704.372256189585,0.7652694610778443,net_exporter
11,MATD3,E1,OE.1,flex_gain_vs_baseline,True,16,Building_16,SIMA - IQUITOS S.R.LTDA,Industrial,-0.023294604542907438,1.0232946045429074,-6707.384412607236,-6445.151627770596,454.91090393066406,9723.487419864163,0.4571026722925457,net_exporter
12,MATD3,E1,OE.1,flex_gain_vs_baseline,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-0.032172698590432036,1.032172698590432,-12713.468743677484,-12586.203459868673,662.9605941772461,21137.037186317146,0.6694915254237288,net_exporter
13,MATD3,E1,OE.1,flex_gain_vs_baseline,True,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,-0.03568063416635381,1.0356806341663538,-834.2206596290125,-651.5491709332837,38.87544536590576,6583.751294627786,0.38440714672441795,net_exporter
14,MATD3,E1,OE.1,flex_gain_vs_baseline,True,17,Building_17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,-0.06663250980791902,1.066632509807919,-8626.72504574852,-8075.305863098925,391.2931638907121,11569.55326846242,0.7395833333333334,net_exporter
