run_id,algorithm,scenario,oe,building_id,agent,nombre,tipo_uso,import_ratio_to_baseline,flex_gain_vs_baseline,carbon_emissions_delta_kgco2,carbon_emissions_ratio,co2_reduction_kgco2,electricity_cost_delta_eur,electricity_cost_ratio,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_v2g_export_kwh,ev_departure_success_ratio,grid_role_control,action_dim,action_l2_mean,battery_charge_total_kwh,battery_discharge_total_kwh,ev_charge_total_kwh_behavior,ev_departure_success_rate_behavior,pv_self_consumption_ratio
madrl_v3_20260627_164047,HAPPO,E1,OE.1,1,Building_1,ELECTRO ORIENTE S.A.,Office,1.129784206443256,-0.12978420644325595,369537.0895173517,1.1306945803783852,-369537.0895173517,164231.1399885537,1.0860932217468147,-164231.1399885537,1810194.749900553,14841.69085293077,2664.655516419298,0.5865800865800865,net_importer,6.0,,968694.0174137295,841500.7324868236,14841.69085293077,0.5865800865800865,0.49800227020103083
madrl_v3_20260627_164047,HAPPO,E1,OE.1,2,Building_2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,Office,2.0409857217912815,-1.0409857217912815,23763.897270524416,2.07992029938508,-23763.897270524416,-3965.4233908891692,2.2824872076524767,3965.4233908891692,86816.05777421777,1998.9178407900035,78.79445060621947,0.4114391143911439,net_exporter,8.0,,46428.97444646771,40387.08332775005,1998.9178407900035,0.4114391143911439,0.012969248082561658
madrl_v3_20260627_164047,HAPPO,E1,OE.1,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,2.1753472876911535,-1.1753472876911535,398209.33376776724,2.146755734809001,-398209.33376776724,142188.17758614896,1.619934037938113,-142188.17758614896,1346095.7315019658,21462.234931595623,3413.690712036594,0.481437125748503,net_exporter,10.0,,720194.6811245902,625901.0503773756,21462.234931595623,0.481437125748503,0.17378259091166232
madrl_v3_20260627_164047,HAPPO,E1,OE.1,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,1.0874885729007469,-0.08748857290074685,38419.75135437754,1.0871085938826082,-38419.75135437754,8482.820506508113,1.0279774794159577,-8482.820506508113,118968.90414452567,9119.660210248083,0.0,0.6122019635343618,net_importer,8.0,,64255.048436508645,54713.85570801702,9119.660210248083,0.6122019635343618,0.8265517132194693
madrl_v3_20260627_164047,HAPPO,E1,OE.1,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,1.0778847420679187,-0.07788474206791873,22655.417267544835,1.0797409539161913,-22655.417267544835,-3105.2580766811443,0.983950839427142,3105.2580766811443,118979.60000353181,2085.5104294866323,1929.665346726746,0.6501340482573726,net_importer,5.0,,63820.6633147532,55158.936688778624,2085.5104294866323,0.6501340482573726,0.6450114756281975
madrl_v3_20260627_164047,HAPPO,E1,OE.1,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,1.1037863403562065,-0.10378634035620649,274788.503764065,1.0959712525926781,-274788.503764065,244153.1196982197,1.123918778467809,-244153.1196982197,1461362.3031242578,26128.51932900399,11338.138423167991,0.4423197886526607,net_importer,34.0,,779384.3208818738,681977.9822423841,26128.51932900399,0.4423197886526607,0.6591518220878869
madrl_v3_20260627_164047,HAPPO,E1,OE.1,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,1.2788801175686606,-0.2788801175686606,14719.636729399004,1.2779961925114354,-14719.636729399004,-8089.208531212695,0.6597349235597003,8089.208531212695,126094.30274218187,26756.941616261378,2325.6824577866355,0.5410994091959928,net_exporter,44.0,,67519.21317012659,58575.08957205529,26756.941616261378,0.5410994091959928,0.05857404952806192
madrl_v3_20260627_164047,HAPPO,E1,OE.1,8,Building_8,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,Assembly_Military,2.9938948468893574,-1.9938948468893574,74773.6466778499,3.06813384409581,-74773.6466778499,6533.242340769055,0.7234177753130546,-6533.242340769055,210987.5325232001,22198.682953264564,10464.135552475636,0.5032206119162641,net_exporter,19.0,,112892.22300702757,98095.3095161725,22198.682953264564,0.5032206119162641,0.008413018388695057
madrl_v3_20260627_164047,HAPPO,E1,OE.1,9,Building_9,GOBIERNO REGIONAL DE LORETO - COER,Office_Critical,1.1217798310065505,-0.12177983100655054,2588.89130596643,1.1215963128854216,-2588.89130596643,-4468.866998696031,0.10591161162928156,4468.866998696031,20386.27785569933,6177.286766605452,1043.4885702952743,0.5083919870059556,net_exporter,12.0,,10932.366980351699,9453.91087534763,6177.286766605452,0.5083919870059556,0.022616657654456
madrl_v3_20260627_164047,HAPPO,E1,OE.1,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,1.0528787825983315,-0.05287878259833145,20655.88024024153,1.0513813831527135,-20655.88024024153,-3649.950001555553,0.9874826776600936,3649.950001555553,85302.08547103281,22074.408289087936,4733.301131625471,0.6941448382126348,net_exporter,8.0,,45262.464084506035,40039.62138652678,22074.408289087936,0.6941448382126348,0.1611248556278609
madrl_v3_20260627_164047,HAPPO,E1,OE.1,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,0.9978097426756434,0.002190257324356626,1786.5240412474377,1.0044276162327648,-1786.5240412474377,-70213.15715902808,0.6170460046655836,70213.15715902808,438444.93662976136,1979.7644637934864,2403.640669512999,0.4150559511698881,net_exporter,5.0,,237359.0395441967,201085.89708556462,1979.7644637934864,0.4150559511698881,0.03853292633536343
