run_id,algorithm,scenario,oe,episodes,flex_composite,peak_average,ramping_average,one_minus_load_factor_average,carbon_emissions,carbon_emissions_delta,electricity_cost,electricity_cost_delta,grid_import_delta,ev_departure_success_rate,battery_throughput_total,ev_charge_total,ev_v2g_export_total,pv_self_consumption_ratio
madrl_v3_20260627_164047,HAPPO,E1,OE.1,50.0,1.110540805709955,1.3903228238073362,1.0839090593092051,0.8573905340133239,1.5237308415454343,777838.6068301143,1.0623729494773748,186408.60670836945,,,8854830.572854016,213331.46793942899,52779.5125936268,0.1796712076565404
madrl_v3_20260627_164047,HAPPO,E2,OE.2,50.0,1.1432627766377035,1.4000273280828726,1.1827900919539245,0.8469709098763134,1.5592353506845364,1431341.146902246,0.9674280513644307,-97229.96355094147,,,16728200.15948116,190965.20083450526,51626.38560903435,0.2105781905571617
madrl_v3_20260627_164047,HAPPO,E3,OE.3,50.0,1.1402403210675718,1.421289039691373,1.1531549642453112,0.8462769592660307,1.5929649660423615,1106940.2269813095,1.0297782949986545,106827.9907668146,,,14193059.933626752,194863.48174975626,50550.84319304442,0.20235741024731194
madrl_v3_20260627_164047,MASAC,E1,OE.1,50.0,1.028552547361268,1.0850627613699078,1.0219691691061643,0.9786257116077314,1.053619622048921,81226.6231709392,1.0049419564019464,14672.49268599316,,,624333.4491729945,10720.165089577436,3833.1771123362705,0.16414201846505772
madrl_v3_20260627_164047,MASAC,E2,OE.2,50.0,1.0317819840161462,1.0956074399714257,1.0208812307447095,0.9788572813323027,1.051639591972696,77648.98780810599,1.0050652080032747,15020.275212663882,,,637947.5150785556,11514.183938987553,3494.122005420897,0.1642838291856845
madrl_v3_20260627_164047,MASAC,E3,OE.3,50.0,1.0297032332352678,1.0863807148533065,1.024945867130649,0.9777831177218483,1.0601897274206082,90899.7612329599,1.0055554410308447,19792.792564499217,,,717013.0966121654,11565.11733596772,3547.4206320410594,0.1643150017229632
madrl_v3_20260627_164047,MATD3,E1,OE.1,50.0,1.0009229901555254,1.0081243650776304,1.0011755487359968,0.9934690566529493,1.0385496103000702,36723.33566290968,1.0080607462410982,33074.53857720466,,,8490.250799538378,154012.73039302416,29656.91909918259,0.1829580151263629
madrl_v3_20260627_164047,MATD3,E2,OE.2,50.0,1.0006689541887155,1.0054542490487863,1.0007704484747517,0.9957821650426082,1.0421428734111502,23070.418478806503,1.0039575998186379,13934.67084307495,,,9484.482418287756,113188.61708337814,37559.584774988005,0.18275312574214034
madrl_v3_20260627_164047,MATD3,E3,OE.3,50.0,1.0006144030419286,1.0071128697365774,1.0011383857310043,0.9935919536582044,1.0741932384067436,41293.40711950582,1.0091805161969924,44399.364069434494,,,9011.283712025453,162807.5272996761,29731.144519319758,0.18289441719083424
madrl_v3_20260627_164047,MAAC,E1,OE.1,50.0,1.0124257995412176,1.0307016374943516,1.010993644889474,0.9955821162398271,1.0279904744395534,38565.84588019649,1.001224116074091,3628.0400708369775,,,341025.2909646616,11085.426500886679,3710.111443613656,0.1790606318207859
madrl_v3_20260627_164047,MAAC,E2,OE.2,50.0,1.0171790556280067,1.0402106617728162,1.0186301738338828,0.9926963312773214,1.0469962875520018,70654.19071758597,1.0039868213638963,13275.329877851962,,,604113.0413591035,10967.570031635463,3716.8197939107195,0.17894812963963783
madrl_v3_20260627_164047,MAAC,E3,OE.3,50.0,1.0137827049181145,1.0309261417946909,1.0189549701035028,0.9914670028561496,1.043854275478452,73411.2486337313,1.002675335325078,9515.151784724349,,,615244.839861477,10967.148514784873,3677.922525198199,0.17918963749231215
