building_id,building_name,year,mes,E_medido_kWh,E_punta_medido_kWh,E_fuera_punta_medido_kWh,E_punta_raw_kWh,E_fuera_punta_raw_kWh,E_split_raw_total_kWh,E_total_activa_reportada_kWh,E_punta_cal_kWh,E_fuera_punta_cal_kWh,E_total_syn,E_gest_kWh,E_ns_orig,scale_factor,E_non_shiftable_cal_kWh,E_cooling_elec_cal_kWh,E_dhw_elec_cal_kWh,E_controlled_model_kWh,E_controlled_used_kWh,controlled_energy_scale_min,E_non_shiftable_residual_kWh,E_cal_tot,delta_%,reported_total_delta_kWh,reported_total_delta_%,factor_carga,energia_reactiva_kvarh,total_facturado,facturado_por_kWh_activo,tariff_peak_to_offpeak_ratio,tariff_peak_price,tariff_offpeak_price,tariff_cost_reconstructed,tariff_cost_delta,tariff_cost_delta_%,active_energy_source,measurement_quality_flag,tarifa,source_file,record_type,forecast_method,forecast_scale_factor,forecast_reference_months,large_system_class,controlled_cooling_proxy,critical_load_proxy,status
1,ELECTRO ORIENTE S.A.,2023,1,452872.700000000,68383.777700000,384488.922300000,68383.777700000,384488.922300000,452872.700000000,452872.700000000,68383.777700000,384488.922300000,452872.700070000,60926.386580000,391946.313490000,1.000000000,391946.313420000,60926.386580000,0.000000000,60926.386580000,60926.386580000,1.000000000,391946.313420000,452872.700000000,0.000000000,0.000000000,0.000000000,0.680000000,192922.962300000,255234.260000000,0.563589415,1.461538462,0.770041628,0.526870588,255234.260000000,-0.000000000,-0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,2,453776.260000000,68520.215300000,385256.044700000,68520.215300000,385256.044700000,453776.260000000,453776.260000000,68520.215300000,385256.044700000,453776.259977000,57362.342957000,396413.917020000,1.000000000,396413.917043000,57362.342957000,0.000000000,57362.342957000,57362.342957000,1.000000000,396413.917043000,453776.260000000,-0.000000000,0.000000000,0.000000000,0.680000000,193307.877300000,247304.410000000,0.544991953,1.461538462,0.744631605,0.509484782,247304.410000000,-0.000000000,-0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,3,467619.740000000,70610.580700000,397009.159300000,70610.580700000,397009.159300000,467619.740000000,467619.740000000,70610.580700000,397009.159300000,467619.739909000,65296.778852000,402322.961057000,1.000000000,402322.961148000,65296.778852000,0.000000000,65296.778852000,65296.778852000,1.000000000,402322.961148000,467619.740000000,0.000000000,0.000000000,0.000000000,0.680000000,199205.175100000,229125.890000000,0.489983357,1.461538462,0.669472442,0.458060092,229125.890000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,4,468528.200000000,70747.758200000,397780.441800000,70747.758200000,397780.441800000,468528.200000000,468528.200000000,70747.758200000,397780.441800000,468528.199967000,59960.659917000,408567.540050000,1.000000000,408567.540083000,59960.659917000,0.000000000,59960.659917000,59960.659917000,1.000000000,408567.540083000,468528.200000000,0.000000000,0.000000000,0.000000000,0.680000000,199592.177400000,247816.850000000,0.528926220,1.461538462,0.722680727,0.494465761,247816.850000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,5,483579.040000000,73020.435000000,410558.605000000,73020.435000000,410558.605000000,483579.040000000,483579.040000000,73020.435000000,410558.605000000,483579.039883000,66044.729238000,417534.310645000,1.000000000,417534.310762000,66044.729238000,0.000000000,66044.729238000,66044.729238000,1.000000000,417534.310762000,483579.040000000,0.000000000,0.000000000,0.000000000,0.680000000,206003.808400000,232695.230000000,0.481193788,1.461538462,0.657463107,0.449843179,232695.230000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,6,448920.360000000,67786.974400000,381133.385600000,67786.974400000,381133.385600000,448920.360000000,448920.360000000,67786.974400000,381133.385600000,448920.359833000,60193.679717000,388726.680116000,1.000000000,388726.680283000,60193.679717000,0.000000000,60193.679717000,60193.679717000,1.000000000,388726.680283000,448920.360000000,0.000000000,0.000000000,0.000000000,0.680000000,191239.272500000,232683.290000000,0.518317525,1.461538462,0.708185889,0.484548240,232683.290000000,-0.000000000,-0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,7,461776.980000000,69728.324000000,392048.656000000,69728.324000000,392048.656000000,461776.980000000,461776.980000000,69728.324000000,392048.656000000,461776.980137000,63199.938480000,398577.041657000,1.000000000,398577.041520000,63199.938480000,0.000000000,63199.938480000,63199.938480000,1.000000000,398577.041520000,461776.980000000,0.000000000,0.000000000,0.000000000,0.680000000,196716.169700000,222042.530000000,0.480843653,1.461538462,0.656984712,0.449515856,222042.530000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,8,322281.820000000,48664.554800000,273617.265200000,48664.554800000,273617.265200000,322281.820000000,322281.820000000,48664.554800000,273617.265200000,322281.820075000,67546.250141000,254735.569934000,1.000000000,254735.569859000,67546.250141000,0.000000000,67546.250141000,67546.250141000,1.000000000,254735.569859000,322281.820000000,0.000000000,0.000000000,0.000000000,0.680000000,137291.480400000,152549.800000000,0.473342865,1.461538462,0.646736260,0.442503757,152549.800000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,9,547216.320000000,82629.664300000,464586.655700000,82629.664300000,464586.655700000,547216.320000000,547216.320000000,82629.664300000,464586.655700000,547216.319925000,65353.936401000,481862.383524000,1.000000000,481862.383599000,65353.936401000,0.000000000,65353.936401000,65353.936401000,1.000000000,481862.383599000,547216.320000000,0.000000000,-0.000000000,-0.000000000,0.680000000,233113.176200000,318554.720000000,0.582136732,1.461538462,0.795383137,0.544209515,318554.720000000,-0.000000000,-0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
1,ELECTRO ORIENTE S.A.,2023,10,523671.820000000,79074.444800000,444597.375200000,79074.444800000,444597.375200000,523671.820000000,523671.820000000,79074.444800000,444597.375200000,523671.820140000,67168.056066000,456503.764074000,1.000000000,456503.763934000,67168.056066000,0.000000000,67168.056066000,67168.056066000,1.000000000,456503.763934000,523671.820000000,0.000000000,0.000000000,0.000000000,0.680000000,223083.261200000,252190.590000000,0.481581365,1.461538462,0.657992661,0.450205505,252190.590000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_matches_reported_total,MT3,B_01.csv,measured,,,,critical_precision_ac,40.000000000,20.000000000,ok
