action_abs_mean_average,action_l2_mean,action_l2_std,action_mean_average,agent_reward_mean,agent_reward_total,agent_steps,episode
0.18806275612731202,1.7992235336866416,0.8642412080156708,0.17082189100291031,-0.6072983543078104,-30.972216069698334,51,0
0.2361293958550088,1.9116952105668588,0.8441804370152327,0.21037984201515622,-0.649742583433787,-33.13687175512314,51,1
0.19775010895058492,1.8409063357062996,0.8981085760049796,0.16613015885886295,-0.6047281424204508,-30.841135263442993,51,2
0.23398393007634466,1.925466183379499,0.8569278466617816,0.21477032394891035,-0.686027447382609,-34.98739981651306,51,3
0.2823322489095198,2.6766804485654725,0.7992784587859075,0.23919499400755906,-0.5964103639125824,-20.2779523730278,34,4
0.27190513566608204,2.6721078544306827,0.8111049667802503,0.2287678807641213,-0.745886355638504,-25.360136091709137,34,5
0.15202573505531164,1.4325529469063447,0.6442177985182724,0.1261644373687091,-0.5324018895626068,-18.10166424512863,34,6
0.20414087953262386,1.5437002380918883,0.5835212240378733,0.19688909779245278,-0.6502459347248077,-22.108361780643463,34,7
0.15202573505531164,1.4325529469063447,0.6442177985182724,0.1261644373687091,-0.5324018895626068,-18.10166424512863,34,8
0.20414087953262386,1.5437002380918883,0.5835212240378733,0.19688909779245278,-0.6502459347248077,-22.108361780643463,34,9
0.28141157182457127,2.674818486572966,0.8183925969262634,0.23827431692261047,-0.6552214026451111,-22.277527689933777,34,10
0.2974504961298803,2.6792537790958515,0.8057554523059711,0.2543132412279195,-0.6225640773773193,-21.167178630828857,34,11
0.3262360649077289,2.699442836398576,0.7945025242486116,0.2830988100057681,-0.6524917185306549,-22.184718430042267,34,12
0.3356578585285814,2.703831229360047,0.7991682299311271,0.2925206036266206,-0.685926228761673,-23.32149177789688,34,13
0.3194762059551615,2.678965674030415,0.8128754424117407,0.2645742451708478,-0.5963327586650848,-20.275313794612885,34,14
0.3227354507509179,2.67136672534366,0.8151017691950044,0.26783348996660417,-0.7464389204978943,-25.378923296928406,34,15
