episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.6210917477015423,-92492.98306771368
1,8759,17519,-0.6273420491722544,-93423.77796273213
2,8759,26279,-0.5940955721188472,-88472.71259993874
3,8759,35039,-0.6223996801744109,-92687.76037157327
4,8759,43799,-0.6272485963388912,-93409.86096678767
5,8759,52559,-0.5946771398305757,-88559.31966356933
6,8759,61319,-0.6202952471434151,-92374.36820459738
7,8759,70079,-0.626684333464624,-93325.83093955182
8,8759,78839,-0.5943081018458584,-88504.36252688523
9,8759,87599,-0.6211253258863731,-92497.9835309987
10,8759,96359,-0.627759154809035,-93485.89333416149
11,8759,105119,-0.5949465356619399,-88599.4380907761
12,8759,113879,-0.6201102730134485,-92346.82185716275
13,8759,122639,-0.6267569655710916,-93336.64731284697
14,8759,131399,-0.5935483689749503,-88391.2231077496
15,8759,140159,-0.621724609506729,-92587.22884774208
16,8759,148919,-0.6273043487738759,-93418.16361940559
17,8759,157679,-0.5940935033245957,-88472.40451509878
18,8759,166439,-0.6196734128005857,-92281.76463426324
19,8759,175199,-0.626621744706036,-93316.51022162288
20,8759,183959,-0.5936434362832134,-88405.38053129613
21,8759,192719,-0.6209577095561946,-92473.0221071085
22,8736,201456,-0.6262709057626162,-93019.39136201562
23,8759,210239,-0.6198266866174633,-92304.59017107263
24,8759,218999,-0.625059442587418,-93083.85219011828
25,8759,227759,-0.5912577995024707,-88050.11150190793
26,8759,236519,-0.617648968359532,-91980.28436810151
27,8759,245279,-0.624221940411225,-92959.13136603963
28,8759,254039,-0.5910754955645872,-88022.96279947832
29,8759,262799,-0.6177623385667682,-91997.16745936312
30,8751,271551,-0.62171172874099,-92500.75784899946
31,8759,280319,-0.6198266866174633,-92304.59017107263
32,8759,289079,-0.625059442587418,-93083.85219011828
33,8759,297839,-0.5912577995024707,-88050.11150190793
34,8759,306599,-0.617648968359532,-91980.28436810151
35,8759,315359,-0.624221940411225,-92959.13136603963
36,8759,324119,-0.5910754955645872,-88022.96279947832
37,8752,332872,-0.6177986854378559,-91929.0621918384
38,8759,341639,-0.6198266866174633,-92304.59017107263
39,8759,350399,-0.625059442587418,-93083.85219011828
40,8759,359159,-0.5912577995024707,-88050.11150190793
41,8759,367919,-0.617648968359532,-91980.28436810151
42,8759,376679,-0.624221940411225,-92959.13136603963
43,8759,385439,-0.5910754955645872,-88022.96279947832
44,8759,394199,-0.6177623385667682,-91997.16745936312
45,8759,402959,-0.6216226868236812,-92572.0505217826
46,8759,411719,-0.5913046111629162,-88057.08269438148
47,8759,420479,-0.6160705411193262,-91745.22498349007
48,8759,429239,-0.622954731382117,-92770.41859742487
49,8747,437987,-0.5895927763098163,-87681.87932169065
