episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.528240462095925,-78665.56961532516
1,8759,17519,-0.5342859520192066,-79565.86397470025
2,8759,26279,-0.51241294757989,-76308.53615359722
3,8759,35039,-0.5284359870146329,-78694.68718621913
4,8759,43799,-0.5342089289762134,-79554.39370313771
5,8759,52559,-0.5124602174516978,-76315.57558290684
6,8759,61319,-0.5278329040124459,-78604.87606553343
7,8759,70079,-0.5341600304390212,-79547.11173297903
8,8759,78839,-0.5127932614670209,-76365.17249766874
9,8759,87599,-0.528396128213109,-78688.7514134962
10,8759,96359,-0.5344206644554094,-79585.92535069956
11,8759,105119,-0.5128660689783334,-76376.01499225342
12,8759,113879,-0.5280416566818644,-78635.96351306327
13,8759,122639,-0.5341204026896166,-79541.2103685377
14,8759,131399,-0.5124616506653793,-76315.78901708829
15,8759,140159,-0.5282891881860986,-78672.82590467381
16,8759,148919,-0.5344664911717443,-79592.74986529615
17,8759,157679,-0.512841510416361,-76372.35773120447
18,8759,166439,-0.5282145512657044,-78661.7109744887
19,8759,175199,-0.5344791460117901,-79594.63442407579
20,8759,183959,-0.5124952866072731,-76320.7980815551
21,8759,192719,-0.5284842861702306,-78701.87989647072
22,8736,201456,-0.5342170296540485,-79346.72119748619
23,8759,210239,-0.528316323448379,-78676.8668879326
24,8759,218999,-0.5342200265674227,-79556.04635642059
25,8759,227759,-0.5122386797760721,-76282.58419225266
26,8759,236519,-0.5281246595625226,-78648.32430205088
27,8759,245279,-0.5341713049896714,-79548.79073906186
28,8759,254039,-0.5124019091372712,-76306.89230872242
29,8759,262799,-0.5280629675781271,-78639.13713173468
30,8751,271551,-0.5341520103821658,-79473.27271270016
31,8759,280319,-0.528316323448379,-78676.8668879326
32,8759,289079,-0.5342200265674227,-79556.04635642059
33,8759,297839,-0.5122386797760721,-76282.58419225266
34,8759,306599,-0.5281246595625226,-78648.32430205088
35,8759,315359,-0.5341713049896714,-79548.79073906186
36,8759,324119,-0.5124019091372712,-76306.89230872242
37,8752,332872,-0.5279973791614397,-78566.5380166014
38,8759,341639,-0.528316323448379,-78676.8668879326
39,8759,350399,-0.5342200265674227,-79556.04635642059
40,8759,359159,-0.5122386797760721,-76282.58419225266
41,8759,367919,-0.5281246595625226,-78648.32430205088
42,8759,376679,-0.5341713049896714,-79548.79073906186
43,8759,385439,-0.5124019091372712,-76306.89230872242
44,8759,394199,-0.5280629675781271,-78639.13713173468
45,8759,402959,-0.5341292031088826,-79542.5209269748
46,8759,411719,-0.5126333496593685,-76341.35843127315
47,8759,420479,-0.5281921079341843,-78658.36871355871
48,8759,429239,-0.5341373025630299,-79543.72709768642
49,8747,437987,-0.5125064952745902,-76217.91595125597
