action_dim,action_l2,action_max,action_mean,action_min,agent,agent_index,algorithm,carbon_intensity,done,electrical_storage_electricity_consumption_kwh,electrical_storage_energy_balance_kwh,electrical_storage_soc,electricity_price,episode,episode_step,ev_charge_kwh,ev_electricity_consumption_kwh,ev_v2g_export_kwh,global_step,grid_export_kwh,grid_import_kwh,individual_reward,net_electricity_consumption_cost,net_electricity_consumption_emission,net_electricity_consumption_kwh,net_electricity_consumption_without_storage_kwh,observation_dim,observation_l2,observation_max,observation_mean,observation_min,pv_export_kwh,pv_generation_kwh,reward,reward_function,reward_profile,scenario,solar_generation_raw_kwh,state_dim,state_l2,state_max,state_mean,state_min,time_step
5,0.3254222036859937,0.18710103631019592,-0.03783092200756073,-0.19549861550331116,Building_11,10,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.39698249101638794,0.0,0.0,0.0,0.0,57,3.538416776575188,1.0,0.2792820199801211,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
5,0.5610450595677405,0.3526724576950073,0.09101893156766891,-0.29399025440216064,Building_12,11,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6323416233062744,0.0,0.0,0.0,0.0,57,3.5085803381636445,1.0,0.2774844249350983,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
13,0.4977971705540673,0.33412447571754456,0.08578624117832917,0.0,Building_13,12,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5816367268562317,0.0,0.0,0.0,0.0,113,3.4417770869078326,1.0,0.13142143387710098,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
6,0.6255941221634733,0.115401990711689,-0.11985472217202187,-0.5393920540809631,Building_14,13,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.40268659591674805,0.0,0.0,0.0,0.0,64,3.426744498565511,1.0,0.23036410100758076,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
10,1.0526256270511243,0.7185015082359314,0.17892177924513816,-0.11999323219060898,Building_15,14,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.5739138722419739,0.0,0.0,0.0,0.0,92,3.443592426000383,1.0,0.16173993366891923,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
13,0.6887242640108776,0.46707817912101746,0.08782583202880162,-0.222409188747406,Building_16,15,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.3953995108604431,0.0,0.0,0.0,0.0,113,3.370493843573276,1.0,0.12872070838919783,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
13,0.7868837932317835,0.43827512860298157,0.10473503172397614,-0.31293582916259766,Building_17,16,HAPPO,0.7900000214576721,False,0.0,0.0,0.0,0.5216019153594971,0,0,0.0,0.0,-0.0,0,-0.0,0.0,-0.6262108087539673,0.0,0.0,0.0,0.0,113,3.5147274744902783,1.0,0.13900995940233754,0.0,0.0,0.0,-0.5237810015678406,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.188687548149026,1.0,0.1340981031434467,0.0,1
6,1.1030641844397557,1.0,0.12105799963076909,-0.38466840982437134,Building_1,0,HAPPO,0.7900000214576721,True,-618.9314575195312,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,227.34478759765625,0.0,-0.5003150105476379,-99.855712890625,0.0,-227.34478759765625,391.586669921875,64,3.3613493893386495,1.0,0.22858351096510887,0.0,0.0,0.0,-0.5965943932533264,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.092293950582789,1.0,0.13263616027573233,0.0,8759
8,0.45407860150346185,0.35020455718040466,0.04008462466299534,-0.21861201524734497,Building_2,1,HAPPO,0.7900000214576721,True,-7.156619548797607,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,6.97175931930542,0.0,-0.4964263439178467,-3.0621769428253174,0.0,-6.97175931930542,0.1848602294921875,78,3.3826919994546554,1.0,0.18427403156573957,0.0,0.0,0.0,-0.5965943932533264,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.092293950582789,1.0,0.13263616027573233,0.0,8759
10,0.7582512246114571,0.5275872349739075,0.0031018022447824476,-0.39161357283592224,Building_3,2,HAPPO,0.7900000214576721,True,45.558837890625,0.0,0.0,0.39549699425697327,0,8758,0.0,0.0,-0.0,8758,0.0,84.567626953125,-0.7140268087387085,37.144290924072266,66.80842590332031,84.567626953125,39.0087890625,92,3.2929242785797306,1.0,0.15288119147653165,0.0,0.0,0.0,-0.5965943932533264,CityLearnV3MADRLRewardFunction,happo_unified_comparable_v4,E3,-0.0,1907,14.092293950582789,1.0,0.13263616027573233,0.0,8759
