episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.5117970278910983,-76216.81339354234
1,8759,17519,-0.5276548273727347,-78578.35689234766
2,8759,26279,-0.5338700148763145,-79503.92261538075
3,8759,35039,-0.5119963745710402,-76246.50010111931
4,8759,43799,-0.5277581635428972,-78593.74571480825
5,8759,52559,-0.5335961320186586,-79463.13598021865
6,8759,61319,-0.5121681774595345,-76272.08498727388
7,8751,70071,-0.5274129886270718,-78470.61409989026
8,8759,78839,-0.5116219696961583,-76190.74372715189
9,8759,87599,-0.5277609250944436,-78594.15696506455
10,8756,96356,-0.5339684196918764,-79491.34467110994
11,8759,105119,-0.5116550955697007,-76195.67683223983
12,8759,113879,-0.5275918060049496,-78568.9717502571
13,8759,122639,-0.5338114388599219,-79495.19947501957
14,8759,131399,-0.5118066089008383,-76218.24019751285
15,8759,140159,-0.5274189895895754,-78543.23592967958
16,8759,148919,-0.5334769842866612,-79445.39249996959
17,8759,157679,-0.5120197097123974,-76249.97517037022
18,8759,166439,-0.527354796999978,-78533.67636923672
19,8759,175199,-0.5334546293841695,-79442.06340789053
20,8759,183959,-0.5121021323318762,-76262.249546863
21,8759,192719,-0.5277787039077766,-78596.8045859461
22,8759,201479,-0.5337856024005878,-79491.35190949554
23,8759,210239,-0.5122131670803356,-76278.78484160357
24,8759,218999,-0.5274042979074091,-78541.04804437136
25,8744,227744,-0.5331517178004087,-79261.00012679776
26,8759,236519,-0.5114318994227176,-76162.4384620311
27,8759,245279,-0.5273257372548379,-78529.34879199046
28,8759,254039,-0.5338771653215634,-79504.98745968723
29,8759,262799,-0.5116354590742883,-76192.75256534302
30,8759,271559,-0.5272623130540416,-78519.90366000787
31,8759,280319,-0.533382756356851,-79431.36007666224
32,8759,289079,-0.5117544899413077,-76210.47864205955
33,8759,297839,-0.5275034697398087,-78555.81671365231
34,8759,306599,-0.5336320790765543,-79468.48921608047
35,8759,315359,-0.5118476438365493,-76224.35112013893
36,8759,324119,-0.5278822697578601,-78612.22761234053
37,8759,332879,-0.5337243877654989,-79482.23582603809
38,8746,341626,-0.5121687385546526,-76158.9792543383
39,8759,350399,-0.5113138028926756,-76144.85152677725
40,8759,359159,-0.527322446093089,-78528.8586721828
41,8759,367919,-0.5338977307367767,-79508.05006132078
42,8759,376679,-0.511683208330953,-76199.86338464553
43,8759,385439,-0.5273705245676006,-78536.01851860707
44,8759,394199,-0.5334308310822081,-79438.51936476244
45,8759,402959,-0.5117561754689337,-76210.72965083361
46,8759,411719,-0.5275272757788116,-78559.36190898062
47,8759,420479,-0.5336676285194848,-79473.78323912168
48,8759,429239,-0.5119776707619665,-76243.71472987205
49,8748,437988,-0.5277731741774441,-78497.28751493379
