episode,reward_mean,reward_sum,reward_min,reward_max
0,-0.628640175984446,-5506.887941623747,-0.9364339113235474,0.030438931658864
1,-0.5910465474201942,-5177.567755400902,-0.942849099636078,0.0182093549519777
2,-0.6172497536599614,-5407.107842061261,-0.9300804734230042,0.0125774471089243
3,-0.6239389096279618,-5465.704848340945,-0.9180779457092284,0.0094096399843692
4,-0.5896568426717504,-5165.393941804534,-0.931743621826172,-0.003356892382726
