algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file
MAAC,E2,Building_14,-701.8555300273947,-54846.16802541064,-54144.312495383245,1509.583317264358,1954.429500579834,438.5593731403351,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_15,-222.2380285324598,14531.258261869178,14753.496290401636,2120.0514549081563,2748.9315241873264,457.3426399976015,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_16,405.5336355024774,142844.11950401618,142438.5858685137,7900.489557624067,10180.30727148056,553.1733643338084,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,Building_17,1082.8433108846366,97146.82730412592,96063.98399324129,5935.47329951881,7663.81706237793,700.5233999043703,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E3,Building_1,8866.628043056466,2066990.2720087063,2058123.64396565,29812.229984278325,38023.56018257141,591.3479960858822,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_2,-513.2504941530733,-5776.099611743203,-5262.84911759013,603.1786635218414,767.922322653234,56.477458238601685,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_3,-381.014294727298,170981.62474747366,171362.63904220096,13215.04591323962,17048.833417892456,590.641118362546,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_4,1898.7107700188644,313402.43264939456,311503.7218793757,6515.768822942278,8370.186267614365,241.18782672286036,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_5,-610.0458629335917,212000.71335693327,212610.7592198669,1249.1888576007914,1621.4319083094597,207.0528998374939,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_6,2656.096125725191,2976644.8138627443,2973988.717737019,14103.742794324178,17696.408433914185,1107.8495190888643,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_7,2026.5497062121904,34422.466161974306,32395.916455762115,7009.741869637772,9090.089998424051,2052.0858311653137,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_8,-287.3682754620677,-48327.046797674426,-48039.67852221236,3557.6176695554896,4568.850383996964,1399.328696325421,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_9,-201.60605605898104,-959.6517692363368,-758.0457131773557,806.4968048009468,1043.4092437028885,204.2424762248993,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_10,3921.404957762105,336564.77855436783,332643.3735966057,19050.81376015028,24397.051955223083,787.9993848204613,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_11,-544.9652378683968,124082.24380281311,124627.20904068153,11815.308858978851,15194.716022491457,501.0157934874296,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_12,1674.530742320465,709154.2007808335,707479.670038513,18771.349817235256,24125.770782470703,472.4245455265045,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_13,96.1562908754786,7822.397315817738,7726.241024942259,1401.3494720202252,1813.7520665302875,567.6567199528217,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_14,-683.7813220831522,-56674.58788684961,-55990.806564766455,1706.921019867685,2211.520590543747,450.7670795917511,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_15,8.167611657190719,17111.144877692524,17102.977266035334,2349.028243940338,3051.678672462702,467.8347786217928,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_16,134.9301664266095,153263.49815665185,153128.56799022525,8959.80473646539,11516.03774046898,568.2885534018278,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,Building_17,917.1594137359644,102078.29997880972,101161.14056507376,5493.709940827743,7105.472212791443,700.947837330401,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MASAC,E1,Building_1,12608.44107150426,1919219.18778758,1906610.7467160756,38011.44197711768,48921.88442134857,457.6761318743229,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_2,-315.5849476327385,-6047.157806237152,-5731.572858604413,1368.9330320151605,1744.1278566867113,16.95028519630432,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_3,1527.3787585422688,227335.08995670435,225807.71119816208,13061.92493868142,16934.485261917114,660.0751714110374,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_4,789.4806635804125,303499.68439974694,302710.2037361665,4831.021028340037,6231.033794879913,152.44102025032043,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_5,-519.9722254097578,190013.7517480118,190533.72397342155,1474.3818138134666,1884.4705247879028,254.56127274036407,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_6,4501.239303347655,1966479.1283379677,1961977.88903462,16104.228118202183,20871.392180919647,1406.0533001422882,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_7,2188.72682629068,23399.520642754585,21210.793816463905,8563.841417380252,11095.809190899134,2126.318462386728,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_8,-591.3960286215188,-24950.318901129634,-24358.92287250812,3398.927174072196,4385.901487529278,1446.981806665659,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_9,-272.907915470888,4445.755144510879,4718.663059981767,825.9888640280333,1057.167939901352,238.8181478828192,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_10,3968.21437272575,294528.1543582308,290559.9399855051,17547.88177893829,22642.035652160645,570.2541084438562,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_11,-1367.6378789224543,177856.45016056282,179224.08803948527,7844.66332345485,9908.829795837402,454.0980418175459,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_12,6015.530325736152,636165.8269176586,630150.2965919224,28359.88998311316,36591.92007827759,439.07183046638966,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_13,344.9226132707463,9466.718298382488,9121.79568511174,2318.465235624022,2985.920039825141,478.309907823801,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_14,-609.4339546957053,-36376.9852660121,-35767.5513113164,1510.478266356267,1952.472699761391,522.1940021514893,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_15,-216.84639179430812,23364.182342039927,23581.028733834235,2524.8666467172807,3235.5918345451355,426.902989178896,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_16,1145.3637767563632,151321.8126490447,150176.44887228834,10051.02904055029,13002.794357657433,544.5441738069057,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E1,Building_17,69.28031840008043,91247.1266782944,91177.8463598943,4211.37183825628,5388.497402429581,524.9144373387098,outputs/_drive_madrl/full_data/MASAC/E1/data/building_behavior_summary.csv
MASAC,E2,Building_1,10520.494578099577,1951874.3073584964,1941353.8127803968,29797.65992960473,38208.26343584061,537.5699851512909,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_2,-332.5869300335553,-6379.52197290834,-6046.935042874785,969.821758703878,1239.317800462246,19.553312346339226,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_3,2920.7403495362378,228825.25950592468,225904.51915638844,12952.477374810667,16797.2917470932,685.5163616538048,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_4,1102.312152176979,297455.6339798064,296353.3218276294,5342.221981591836,6914.005171477795,157.37138909101486,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
MASAC,E2,Building_5,-498.6445993241796,191116.0158127281,191614.66041205224,1343.7829549493615,1701.9062938690186,255.11854657530785,outputs/_drive_madrl/full_data/MASAC/E2/data/building_behavior_summary.csv
