episode,episode_step,global_step,reward_mean,reward_sum
0,8759,8759,-0.5901762890098425,-87889.05295934575
1,8759,17519,-0.6158340938365912,-91710.01325414516
2,8759,26279,-0.6214699934294116,-92549.31142150797
3,8759,35039,-0.5887203280144205,-87672.2312479075
4,8759,43799,-0.6148209665559623,-91559.13833951391
5,8759,52559,-0.6197123447469262,-92287.56237971224
6,8759,61319,-0.5872629086589058,-87455.19235748425
7,8751,70071,-0.6141767113086881,-91379.66781535186
8,8759,78839,-0.5857070844125036,-87223.49901071005
9,8759,87599,-0.61424755313666,-91473.74561311142
10,8756,96356,-0.620201454174458,-92328.77028149739
11,8759,105119,-0.5854646997930286,-87187.40309317783
12,8759,113879,-0.6126887445160125,-91241.60783332458
13,8759,122639,-0.6184372879624299,-92097.68092336506
14,8759,131399,-0.5851158590868252,-87135.45373521
15,8759,140159,-0.612993943769927,-91287.05810621753
16,8759,148919,-0.6178685858812752,-92012.98980943952
17,8759,157679,-0.5855630536827356,-87202.049954433
18,8759,166439,-0.6126111153007132,-91230.04729058221
19,8759,175199,-0.6177036253450032,-91988.42388637789
20,8759,183959,-0.5852160178355609,-87150.36937607173
21,8759,192719,-0.6121384919411609,-91159.66421987768
22,8759,201479,-0.6190885510797438,-92194.66702679545
23,8759,210239,-0.5860118925903146,-87268.89104454964
24,8759,218999,-0.6112615766062335,-91029.07398820028
25,8744,227744,-0.6175844301151995,-91813.18930307613
26,8759,236519,-0.5844288248600668,-87033.14059816115
27,8759,245279,-0.6117170838902802,-91096.90813294053
28,8759,254039,-0.6185628484434886,-92116.37939020433
29,8759,262799,-0.585381488820759,-87175.01131518744
30,8759,271559,-0.6123242536469864,-91187.32785310922
31,8759,280319,-0.6177232990346501,-91991.35369224008
32,8759,289079,-0.5851290992442009,-87137.42545944639
33,8759,297839,-0.613007820634805,-91289.12464893516
34,8759,306599,-0.6183967119030249,-92091.63833659847
35,8759,315359,-0.5855620873117071,-87201.90604245942
36,8759,324119,-0.6123340502775755,-91188.78676733654
37,8759,332879,-0.6196145562958993,-92272.99972358532
38,8746,341626,-0.5862138274466363,-87169.40992748737
39,8759,350399,-0.584833151916867,-87093.35298345983
40,8759,359159,-0.6123142001430396,-91185.83068530145
41,8759,367919,-0.6199636652215158,-92324.98902478814
42,8759,376679,-0.5865720391388319,-87352.30806855485
43,8759,385439,-0.6136279890933564,-91381.48013578262
44,8759,394199,-0.6196508009789924,-92278.39728179155
45,8759,402959,-0.5863474134151658,-87318.85680578649
46,8759,411719,-0.6135889525661355,-91375.6668161489
47,8759,420479,-0.619451847127264,-92248.76907419215
48,8759,429239,-0.5858474200349046,-87244.39779159799
49,8748,437988,-0.613195339604192,-91202.38244535029
