metric,value
battery_capacity_fade_ratio,0.0005261192698081518
battery_charge_total,5330227.473641165
battery_discharge_total,4521860.718493441
battery_equivalent_full_cycles,187.5445098632187
battery_throughput_total,9852088.192134606
carbon_emissions,1.3932207853310676
carbon_emissions_baseline,10495685.787414465
carbon_emissions_control,11978585.42130104
carbon_emissions_daily_average_baseline,28758.58647082397
carbon_emissions_daily_average_control,32821.78902970944
carbon_emissions_daily_average_delta,4063.2025588854685
carbon_emissions_delta,743481.4182227306
community_import_share,0.1939995492525576
community_local_traded_daily_average,6966.686729470461
community_local_traded_total,2542550.37764299
cost_one_minus_load_factor_average,0.9287143519335739
cost_peak_average,1.1657250592135147
cost_ramping_average,1.1194173043816145
electricity_cost,1.0436246228049002
electricity_cost_baseline,7149419.754495983
electricity_cost_control,7461310.494559772
electricity_cost_daily_average_baseline,19589.687647894007
electricity_cost_daily_average_control,20444.280382399196
electricity_cost_daily_average_delta,854.5927345051882
electricity_cost_delta,156372.66639914725
ev_charge_total,103933.3879561834
ev_departure_count,39682.0
ev_departure_met_count,7892.0
ev_departure_soc_deficit_mean,0.34858830702018745
ev_departure_success_rate,0.19888110478302504
ev_departure_within_tolerance_count,2497.0
ev_departure_within_tolerance_rate,0.06292525578347866
ev_v2g_export_total,47274.62796555887
grid_export_baseline,39642289.12152672
grid_export_control,39309681.436610274
grid_export_delta,-166759.52144200986
grid_export_ratio,0.9916097760173029
grid_import,1.3867887080271437
grid_import_baseline,12573542.40342331
grid_import_control,13105960.232582707
grid_import_delta,266938.3373391363
net_exchange_baseline,-27068746.71810341
net_exchange_control,-26203721.204027563
net_exchange_delta,433697.85878114804
one_minus_load_factor_average,0.9287143519335739
peak_average,1.1657250592135147
price_signal_deviation,0.3877679521335322
price_signal_deviation_baseline,0.3791344496323413
price_signal_deviation_delta,0.008633502501190937
price_signal_deviation_ratio,1.0227716117845875
pv_export_daily_average,110754.06200702809
pv_export_total,40420617.87998162
pv_generation_daily_average,136095.6394630498
pv_generation_total,49669237.752368875
pv_self_consumption_ratio,0.1862041837343509
ramping_average,1.1194173043816145
zero_net_energy,0.9874672553332993
