algorithm,scenario,C1_mean,C1_std,C1_n,C1_mean_pm_std,C2_mean,C2_std,C2_n,C2_mean_pm_std,C3_mean,C3_std,C3_n,C3_mean_pm_std,C4_mean,C4_std,C4_n,C4_mean_pm_std,C5_mean,C5_std,C5_n,C5_mean_pm_std,C6_mean,C6_std,C6_n,C6_mean_pm_std
MAAC,E1,3628.0400708369775,0.0,1,3628 ± 0,-38565.84588019649,0.0,1,-3.857e+04 ± 0,1.0124257995412176,0.0,1,1.012 ± 0,-0.6051573274768176,0.01469522304963422,50,-0.6052 ± 0.0147,0.0,0.0,1,0 ± 0,0.0018431394213485053,0.0,1,0.001843 ± 0
MASAC,E1,14672.49268599316,0.0,1,1.467e+04 ± 0,-81226.6231709392,0.0,1,-8.123e+04 ± 0,1.028552547361268,0.0,1,1.029 ± 0,-0.6133306039931886,0.014124164456404622,50,-0.6133 ± 0.01412,438000.0,0.0,1,4.38e+05 ± 0,0.0065755904474352755,0.0,1,0.006576 ± 0
MATD3,E1,33074.53857720466,0.0,1,3.307e+04 ± 0,-36723.33566290968,0.0,1,-3.672e+04 ± 0,1.0009229901555254,0.0,1,1.001 ± 0,-0.6330435627356475,0.04704873332375358,50,-0.633 ± 0.04705,438000.0,0.0,1,4.38e+05 ± 0,0.0941832382855603,0.0,1,0.09418 ± 0
