rank,algorithm,closeness,distance_positive,distance_negative
1,MAAC,0.9826857601271446,0.0053308543738412924,0.30255758964608964
2,MASAC,0.5656251417928156,0.1593480266780969,0.20749647103473454
3,MATD3,0.30739015628706934,0.2785502827087673,0.12362460007303067
