available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path,normalized_score
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0005795900344428,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,0.0004831812951161,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,0.1663395393252135
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.477706672648155e-05,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0\figures\tables\objective_kpis.csv,0.9054899783100264
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,5.115244805764088e-05,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0\figures\tables\objective_kpis.csv,0.9117437412345828
True,OE1,Flexibilidad energetica,,,,battery_capacity_fade_ratio,True,citylearn_v2.evaluate_v2,1.2070930553512215e-06,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0\figures\tables\objective_kpis.csv,0.9979173329705165
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,31048.290894806385,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,0.006240613759265228
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,4975198.288583401,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,358700.8645009674,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0\figures\tables\objective_kpis.csv,0.07209780267935835
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,358996.0523502038,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0\figures\tables\objective_kpis.csv,0.0721571345556202
True,OE1,Flexibilidad energetica,,,,battery_charge_total,False,citylearn_v2.evaluate_v2,16421.966020733827,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0\figures\tables\objective_kpis.csv,0.0033007661339684393
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,24750.353607565165,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,0.005864647285475138
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,4220262.942131899,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,316079.59448353073,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0\figures\tables\objective_kpis.csv,0.07489571119563006
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,308518.80131375405,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0\figures\tables\objective_kpis.csv,0.07310416567501914
True,OE1,Flexibilidad energetica,,,,battery_discharge_total,False,citylearn_v2.evaluate_v2,12689.348239371417,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0\figures\tables\objective_kpis.csv,0.003006767211751335
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,256.4275942204574,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,175.0449484260127,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,0.6826291412129462
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,12.845131709900595,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0\figures\tables\objective_kpis.csv,0.05009262653245229
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,12.706823529733455,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0\figures\tables\objective_kpis.csv,0.049553261100320864
True,OE1,Flexibilidad energetica,,,,battery_equivalent_full_cycles,False,citylearn_v2.evaluate_v2,0.5541634481859674,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0\figures\tables\objective_kpis.csv,0.002161091320419825
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,0.0,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,55798.64450237155,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,0.006068063700381787
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,9195461.2307153,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,674780.458984498,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E1_seed_0\figures\tables\objective_kpis.csv,0.07338190462165735
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,667514.8536639579,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E1_seed_0\figures\tables\objective_kpis.csv,0.07259177510686247
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,29111.31426010524,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E1_seed_0\figures\tables\objective_kpis.csv,0.003165835136454674
True,OE2,Emisiones de CO2,1.0,1.6995427287724851e-10,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0000000001699545,citylearn_v2_original,baseline,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0,outputs\citylearn_v2_original_benchmark\baseline\E1_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,1.0,0.6200938460460665,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.6200938460460663,citylearn_v2_original,hour_rbc,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0,outputs\citylearn_v2_original_benchmark\hour_rbc\E1_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,1.0,0.4189207285376251,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.418920728537625,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0\figures\tables\objective_kpis.csv,0.32442366400880795
