family,method,axis,normalized_score,available_kpis,improved_kpis,total_kpis,axis_weight,weighted_score,axis_rank
citylearn_v2_original,baseline,OE1,0.46711787790056053,33,5,36,0.34,0.1588200784861906,4.0
citylearn_v2_original,baseline,OE2,0.9999999999960859,7,0,7,0.33,0.3299999999987084,1.0
citylearn_v2_original,baseline,OE3,0.7274113616990264,11,7,11,0.33,0.24004574936067874,2.0
citylearn_v2_original,hour_rbc,OE1,0.4709615548963242,33,2,36,0.34,0.16012692866475023,3.0
citylearn_v2_original,hour_rbc,OE2,0.8445566249187925,7,0,7,0.33,0.2787036862232015,2.0
citylearn_v2_original,hour_rbc,OE3,0.7371829663243424,11,3,11,0.33,0.243270378887033,1.0
citylearn_v3_madrl,MAAC,OE1,0.49546315288523857,36,5,36,0.34,0.16845747198098113,2.0
citylearn_v3_madrl,MAAC,OE2,0.3159317243839465,7,0,7,0.33,0.10425746904670236,3.0
citylearn_v3_madrl,MAAC,OE3,0.5314827915256954,11,1,11,0.33,0.1753893212034795,3.0
citylearn_v3_madrl,MASAC,OE1,0.4214174518250242,36,2,36,0.34,0.14328193362050826,5.0
citylearn_v3_madrl,MASAC,OE2,0.2267506830437682,7,0,7,0.33,0.0748277254044435,5.0
citylearn_v3_madrl,MASAC,OE3,0.47040717836359763,11,1,11,0.33,0.15523436885998723,4.0
citylearn_v3_madrl,MATD3,OE1,0.4956024094803467,36,5,36,0.34,0.1685048192233179,1.0
citylearn_v3_madrl,MATD3,OE2,0.29051620435009823,7,0,7,0.33,0.09587034743553242,4.0
citylearn_v3_madrl,MATD3,OE3,0.27664841297626,11,1,11,0.33,0.09129397628216582,5.0
