episode,first_global_step,last_all_done,last_episode_step,last_global_step,last_time_step,reward_mean_average,reward_sum_total,steps
0,0,False,8759,8759,1,-0.5901762890098425,-87889.05295934575,8760
1,8760,False,8759,17519,2,-0.6158340938365912,-91710.01325414516,8760
2,17520,False,8759,26279,3,-0.6214699934294116,-92549.31142150797,8760
3,26280,False,8759,35039,4,-0.5887203280144205,-87672.2312479075,8760
4,35040,False,8759,43799,5,-0.6148209665559623,-91559.13833951391,8760
5,43800,False,8759,52559,6,-0.6197123447469262,-92287.56237971224,8760
6,52560,False,8759,61319,7,-0.5872629086589058,-87455.19235748425,8760
7,61320,True,8751,70071,8759,-0.6141767113086881,-91379.66781535186,8752
8,70080,False,8759,78839,1,-0.5857070844125036,-87223.49901071005,8760
9,78840,False,8759,87599,2,-0.61424755313666,-91473.74561311142,8760
10,87600,True,8756,96356,8759,-0.620201454174458,-92328.77028149739,8757
11,96360,False,8759,105119,1,-0.5854646997930286,-87187.40309317783,8760
12,105120,False,8759,113879,2,-0.6126887445160125,-91241.60783332458,8760
13,113880,False,8759,122639,3,-0.6184372879624299,-92097.68092336506,8760
14,122640,False,8759,131399,4,-0.5851158590868252,-87135.45373521,8760
15,131400,False,8759,140159,5,-0.612993943769927,-91287.05810621753,8760
16,140160,False,8759,148919,6,-0.6178685858812752,-92012.98980943952,8760
17,148920,False,8759,157679,7,-0.5855630536827356,-87202.049954433,8760
18,157680,False,8759,166439,8,-0.6126111153007132,-91230.04729058221,8760
19,166440,False,8759,175199,9,-0.6177036253450032,-91988.42388637789,8760
20,175200,False,8759,183959,10,-0.5852160178355609,-87150.36937607173,8760
21,183960,False,8759,192719,11,-0.6121384919411609,-91159.66421987768,8760
22,192720,False,8759,201479,12,-0.6190885510797438,-92194.66702679545,8760
23,201480,False,8759,210239,13,-0.5860118925903146,-87268.89104454964,8760
24,210240,False,8759,218999,14,-0.6112615766062335,-91029.07398820028,8760
25,219000,True,8744,227744,8759,-0.6175844301151995,-91813.18930307613,8745
26,227760,False,8759,236519,1,-0.5844288248600668,-87033.14059816115,8760
27,236520,False,8759,245279,2,-0.6117170838902802,-91096.90813294053,8760
28,245280,False,8759,254039,3,-0.6185628484434886,-92116.37939020433,8760
29,254040,False,8759,262799,4,-0.585381488820759,-87175.01131518744,8760
30,262800,False,8759,271559,5,-0.6123242536469864,-91187.32785310922,8760
31,271560,False,8759,280319,6,-0.6177232990346501,-91991.35369224008,8760
32,280320,False,8759,289079,7,-0.5851290992442009,-87137.42545944639,8760
33,289080,False,8759,297839,8,-0.613007820634805,-91289.12464893516,8760
34,297840,False,8759,306599,9,-0.6183967119030249,-92091.63833659847,8760
35,306600,False,8759,315359,10,-0.5855620873117071,-87201.90604245942,8760
36,315360,False,8759,324119,11,-0.6123340502775755,-91188.78676733654,8760
37,324120,False,8759,332879,12,-0.6196145562958993,-92272.99972358532,8760
38,332880,True,8746,341626,8759,-0.5862138274466363,-87169.40992748737,8747
39,341640,False,8759,350399,1,-0.584833151916867,-87093.35298345983,8760
40,350400,False,8759,359159,2,-0.6123142001430396,-91185.83068530145,8760
41,359160,False,8759,367919,3,-0.6199636652215158,-92324.98902478814,8760
42,367920,False,8759,376679,4,-0.5865720391388319,-87352.30806855485,8760
43,376680,False,8759,385439,5,-0.6136279890933564,-91381.48013578262,8760
44,385440,False,8759,394199,6,-0.6196508009789924,-92278.39728179155,8760
45,394200,False,8759,402959,7,-0.5863474134151658,-87318.85680578649,8760
46,402960,False,8759,411719,8,-0.6135889525661355,-91375.6668161489,8760
47,411720,False,8759,420479,9,-0.619451847127264,-92248.76907419215,8760
48,420480,False,8759,429239,10,-0.5858474200349046,-87244.39779159799,8760
49,429240,True,8748,437988,8759,-0.613195339604192,-91202.38244535029,8749
