action_abs_mean_average,action_l2_mean,action_l2_std,action_mean_average,agent_reward_mean,agent_reward_total,agent_steps,episode
0.008144796380090498,0.058823529411764705,0.23529411764705885,0.008144796380090498,-0.6135745644569397,-20.86153519153595,34,0
0.01803025102742822,0.23529411764705882,0.42418250299576343,0.004535441338846907,-0.679422527551651,-23.100365936756134,34,1
0.00829146040628466,0.17647058823529413,0.3812200410828154,0.00829146040628466,-0.7742131650447845,-26.323247611522675,34,2
0.022988772897714796,0.29411764705882354,0.4556450995538137,0.011110944843416152,-0.6127836406230927,-20.83464378118515,34,3
0.018212436200962877,0.20588235294117646,0.40434491426080943,0.010599979453558036,-0.6570823490619659,-22.340799868106842,34,4
0.006219267892915677,0.11764705882352941,0.32218973970892123,0.004489164086687306,-0.6993680894374847,-23.77851504087448,34,5
0.015430892636774989,0.14705882352941177,0.3541645464350675,0.015430892636774989,-0.6593844294548035,-22.419070601463318,34,6
0.01648448149313201,0.17647058823529413,0.3812200410828154,0.01060212855195554,-0.7383537590503693,-25.104027807712555,34,7
0.006751607525601332,0.08823529411764706,0.28363678708802803,0.0008692545844248616,-0.6228572130203247,-21.17714524269104,34,8
0.01803025102742822,0.23529411764705882,0.42418250299576343,0.004535441338846907,-0.6790097057819366,-23.086329996585846,34,9
0.00829146040628466,0.17647058823529413,0.3812200410828154,0.00829146040628466,-0.7743183970451355,-26.326825499534607,34,10
0.005203619909502262,0.058823529411764705,0.23529411764705885,-0.000678733031674209,-0.6160159707069397,-20.94454300403595,34,11
0.01803025102742822,0.23529411764705882,0.42418250299576343,0.004535441338846907,-0.6788429021835327,-23.080658674240112,34,12
0.00829146040628466,0.17647058823529413,0.3812200410828154,0.00829146040628466,-0.7739664316177368,-26.31485867500305,34,13
0.022988772897714796,0.29411764705882354,0.4556450995538137,0.011110944843416152,-0.6104810237884521,-20.756354808807373,34,14
0.018212436200962877,0.20588235294117646,0.40434491426080943,0.010599979453558036,-0.657023161649704,-22.338787496089935,34,15
0.006219267892915677,0.11764705882352941,0.32218973970892123,0.004489164086687306,-0.6984392404556274,-23.746934175491333,34,16
0.015430892636774989,0.14705882352941177,0.3541645464350675,0.015430892636774989,-0.658942312002182,-22.40403860807419,34,17
0.021386442277445735,0.20588235294117646,0.40434491426080943,0.015504089336269263,-0.788669764995575,-26.81477200984955,34,18
0.013553859483562625,0.17647058823529413,0.3812200410828153,0.000653962682737039,-0.8199120759963989,-27.877010583877563,34,19
0.020116659428715516,0.20588235294117646,0.40434491426080943,0.0024696006051861054,-0.7501910328865051,-25.506495118141174,34,20
0.010434429893544806,0.14705882352941177,0.3541645464350675,0.010434429893544806,-0.823214054107666,-27.989277839660645,34,21
0.017672030816266834,0.20588235294117646,0.40434491426080943,0.0028403227319635967,-0.7311291098594666,-24.858389735221863,34,22
0.01047237076648841,0.08823529411764706,0.28363678708802803,0.01047237076648841,-0.7437065839767456,-25.28602385520935,34,23
0.006915374129906997,0.14705882352941177,0.3541645464350675,0.006915374129906997,-0.7348374426364899,-24.984473049640656,34,24
0.012609190117840632,0.20588235294117646,0.40434491426080943,0.002201950298836109,-0.7809488773345947,-26.55226182937622,34,25
0.005203619909502262,0.058823529411764705,0.23529411764705885,-0.000678733031674209,-0.616141140460968,-20.948798775672913,34,26
0.01803025102742822,0.23529411764705882,0.42418250299576343,0.004535441338846907,-0.6788947582244873,-23.08242177963257,34,27
0.0076230112084236966,0.14705882352941177,0.3541645464350675,0.0076230112084236966,-0.774496465921402,-26.332879841327667,34,28
0.028871125838891266,0.3235294117647059,0.467822756487849,0.005228591902239683,-0.6118000745773315,-20.801202535629272,34,29
0.018212436200962877,0.20588235294117646,0.40434491426080943,0.010599979453558036,-0.6567778885364532,-22.33044821023941,34,30
0.0053542159898014915,0.08823529411764706,0.2836367870880281,0.0053542159898014915,-0.7021207213401794,-23.8721045255661,34,31
0.015430892636774989,0.14705882352941177,0.3541645464350675,0.015430892636774989,-0.6592451930046082,-22.414336562156677,34,32
0.014033501100975147,0.14705882352941177,0.3541645464350675,0.008151148159798678,-0.7378286123275757,-25.086172819137573,34,33
0.012688807580448443,0.14705882352941177,0.3541645464350675,-0.00021108922037714635,-0.8161619305610657,-27.749505639076233,34,34
0.014902755685400011,0.20588235294117646,0.40434491426080943,0.009020402744223539,-0.7525280714035034,-25.585954427719116,34,35
0.012696873332458832,0.17647058823529413,0.3812200410828154,0.012696873332458832,-0.8231430351734161,-27.98686319589615,34,36
0.017672030816266834,0.20588235294117646,0.40434491426080943,0.0028403227319635967,-0.7313472926616669,-24.865807950496674,34,37
0.01047237076648841,0.08823529411764706,0.28363678708802803,0.01047237076648841,-0.7444273829460144,-25.31053102016449,34,38
0.005872069107363224,0.08823529411764706,0.28363678708802803,-1.0283833813247026e-05,-0.616081565618515,-20.94677323102951,34,39
0.01803025102742822,0.23529411764705882,0.42418250299576343,0.004535441338846907,-0.6791709661483765,-23.0918128490448,34,40
0.00829146040628466,0.17647058823529413,0.3812200410828154,0.00829146040628466,-0.7763122022151947,-26.39461487531662,34,41
0.028871125838891266,0.3235294117647059,0.467822756487849,0.005228591902239683,-0.6126757860183716,-20.830976724624634,34,42
0.016815044665163037,0.20588235294117646,0.40434491426080943,0.009202587917758194,-0.6512201726436615,-22.14148586988449,34,43
0.0053542159898014915,0.08823529411764706,0.2836367870880281,0.0053542159898014915,-0.703756719827652,-23.927728474140167,34,44
0.015430892636774989,0.14705882352941177,0.3541645464350675,0.015430892636774989,-0.6615771651268005,-22.49362361431122,34,45
0.007286096256684492,0.08823529411764706,0.28363678708802803,0.0014037433155080204,-0.7384658455848694,-25.10783874988556,34,46
0.013553859483562625,0.17647058823529413,0.3812200410828153,0.000653962682737039,-0.8209294974803925,-27.911602914333344,34,47
0.014706152980146785,0.20588235294117646,0.40434491426080943,0.008823800038970316,-0.7563804686069489,-25.71693593263626,34,48
0.012696873332458832,0.17647058823529413,0.3812200410828154,0.012696873332458832,-0.8226129710674286,-27.968841016292572,34,49
