metric,value
battery_capacity_fade_ratio,1.2070930553512217e-06
battery_charge_total,16421.966020733827
battery_discharge_total,12689.348239371415
battery_equivalent_full_cycles,0.5541634481859674
battery_throughput_total,29111.31426010524
carbon_emissions,1.0910188027968435
carbon_emissions_baseline,9120762.057971071
carbon_emissions_control,9206143.30488935
carbon_emissions_daily_average_baseline,24991.242081436892
carbon_emissions_daily_average_control,25225.190012255327
carbon_emissions_daily_average_delta,233.9479308184345
carbon_emissions_delta,42807.59742454813
community_import_share,0.06931453984842184
community_local_traded_daily_average,2137.200706842457
community_local_traded_total,779989.2079680449
cost_one_minus_load_factor_average,0.9903363596387342
cost_peak_average,1.0135082765308394
cost_ramping_average,1.0012947256358695
electricity_cost,1.0109365831485904
electricity_cost_baseline,5937325.040501275
electricity_cost_control,6002259.089486925
electricity_cost_daily_average_baseline,16268.50108140548
electricity_cost_daily_average_control,16446.422896185206
electricity_cost_daily_average_delta,177.92181477972326
electricity_cost_delta,32555.985400214777
ev_charge_total,169753.2591299247
ev_departure_count,39682.0
ev_departure_met_count,19313.0
ev_departure_soc_deficit_mean,0.28689426569988463
ev_departure_success_rate,0.48669421904137894
ev_departure_within_tolerance_count,760.0
ev_departure_within_tolerance_rate,0.0191522604707424
ev_v2g_export_total,26651.092337596812
grid_export_baseline,40660865.55792618
grid_export_control,40618004.79714544
grid_export_delta,-21489.10046450573
grid_export_ratio,0.9989458964979563
grid_import,1.0927459401688624
grid_import_baseline,11148920.210262299
grid_import_control,11252894.553923866
grid_import_delta,52129.61869959725
net_exchange_baseline,-29511945.34766388
net_exchange_control,-29365110.24322157
net_exchange_delta,73618.71916410579
one_minus_load_factor_average,0.9903363596387342
peak_average,1.0135082765308394
price_signal_deviation,0.38583282380053824
price_signal_deviation_baseline,0.3835628436620554
price_signal_deviation_delta,0.002269980138482841
price_signal_deviation_ratio,1.0059181439912435
pv_export_daily_average,113417.74425477868
pv_export_total,41392750.91365027
pv_generation_daily_average,135736.12476592427
pv_generation_total,49538029.867697105
pv_self_consumption_ratio,0.16442476569618755
ramping_average,1.0012947256358695
zero_net_energy,0.9947376593298868
