axis,algorithm,scenario,seed,district_timeseries_episodes,kpi,valor,unidad,metodo,fuente,interpretacion,notas
OE.3,MATD3,E3,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0071128697365774,ratio peak; %reduccion=-0.7113,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-0.7113% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MATD3,E3,0,50,price_signal_deviation,0.3576461190979214,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E3_core_kpis.csv | all_values.price_signal_deviation,baseline=0.35630176433678495; delta=0.0013443547611364237,
OE.1,MAAC,E1,0,50,peak_average,1.0307016374943516,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E1/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.030702; peor pico,
OE.1,MAAC,E1,0,50,ramping_average,1.010993644889474,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.010994,
OE.1,MAAC,E1,0,50,one_minus_load_factor_average,0.9955821162398271,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.004418; mejor load factor penalty,
OE.1,MAAC,E1,0,50,autoconsumo (pv_self_consumption_ratio),0.1790606318207859,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=8893805.09 kWh de gen=49669237.75 kWh; export=40775432.66 kWh,
OE.1,MAAC,E1,0,50,autosuficiencia (derivada),0.4159536764420232,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E1/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=12487915.03 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MAAC,E1,0,50,carbon_emissions (ratio),1.0279904744395534,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.027990,
OE.2,MAAC,E1,0,50,consumo_ponderado_CI (=carbon_emissions_control),10494384.743438182,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10417463.8180 kgCO2,
OE.2,MAAC,E1,0,50,carbon_emissions_delta,38565.84588019649,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MAAC,E1,0,50,emisiones_evitadas,-76920.92543883435,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E1/data/training_summary.json::all_values,exceso (sin evitacion): 76920.9254 kgCO2,
OE.3,MAAC,E1,0,50,electricity_cost (ratio),1.001224116074091,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.001224,
OE.3,MAAC,E1,0,50,electricity_cost_control,5918646.683298586,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=5911410.4308,
OE.3,MAAC,E1,0,50,electricity_cost_delta,3628.0400708369775,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MAAC,E1,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0307016374943516,ratio peak; %reduccion=-3.0702,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-3.0702% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MAAC,E1,0,50,price_signal_deviation,0.37992894346227535,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E1_core_kpis.csv | all_values.price_signal_deviation,baseline=0.3793213483543036; delta=0.000607595107971759,
OE.1,MAAC,E2,0,50,peak_average,1.0402106617728162,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E2/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.040211; peor pico,
OE.1,MAAC,E2,0,50,ramping_average,1.0186301738338828,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.018630,
OE.1,MAAC,E2,0,50,one_minus_load_factor_average,0.9926963312773214,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.007304; mejor load factor penalty,
OE.1,MAAC,E2,0,50,autoconsumo (pv_self_consumption_ratio),0.17894812963963783,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=8888217.20 kWh de gen=49669237.75 kWh; export=40781020.56 kWh,
OE.1,MAAC,E2,0,50,autosuficiencia (derivada),0.41513988308950905,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E2/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=12521956.96 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MAAC,E2,0,50,carbon_emissions (ratio),1.0469962875520018,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.046996,
OE.2,MAAC,E2,0,50,consumo_ponderado_CI (=carbon_emissions_control),10558754.019475915,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10417831.7705 kgCO2,
OE.2,MAAC,E2,0,50,carbon_emissions_delta,70654.19071758597,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MAAC,E2,0,50,emisiones_evitadas,-140922.24900269508,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E2/data/training_summary.json::all_values,exceso (sin evitacion): 140922.2490 kgCO2,
OE.3,MAAC,E2,0,50,electricity_cost (ratio),1.0039868213638963,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.003987,
OE.3,MAAC,E2,0,50,electricity_cost_control,6667886.462194674,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=6641408.3535,
OE.3,MAAC,E2,0,50,electricity_cost_delta,13275.329877851962,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MAAC,E2,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0402106617728162,ratio peak; %reduccion=-4.0211,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-4.0211% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MAAC,E2,0,50,price_signal_deviation,,,ausente,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E2_core_kpis.csv,no hay numero en datos,campo vacio en core_kpis / all_values para E2
OE.1,MAAC,E3,0,50,peak_average,1.0309261417946909,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E3/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.030926; peor pico,
OE.1,MAAC,E3,0,50,ramping_average,1.0189549701035028,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.018955,
OE.1,MAAC,E3,0,50,one_minus_load_factor_average,0.9914670028561496,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.008533; mejor load factor penalty,
OE.1,MAAC,E3,0,50,autoconsumo (pv_self_consumption_ratio),0.17918963749231215,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=8900212.71 kWh de gen=49669237.75 kWh; export=40769025.05 kWh,
OE.1,MAAC,E3,0,50,autosuficiencia (derivada),0.4156299388993321,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E3/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=12513578.44 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MAAC,E3,0,50,carbon_emissions (ratio),1.043854275478452,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.043854,
OE.2,MAAC,E3,0,50,consumo_ponderado_CI (=carbon_emissions_control),10564094.134996949,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10417672.8378 kgCO2,
OE.2,MAAC,E3,0,50,carbon_emissions_delta,73411.2486337313,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MAAC,E3,0,50,emisiones_evitadas,-146421.29722938687,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MAAC/E3/data/training_summary.json::all_values,exceso (sin evitacion): 146421.2972 kgCO2,
OE.3,MAAC,E3,0,50,electricity_cost (ratio),1.002675335325078,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.002675,
OE.3,MAAC,E3,0,50,electricity_cost_control,7112781.500188709,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=7093803.1979,
OE.3,MAAC,E3,0,50,electricity_cost_delta,9515.151784724349,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MAAC,E3,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0309261417946909,ratio peak; %reduccion=-3.0926,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-3.0926% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MAAC,E3,0,50,price_signal_deviation,0.379623524784308,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/maac_E3_core_kpis.csv | all_values.price_signal_deviation,baseline=0.37931532563014614; delta=0.00030819915416185895,
