axis,algorithm,scenario,seed,district_timeseries_episodes,kpi,valor,unidad,metodo,fuente,interpretacion,notas
OE.2,MASAC,E2,0,50,consumo_ponderado_CI (=carbon_emissions_control),9243171.298157984,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=9088297.6823 kgCO2,
OE.2,MASAC,E2,0,50,carbon_emissions_delta,77648.98780810599,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MASAC,E2,0,50,emisiones_evitadas,-154873.6158968918,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E2/data/training_summary.json::all_values,exceso (sin evitacion): 154873.6159 kgCO2,
OE.3,MASAC,E2,0,50,electricity_cost (ratio),1.0050652080032747,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.005065,
OE.3,MASAC,E2,0,50,electricity_cost_control,5944515.783174557,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=5914557.3201,
OE.3,MASAC,E2,0,50,electricity_cost_delta,15020.275212663882,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MASAC,E2,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0956074399714257,ratio peak; %reduccion=-9.5607,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-9.5607% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MASAC,E2,0,50,price_signal_deviation,,,ausente,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E2_core_kpis.csv,no hay numero en datos,campo vacio en core_kpis / all_values para E2
OE.1,MASAC,E3,0,50,peak_average,1.0863807148533065,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E3/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.086381; peor pico,
OE.1,MASAC,E3,0,50,ramping_average,1.024945867130649,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.024946,
OE.1,MASAC,E3,0,50,one_minus_load_factor_average,0.9777831177218483,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.022217; mejor load factor penalty,
OE.1,MASAC,E3,0,50,autoconsumo (pv_self_consumption_ratio),0.1643150017229632,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=8139841.46 kWh de gen=49538029.87 kWh; export=41398188.40 kWh,
OE.1,MASAC,E3,0,50,autosuficiencia (derivada),0.42149387716320863,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E3/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=11172043.96 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MASAC,E3,0,50,carbon_emissions (ratio),1.0601897274206082,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.060190,
OE.2,MASAC,E3,0,50,consumo_ponderado_CI (=carbon_emissions_control),9270045.676568365,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=9088742.9307 kgCO2,
OE.2,MASAC,E3,0,50,carbon_emissions_delta,90899.7612329599,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MASAC,E3,0,50,emisiones_evitadas,-181302.7459044736,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MASAC/E3/data/training_summary.json::all_values,exceso (sin evitacion): 181302.7459 kgCO2,
OE.3,MASAC,E3,0,50,electricity_cost (ratio),1.0055554410308447,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.005555,
OE.3,MASAC,E3,0,50,electricity_cost_control,7145558.689493987,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=7106081.2740,
OE.3,MASAC,E3,0,50,electricity_cost_delta,19792.792564499217,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MASAC,E3,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0863807148533065,ratio peak; %reduccion=-8.6381,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-8.6381% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
OE.3,MASAC,E3,0,50,price_signal_deviation,0.3899742202101317,ratio,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/masac_E3_core_kpis.csv | all_values.price_signal_deviation,baseline=0.38457995010225254; delta=0.005394270107879129,
OE.1,MATD3,E1,0,50,peak_average,1.0081243650776304,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E1/data/training_summary.json::citylearn_v3_report.all_values.peak_average,baseline=1.0; delta=0.008124; peor pico,
OE.1,MATD3,E1,0,50,ramping_average,1.0011755487359968,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.ramping_average,baseline=1.0; delta=0.001176,
OE.1,MATD3,E1,0,50,one_minus_load_factor_average,0.9934690566529493,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.one_minus_load_factor_average,baseline=1.0; delta=-0.006531; mejor load factor penalty,
OE.1,MATD3,E1,0,50,autoconsumo (pv_self_consumption_ratio),0.1829580151263629,ratio [0-1],extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.pv_self_consumption_ratio,PV used=9063093.38 kWh de gen=49536465.35 kWh; export=40473371.97 kWh,
OE.1,MATD3,E1,0,50,autosuficiencia (derivada),0.4053730014844506,ratio [0-1],calculado:(pv_gen-pv_export)/(pv_gen-pv_export+grid_import_control),"D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E1/data/training_summary.json::all_values[pv_generation_total,pv_export_total,grid_import_control]",cobertura local aprox; import_control=13294323.97 kWh,No hay KPI self_sufficiency nativo en evaluate_v2/madrl_kpis
OE.2,MATD3,E1,0,50,carbon_emissions (ratio),1.0385496103000702,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.carbon_emissions,baseline=1.0; delta_ratio=0.038550,
OE.2,MATD3,E1,0,50,consumo_ponderado_CI (=carbon_emissions_control),11060066.494980272,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.carbon_emissions_control,absoluto control; baseline=10986820.5205 kgCO2,
OE.2,MATD3,E1,0,50,carbon_emissions_delta,36723.33566290968,kgCO2,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.carbon_emissions_delta,control - baseline; positivo = más emisiones que baseline,
OE.2,MATD3,E1,0,50,emisiones_evitadas,-73245.9745124504,kgCO2,calculado:carbon_emissions_baseline - carbon_emissions_control,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/full_data/MATD3/E1/data/training_summary.json::all_values,exceso (sin evitacion): 73245.9745 kgCO2,
OE.3,MATD3,E1,0,50,electricity_cost (ratio),1.0080607462410982,ratio vs baseline,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.electricity_cost,baseline=1.0; delta_ratio=0.008061,
OE.3,MATD3,E1,0,50,electricity_cost_control,8249865.868836236,EUR (etiqueta CityLearn),extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.electricity_cost_control,absoluto control; baseline=8183897.5474,
OE.3,MATD3,E1,0,50,electricity_cost_delta,33074.53857720466,EUR,extraido,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.electricity_cost_delta,control - baseline; positivo = mayor costo,
OE.3,MATD3,E1,0,50,reduccion_cargo_demanda (proxy cost_peak_average),1.0081243650776304,ratio peak; %reduccion=-0.8124,extraido+proxy,D:/MADRLCitytleranflexresdr/outputs/_drive_madrl/kpis/matd3_E1_core_kpis.csv | all_values.cost_peak_average (=peak_average),% reduccion vs baseline peak=-0.8124% (negativo=aumento de pico/cargo),No hay campo demand_charge_reduction; se usa cost_peak_average
