available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE1,Flexibilidad energetica,-29547215.87386322,47455.98390223086,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-29499759.88996099,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,0.0,23793.00757011609,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,23793.00757011609,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,1.0,-0.021374288392268626,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9786257116077314,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,1.0,0.08506276136990776,False,peak_average,True,citylearn_v2.evaluate_v2,1.0850627613699078,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,113456.12326822054,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,41406757.654430985,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,135736.12476592427,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49538029.867697105,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.16414201846505772,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,1.0,0.02196916910616431,False,ramping_average,True,citylearn_v2.evaluate_v2,1.0219691691061643,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE1,Flexibilidad energetica,1.0,-0.0007357774807523754,True,zero_net_energy,True,citylearn_v2.evaluate_v2,0.9992642225192476,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,1.0,0.0536196220489209,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.053619622048921,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,9088716.879895853,canonical_50ep,MASAC,E1,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E1
