metric,value
battery_capacity_fade_ratio,9.213267861941276e-07
battery_charge_total,8528.694224856508
battery_discharge_total,6420.149063403374
battery_equivalent_full_cycles,0.28456642214764116
battery_throughput_total,14948.843288259885
carbon_emissions,1.0847436489538798
carbon_emissions_baseline,9120752.561282614
carbon_emissions_control,9192668.404132348
carbon_emissions_daily_average_baseline,24991.216060141884
carbon_emissions_daily_average_control,25188.268261123
carbon_emissions_daily_average_delta,197.0522009811165
carbon_emissions_delta,36056.44752535721
community_import_share,0.0692156070899416
community_local_traded_daily_average,2131.1558751448247
community_local_traded_total,777783.0962663966
cost_one_minus_load_factor_average,0.9930329620243672
cost_peak_average,1.0112345338045805
cost_ramping_average,1.000857971275704
electricity_cost,1.009200981675477
electricity_cost_baseline,7130421.065077164
electricity_cost_control,7196027.938635374
electricity_cost_daily_average_baseline,19537.6305014102
electricity_cost_daily_average_control,19717.395881635915
electricity_cost_daily_average_delta,179.76538022571586
electricity_cost_delta,32893.31946921796
ev_charge_total,150905.11931162328
ev_departure_count,39682.0
ev_departure_met_count,18843.0
ev_departure_soc_deficit_mean,0.29581957510342544
ev_departure_success_rate,0.4748500579607883
ev_departure_within_tolerance_count,750.0
ev_departure_within_tolerance_rate,0.01890025704349579
ev_v2g_export_total,31731.80056209676
grid_export_baseline,40660901.981601715
grid_export_control,40627343.72803881
grid_export_delta,-16825.102240152624
grid_export_ratio,0.9991746800506764
grid_import,1.0861366547501137
grid_import_baseline,11149381.982128143
grid_import_control,11237105.747779014
grid_import_delta,43982.066086973035
net_exchange_baseline,-29511519.99947357
net_exchange_control,-29390237.980259795
net_exchange_delta,60807.168327126594
one_minus_load_factor_average,0.9930329620243672
peak_average,1.0112345338045805
price_signal_deviation,0.38618365055923326
price_signal_deviation_baseline,0.38436053869468667
price_signal_deviation_delta,0.0018231118645465894
price_signal_deviation_ratio,1.0047432337116031
pv_export_daily_average,113439.83895585475
pv_export_total,41400814.55893049
pv_generation_daily_average,135736.12476592427
pv_generation_total,49538029.867697105
pv_self_consumption_ratio,0.16426198882957105
ramping_average,1.000857971275704
zero_net_energy,0.9955669206925004
