available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,family,method,run_dir,table_path,normalized_score
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,726406.1121966869,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.07232359364634429
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,670493.4758959597,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.06663976277662255
True,OE1,Flexibilidad energetica,,,,battery_throughput_total,False,citylearn_v2.evaluate_v2,14948.843288259885,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,1.0,0.3932207853310676,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.3932207853310676,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,1.0,0.0522430118615078,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0522430118615078,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.9592532432646291
True,OE2,Emisiones de CO2,1.0,0.037759101084779,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.037759101084779,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,1.0,0.0847436489538797,False,carbon_emissions,True,citylearn_v2.evaluate_v2,1.0847436489538798,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,0.8678210621526609
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10495685.787414463,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.2409200093664183
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10418738.477705272,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.2834014637550485
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,10932067.894445635,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_baseline,True,citylearn_v2.evaluate_v2,9120752.561282614,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,10495685.787414463,1482899.6338865757,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11978585.42130104,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,10418738.477705272,172708.01870132238,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,10591446.496406594,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.4979110706980732
True,OE2,Emisiones de CO2,10932067.894445635,146663.20856494084,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,11078731.103010576,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.3230011205448538
True,OE2,Emisiones de CO2,9120752.561282614,71915.84284973331,False,carbon_emissions_control,True,citylearn_v2.evaluate_v2,9192668.404132348,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28758.58647082397,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.24092000936641736
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,28547.7478553404,citylearn_v3_madrl,MAAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\maac\E3_seed_0\figures\tables\objective_kpis.csv,0.2834014637550478
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,29954.290383228137,citylearn_v3_madrl,MASAC,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\masac\E3_seed_0\figures\tables\objective_kpis.csv,0.0
True,OE2,Emisiones de CO2,,,,carbon_emissions_daily_average_baseline,True,citylearn_v2.evaluate_v2,24991.216060141884,citylearn_v3_madrl,MATD3,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\matd3\E3_seed_0\figures\tables\objective_kpis.csv,1.0
True,OE2,Emisiones de CO2,28758.58647082397,4063.2025588854704,False,carbon_emissions_daily_average_control,True,citylearn_v2.evaluate_v2,32821.78902970944,citylearn_v3_madrl,HAPPO,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0,outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E3_seed_0\figures\tables\objective_kpis.csv,0.0
